interaction_symbol	ligand	receptor	ligand_scarce_rank	ligand_abundant_rank	receptor_scarce_rank	receptor_abundant_rank	scarce_lig_abund_rec_rank	abund_lig_abund_rec_rank	abund_lig_scarce_rec_rank
NGF-NTRK1	NGF	NTRK1	0.2375296912114014	0.6579572446555819	0.8908045977011494	0.1752873563218391	0.16569954867827208	0.3539651837524178	0.9264990328820116
IL4-IL4R	IL4	IL4R	0.6365795724465558	0	0.29310344827586204	0.6379310344827587	0.7885235332043843	0	0
TGFA-EGFR	TGFA	EGFR	0.2660332541567696	0.47268408551068886	0.16954022988505746	0.9798850574712644	0.6015473887814313	0.7440361057382334	0.34622823984526113
CXCL10-CXCR3	CXCL10	CXCR3	0.836104513064133	0.3087885985748218	0.7298850574712644	0.1781609195402299	0.43649258542875563	0.2611218568665377	0.6137975499677627
CSF1-CSF1R	CSF1	CSF1R	0.23990498812351543	0.44655581947743467	0.45689655172413796	0.28160919540229884	0.2443584784010316	0.37395228884590587	0.5873629916183107
CSF3-CSF3R	CSF3	CSF3R	0.48931116389548696	0.18527315914489312	0.8218390804597702	0.4367816091954023	0.5377176015473888	0.3010960670535139	0.4880722114764668
CSF2-CSF2RA	CSF2	CSF2RA	0.48931116389548696	0.18527315914489312	0.8017241379310345	0.27011494252873564	0.40038684719535783	0.2546744036105738	0.48226950354609927
HGF-MET	HGF	MET	0.8432304038004751	0.3847980997624703	0.031609195402298854	0.9339080459770115	0.9825918762088974	0.6479690522243714	0.1947130883301096
TNF-TNFRSF1B	TNF	TNFRSF1B	0.8693586698337292	0.18527315914489312	0.9770114942528736	0.25287356321839083	0.5473887814313346	0.2508059316569955	0.5499677627337202
INS-INSR	INS	INSR	0.833729216152019	0.8883610451306413	0.022988505747126436	0.9482758620689655	0.9832366215344939	0.9690522243713733	0.21727917472598324
TNFSF9-TNFRSF9	TNFSF9	TNFRSF9	0.334916864608076	0.48931116389548696	0.6810344827586207	0.5747126436781609	0.5022566086395873	0.5783365570599613	0.7414571244358479
CD70-CD27	CD70	CD27	0.47268408551068886	0.2921615201900237	0.6120689655172413	0.11494252873563218	0.20696324951644102	0.2327530625402966	0.5460992907801419
FASLG-FAS	FASLG	FAS	0.8479809976247031	0.18527315914489312	0.8189655172413793	0.4396551724137931	0.7479045776918117	0.30303030303030304	0.486782720825274
TNFSF10-TNFRSF10D	TNFSF10	TNFRSF10D	0.22565320665083136	0.9121140142517815	0.3017241379310345	0.7385057471264368	0.46679561573178596	0.8845905867182463	0.6769825918762089
TNFSF10-TNFRSF10B	TNFSF10	TNFRSF10B	0.22565320665083136	0.9121140142517815	0.5	0.5632183908045977	0.38878143133462284	0.7730496453900709	0.8529980657640233
TNFSF10-TNFRSF10A	TNFSF10	TNFRSF10A	0.22565320665083136	0.9121140142517815	0.8304597701149425	0.25862068965517243	0.218568665377176	0.5254674403610574	0.9774339136041263
TNF-TNFRSF1A	TNF	TNFRSF1A	0.8693586698337292	0.18527315914489312	0.27011494252873564	0.6810344827586207	0.9245647969052224	0.37524177949709864	0.28497743391360414
SHH-PTCH1	SHH	PTCH1	0.21140142517814728	0.7173396674584323	0.06321839080459771	0.8850574712643678	0.49000644745325594	0.8497743391360413	0.279819471308833
GNRH1-GNRHR	GNRH1	GNRHR	0.17814726840855108	0.7387173396674585	0.7241379310344828	0.13218390804597702	0.10186976144422953	0.3217279174725983	0.900709219858156
WNT5A-ROR2	WNT5A	ROR2	0.07363420427553444	0.9477434679334917	0.25862068965517243	0.9683908045977011	0.2540296582849774	0.9896840747904577	0.6453900709219859
CXCL11-CXCR3	CXCL11	CXCR3	0.3990498812351544	0.5843230403800475	0.7298850574712644	0.1781609195402299	0.25338491295938104	0.3372018052869117	0.83301096067053515
IL1B-IL1R2	IL1B	IL1R2	0.8836104513064132	0.18527315914489312	0.6695402298850575	0.367816091954023	0.6950354609929078	0.2791747259832366	0.4435847840103159
TGFB1-TGFBR2	TGFB1	TGFBR2	0.9572446555819477	0.8456057007125891	0.19827586206896552	0.8362068965517241	0.9838813668600903	0.9078014184397163	0.5177304964539007
TGFB1-TGFBR3	TGFB1	TGFBR3	0.9572446555819477	0.8456057007125891	0.8764367816091954	0.7672413793103449	0.9690522243713733	0.865892972275951	0.973565441650548
TGFB1-TGFBR1	TGFB1	TGFBR1	0.9572446555819477	0.8456057007125891	0.040229885057471264	0.9109195402298851	0.996776273372018	0.9400386847195358	0.2553191489361702
IL1B-IL1R1	IL1B	IL1R1	0.8836104513064132	0.18527315914489312	0.6925287356321839	0.6005747126436781	0.8845905867182463	0.3468729851708575	0.45003223726627983
LIF-LIFR	LIF	LIFR	0.9809976247030879	0.4085510688836104	0.22126436781609196	0.6954022988505747	0.9555125725338491	0.5809155383623469	0.3668600902643456
IL2-IL2RG	IL2	IL2RG	0.6365795724465558	0	0.5086206896551724	0.32471264367816094	0.5235332043842682	0	0
IL13-IL13RA1	IL13	IL13RA1	0.6365795724465558	0	0.46264367816091956	0.6580459770114943	0.8007736943907157	0	0
IL13-IL13RA2	IL13	IL13RA2	0.6365795724465558	0	0.3879310344827586	0.47701149425287354	0.6602192134107028	0	0
TGFB3-TGFBR2	TGFB3	TGFBR2	0.13539192399049882	0.669833729216152	0.19827586206896552	0.8362068965517241	0.3617021276595745	0.8007736943907157	0.4571244358478401
BMP2-BMPR2	BMP2	BMPR2	0.0332541567695962	0.9334916864608076	0.02586206896551724	0.7959770114942529	0.1154094132817537	0.9258542875564152	0.22952933591231464
GDF5-BMPR2	GDF5	BMPR2	0.5771971496437055	0.3824228028503563	0.02586206896551724	0.7959770114942529	0.8233397807865893	0.5996131528046421	0.1889103803997421
NDP-FZD4	NDP	FZD4	0.4418052256532066	0.4916864608076009	0.23563218390804597	0.7241379310344828	0.6866537717601547	0.6460348162475822	0.42940038684719534
PRL-PRLR	PRL	PRLR	0.8479809976247031	0.18527315914489312	0.20689655172413793	0.6925287356321839	0.9213410702772404	0.379110251450677	0.26499032882011603
GH1-PRLR	GH1	PRLR	0.9239904988123515	0	0.20689655172413793	0.6925287356321839	0.9458413926499033	0	0
GH1-GHR	GH1	GHR	0.9239904988123515	0	0.12931034482758622	0.8994252873563219	0.9909735654416505	0	0
IFNG-IFNGR2	IFNG	IFNGR2	0.6365795724465558	0	0.08333333333333333	0.6982758620689655	0.8149580915538363	0	0
IL3-IL3RA	IL3	IL3RA	0.6365795724465558	0	0.6063218390804598	0.1810344827586207	0.36814958091553834	0	0
INS-IGF1R	INS	IGF1R	0.833729216152019	0.8883610451306413	0.008620689655172414	0.9770114942528736	0.9877498388136686	0.9754996776273372	0.18375241779497098
IL12A-IL12RB1	IL12A	IL12RB1	0.3586698337292161	0.5534441805225653	0.867816091954023	0.21551724137931033	0.27079303675048355	0.36041263700838166	0.8665377176015474
IFNA1-IFNAR1	IFNA1	IFNAR1	0.6365795724465558	0	0.05172413793103448	0.7816091954022989	0.8523533204384268	0	0
IFNB1-IFNAR1	IFNB1	IFNAR1	0.6365795724465558	0	0.05172413793103448	0.7816091954022989	0.8523533204384268	0	0
IFNA1-IFNAR2	IFNA1	IFNAR2	0.6365795724465558	0	0.34770114942528735	0.6120689655172413	0.7666021921341071	0	0
IFNB1-IFNAR2	IFNB1	IFNAR2	0.6365795724465558	0	0.34770114942528735	0.6120689655172413	0.7666021921341071	0	0
IL15-IL15RA	IL15	IL15RA	0.15676959619952494	0.7577197149643705	0.6206896551724138	0.39080459770114945	0.22501611863313992	0.5918762088974855	0.8607350096711799
NRG3-ERBB4	NRG3	ERBB4	0.09501187648456057	0.9073634204275535	0.2471264367816092	0.5919540229885057	0.21405544809800128	0.7904577691811734	0.6112185686653772
NRG1-ERBB4	NRG1	ERBB4	0.057007125890736345	0.9168646080760094	0.2471264367816092	0.5919540229885057	0.13862024500322373	0.7917472598323663	0.6163765312701482
SHH-PTCH2	SHH	PTCH2	0.21140142517814728	0.7173396674584323	0.26436781609195403	0.7557471264367817	0.45390070921985815	0.7911025145067698	0.5615731785944552
IHH-PTCH2	IHH	PTCH2	0.1377672209026128	0.8907363420427553	0.26436781609195403	0.7557471264367817	0.34235976789168276	0.8839458413926499	0.6312056737588653
SHH-HHIP	SHH	HHIP	0.21140142517814728	0.7173396674584323	0.46839080459770116	0.5114942528735632	0.34945196647324306	0.6544165054803353	0.746615087040619
WNT8A-FZD7	WNT8A	FZD7	0.6365795724465558	0	0.42528735632183906	0.5804597701149425	0.7427466150870407	0	0
AREG-EGFR	AREG	EGFR	0.31116389548693585	0.6555819477434679	0.16954022988505746	0.9798850574712644	0.6647324306898775	0.8588007736943907	0.41779497098646035
HBEGF-EGFR	HBEGF	EGFR	0.14251781472684086	0.6745843230403801	0.16954022988505746	0.9798850574712644	0.4190844616376531	0.874274661508704	0.4268214055448098
NRG4-ERBB4	NRG4	ERBB4	0.5486935866983373	0.7125890736342043	0.2471264367816092	0.5919540229885057	0.6943907156673114	0.7047066408768536	0.5377176015473888
WNT5A-FZD4	WNT5A	FZD4	0.07363420427553444	0.9477434679334917	0.23563218390804597	0.7241379310344828	0.20438426821405545	0.8929722759509994	0.6099290780141844
IL23A-IL12RB1	IL23A	IL12RB1	0.9216152019002375	0.50593824228028506	0.867816091954023	0.21551724137931033	0.5112830431979368	0.3436492585428756	0.8420373952288845
IL6-IL6R	IL6	IL6R	0.48931116389548696	0.18527315914489312	0.3132183908045977	0.6724137931034483	0.7021276595744681	0.36879432624113473	0.3004513217279175
IL23A-IL23R	IL23A	IL23R	0.9216152019002375	0.50593824228028506	0.6867816091954023	0.47988505747126436	0.8136686009026435	0.5338491295938105	0.7607994842037396
IL31-OSMR	IL31	OSMR	0.6033254156769596	0.3515439429928741	0.8591954022988506	0.2614942528735632	0.4513217279174726	0.31785944551902	0.7105093488072212
OSM-OSMR	OSM	OSMR	0.48931116389548696	0.18527315914489312	0.8591954022988506	0.2614942528735632	0.3894261766602192	0.25209542230818827	0.5003223726627982
IL21-IL21R	IL21	IL21R	0.6365795724465558	0	0.8247126436781609	0.22988505747126436	0.42940038684719534	0	0
AMH-AMHR2	AMH	AMHR2	0.07125890736342043	0.9002375296912114	0.3448275862068966	0.7902298850574713	0.21598968407479047	0.9110251450676983	0.7188910380399742
TGFB2-TGFBR2	TGFB2	TGFBR2	0.0665083135391924	0.9501187648456056	0.19827586206896552	0.8362068965517241	0.21147646679561574	0.9497098646034816	0.559638942617666
INHBA-ACVR2B	INHBA	ACVR2B	0.5843230403800475	0.7719714964370546	0.028735632183908046	0.9080459770114943	0.8839458413926499	0.903932946486138	0.2205029013539652
BMP7-ACVR2B	BMP7	ACVR2B	0.4014251781472684	0.7838479809976246	0.028735632183908046	0.9080459770114943	0.7388781431334622	0.9116698903932946	0.22243713733075435
BMP6-ACVR2B	BMP6	ACVR2B	0.3491686460807601	0.5439429928741093	0.028735632183908046	0.9080459770114943	0.6827852998065764	0.7640232108317214	0.2076079948420374
BMP2-ACVR2B	BMP2	ACVR2B	0.0332541567695962	0.9334916864608076	0.028735632183908046	0.9080459770114943	0.13346228239845262	0.9716312056737588	0.23984526112185686
BMP7-BMPR2	BMP7	BMPR2	0.4014251781472684	0.7838479809976246	0.02586206896551724	0.7959770114942529	0.6860090264345583	0.842682140554481	0.21663442940038685
BMP6-BMPR2	BMP6	BMPR2	0.3491686460807601	0.5439429928741093	0.02586206896551724	0.7959770114942529	0.6247582205029013	0.7150225660863959	0.2005157962604771
GDF6-BMPR2	GDF6	BMPR2	0.13064133016627077	0.8954869358669834	0.02586206896551724	0.7959770114942529	0.3417150225660864	0.912314635718891	0.2256608639587363
BMP4-BMPR2	BMP4	BMPR2	0.12114014251781473	0.8859857482185273	0.02586206896551724	0.7959770114942529	0.3223726627981947	0.9065119277885235	0.22372662798194712
IL20-IL22RA1	IL20	IL22RA1	0.8954869358669834	0.18527315914489312	0.41954022988505746	0.34195402298850575	0.6653771760154739	0.2727272727272727	0.33849129593810445
IL24-IL22RA1	IL24	IL22RA1	0.9904988123515439	0.18527315914489312	0.41954022988505746	0.34195402298850575	0.7130883301096067	0.2727272727272727	0.33849129593810445
IL26-IL20RA	IL26	IL20RA	0.5890736342042755	0.3919239904988123	0.8333333333333334	0.5689655172413793	0.7098646034816247	0.50999355254674406	0.7343649258542876
IL22-IL20RA	IL22	IL20RA	0.6365795724465558	0	0.8333333333333334	0.5689655172413793	0.7362991618310767	0	0
IL19-IL20RA	IL19	IL20RA	0.5676959619952494	0.5985748218527316	0.8333333333333334	0.5689655172413793	0.690522243713733	0.6312056737588653	0.880722114764668
IL20-IL20RA	IL20	IL20RA	0.8954869358669834	0.18527315914489312	0.8333333333333334	0.5689655172413793	0.8736299161831077	0.3397807865892972	0.4932301740812379
IL24-IL20RA	IL24	IL20RA	0.9904988123515439	0.18527315914489312	0.8333333333333334	0.5689655172413793	0.903932946486138	0.3397807865892972	0.4932301740812379
IL27-IL27RA	IL27	IL27RA	0.6033254156769596	0.3515439429928741	0.5718390804597702	0.5517241379310345	0.7066408768536429	0.47453255963894264	0.5815602836879432
CTF1-IL6ST	CTF1	IL6ST	0.14014251781472684	0.6413301662707839	0.1925287356321839	0.8304597701149425	0.3720180528691167	0.7878787878787878	0.44229529335912315
IHH-PTCH1	IHH	PTCH1	0.1377672209026128	0.8907363420427553	0.06321839080459771	0.8850574712643678	0.3784655061250806	0.9471308833010961	0.2972275950999355
PDGFC-PDGFRA	PDGFC	PDGFRA	0.16389548693586697	0.7007125890736342	0.46551724137931033	0.3850574712643678	0.23210831721470018	0.5609284332688588	0.7337201805286911
PDGFC-PDGFRB	PDGFC	PDGFRB	0.16389548693586697	0.7007125890736342	0.7385057471264368	0.5287356321839081	0.29980657640232106	0.6569954867827208	0.8923275306254029
PDGFA-PDGFRA	PDGFA	PDGFRA	0.019002375296912115	0.7909738717339667	0.46551724137931033	0.3850574712643678	0.06060606060606061	0.6002578981302386	0.784655061250806
PDGFB-PDGFRA	PDGFB	PDGFRA	0.9643705463182898	0.5201900237529691	0.46551724137931033	0.3850574712643678	0.7459703417150225	0.4816247582205029	0.6415215989684074
FGF1-FGFR1	FGF1	FGFR1	0.332541567695962	0.46080760095011875	0.005747126436781609	0.9511494252873564	0.6808510638297872	0.7214700193423598	0.16763378465506126
FGF1-FGFR2	FGF1	FGFR2	0.332541567695962	0.46080760095011875	0.23275862068965517	0.7327586206896551	0.5847840103159252	0.627337201805287	0.4087685364281109
FGF2-FGFR2	FGF2	FGFR2	0.2850356294536817	0.9691211401425178	0.23275862068965517	0.7327586206896551	0.5306254029658285	0.9097356544165055	0.6150870406189555
FGF3-FGFR2	FGF3	FGFR2	0.6365795724465558	0.2992874109263658	0.23275862068965517	0.7327586206896551	0.8278529980657641	0.5054803352675693	0.32495164410058025
FGF4-FGFR2	FGF4	FGFR2	0.6365795724465558	0	0.23275862068965517	0.7327586206896551	0.8278529980657641	0	0
FGF7-FGFR2	FGF7	FGFR2	0.1187648456057007	0.7980997624703088	0.23275862068965517	0.7327586206896551	0.3010960670535139	0.8175370728562218	0.5557704706640877
FGF8-FGFR2	FGF8	FGFR2	0.9073634204275535	0.3752969121140142	0.23275862068965517	0.7327586206896551	0.9522888459058672	0.5680206318504191	0.36363636363636365
FGF10-FGFR2	FGF10	FGFR2	0.36342042755344417	0.41092636579572445	0.23275862068965517	0.7327586206896551	0.6092843326885881	0.5970341715022566	0.379110251450677
VEGFB-FLT1	VEGFB	FLT1	0.009501187648456057	0.9857482185273159	0.9770114942528736	0.27873563218390807	0.04771115409413282	0.5673758865248227	1
EFNA1-EPHA1	EFNA1	EPHA1	0.09263657957244656	0.7054631828978623	0.3936781609195402	0.6695402298850575	0.22759509993552546	0.7491940683430045	0.6802063185041909
EFNA1-EPHA6	EFNA1	EPHA6	0.09263657957244656	0.7054631828978623	0.27586206896551724	0.632183908045977	0.2192134107027724	0.7253384912959381	0.5725338491295938
EFNA4-EPHA6	EFNA4	EPHA6	0.1543942992874109	0.8669833729216152	0.27586206896551724	0.632183908045977	0.32559638942617664	0.7956157317859446	0.63571889103804
EFNA1-EPHA8	EFNA1	EPHA8	0.09263657957244656	0.7054631828978623	0.896551724137931	0.45977011494252873	0.16827852998065765	0.6170212765957447	0.9451966473243069
EFNA1-EPHA4	EFNA1	EPHA4	0.09263657957244656	0.7054631828978623	0.13793103448275862	0.896551724137931	0.29142488716956805	0.8471953578336557	0.38104448742746616
EFNA1-EPHA2	EFNA1	EPHA2	0.09263657957244656	0.7054631828978623	0.8074712643678161	0.5172413793103449	0.18504190844616378	0.6524822695035462	0.9181173436492586
EFNA1-EPHA3	EFNA1	EPHA3	0.09263657957244656	0.7054631828978623	0.3074712643678161	0.8879310344827587	0.28497743391360414	0.8446163765312702	0.597678916827853
EFNA1-EPHA5	EFNA1	EPHA5	0.09263657957244656	0.7054631828978623	0.27298850574712646	0.8333333333333334	0.27014829142488717	0.8207607994842038	0.5673758865248227
ANGPT2-TEK	ANGPT2	TEK	0.171021377672209	0.8574821852731591	0.8850574712643678	0.11494252873563218	0.09284332688588008	0.3236621534493875	0.9780786589297228
ANGPT1-TEK	ANGPT1	TEK	0.23515439429928742	0.667458432304038	0.8850574712643678	0.11494252873563218	0.11734364925854288	0.2940038684719536	0.9303675048355899
ANGPT4-TEK	ANGPT4	TEK	0.48931116389548696	0.18527315914489312	0.8850574712643678	0.11494252873563218	0.21405544809800128	0.21792392005157962	0.5125725338491296
WNT3A-RYK	WNT3A	RYK	0.6365795724465558	0	0.11781609195402298	0.8620689655172413	0.8968407479045777	0	0
GAS6-AXL	GAS6	AXL	0.06413301662707839	0.8954869358669834	0.41379310344827586	0.47126436781609193	0.134107027724049	0.7053513862024501	0.7885235332043843
GAS6-MERTK	GAS6	MERTK	0.06413301662707839	0.8954869358669834	0.23850574712643677	0.8275862068965517	0.20309477756286268	0.9245647969052224	0.5938104448742747
GDNF-RET	GDNF	RET	0.831353919239905	0.39667458432304037	0.12931034482758622	0.9281609195402298	0.97678916827853	0.6550612508059317	0.2875564152159897
IL26-IL10RB	IL26	IL10RB	0.5890736342042755	0.3919239904988123	0.5574712643678161	0.5086206896551724	0.6569954867827208	0.4803352675693101	0.600902643455835
IL5-IL5RA	IL5	IL5RA	0.6033254156769596	0.27790973871733965	0.9511494252873564	0.3132183908045977	0.4945196647324307	0.3127014829142489	0.6660219213410703
THPO-MPL	THPO	MPL	0.32779097387173395	0.44655581947743467	0.47413793103448276	0.43103448275862066	0.4203739522888459	0.47130883301096066	0.5931656995486783
AREG-ERBB2	AREG	ERBB2	0.31116389548693585	0.6555819477434679	0.39655172413793105	0.8045977011494253	0.5925209542230819	0.7840103159252095	0.6602192134107028
IL7-IL7R	IL7	IL7R	0.16152019002375298	0.7078384798099763	0.985632183908046	0.22701149425287356	0.14893617021276595	0.42359767891682787	0.961960025789813
NRG2-ERBB3	NRG2	ERBB3	0.8978622327790974	0.5748218527315915	0.06896551724137931	0.9022988505747126	0.9864603481624759	0.7775628626692457	0.2688588007736944
NRG2-ERBB4	NRG2	ERBB4	0.8978622327790974	0.5748218527315915	0.2471264367816092	0.5919540229885057	0.8852353320438426	0.6305609284332688	0.47195357833655704
LEP-LEPR	LEP	LEPR	0.9762470308788599	0.4418052256532066	0.8160919540229885	0.6551724137931034	0.9451966473243069	0.5854287556415216	0.7743391360412637
NRG1-ERBB3	NRG1	ERBB3	0.057007125890736345	0.9168646080760094	0.06896551724137931	0.9022988505747126	0.19987105093488072	0.9645390070921985	0.30947775628626695
NRG3-EGFR	NRG3	EGFR	0.09501187648456057	0.9073634204275535	0.16954022988505746	0.9798850574712644	0.31399097356544164	0.9813023855577047	0.49194068343004516
DHH-PTCH2	DHH	PTCH2	0.5463182897862233	0.5795724465558195	0.26436781609195403	0.7557471264367817	0.7975499677627337	0.7208252740167633	0.49065119277885233
DHH-HHIP	DHH	HHIP	0.5463182897862233	0.5795724465558195	0.46839080459770116	0.5114942528735632	0.6286266924564797	0.5931656995486783	0.6718246292714378
IHH-HHIP	IHH	HHIP	0.1377672209026128	0.8907363420427553	0.46839080459770116	0.5114942528735632	0.2514506769825919	0.7343649258542876	0.8278529980657641
WNT8A-FZD8	WNT8A	FZD8	0.6365795724465558	0	0.39080459770114945	0.3563218390804598	0.5641521598968408	0	0
BTC-EGFR	BTC	EGFR	0.47030878859857483	0.6508313539192399	0.16954022988505746	0.9798850574712644	0.8246292714377821	0.854287556415216	0.4145712443584784
BTC-ERBB4	BTC	ERBB4	0.47030878859857483	0.6508313539192399	0.2471264367816092	0.5919540229885057	0.6254029658284977	0.6731141199226306	0.5054803352675693
HBEGF-ERBB4	HBEGF	ERBB4	0.14251781472684086	0.6745843230403801	0.2471264367816092	0.5919540229885057	0.29464861379755	0.688588007736944	0.5164410058027079
BMP8B-BMPR1A	BMP8B	BMPR1A	0.4156769596199525	0.8147268408551069	0.07758620689655173	0.7701149425287356	0.6872985170857512	0.8452611218568665	0.30883301096067056
BMP8B-ACVR1	BMP8B	ACVR1	0.4156769596199525	0.8147268408551069	0.10057471264367816	0.6839080459770115	0.6363636363636364	0.8001289490651193	0.35009671179883944
CSF1-CSF2RA	CSF1	CSF2RA	0.23990498812351543	0.44655581947743467	0.8017241379310345	0.27011494252873564	0.2379110251450677	0.36363636363636365	0.7711154094132817
CSF3-CSF2RA	CSF3	CSF2RA	0.48931116389548696	0.18527315914489312	0.8017241379310345	0.27011494252873564	0.40038684719535783	0.2546744036105738	0.48226950354609927
IL9-IL9R	IL9	IL9R	0.6365795724465558	0	0.7442528735632183	0.11206896551724138	0.2546744036105738	0	0
WNT10B-FZD5	WNT10B	FZD5	0.31116389548693585	0.5914489311163895	0.1752873563218391	0.646551724137931	0.5125725338491296	0.6692456479690522	0.3984526112185687
EGF-ERBB2	EGF	ERBB2	0.37767220902612825	0.40617577197149646	0.39655172413793105	0.8045977011494253	0.6615087040618955	0.6189555125725339	0.5067698259187621
DKK1-KREMEN2	DKK1	KREMEN2	0.3182897862232779	0.6057007125890737	0.3620689655172414	0.75	0.5751128304319794	0.731785944551902	0.6021921341070278
DKK1-KREMEN1	DKK1	KREMEN1	0.3182897862232779	0.6057007125890737	0.8390804597701149	0.4339080459770115	0.4152159896840748	0.5538362346872985	0.8884590586718246
WNT2-FZD9	WNT2	FZD9	0.34679334916864607	0.6270783847980997	0.4454022988505747	0.4454022988505747	0.44680851063829785	0.5757575757575758	0.6827852998065764
IL11-IL11RA	IL11	IL11RA	0.5534441805225653	0.7672209026128266	0.14942528735632185	0.8649425287356322	0.8388136686009027	0.8755641521598968	0.4274661508704062
WNT7A-FZD5	WNT7A	FZD5	0.8693586698337292	0.18527315914489312	0.1752873563218391	0.646551724137931	0.9026434558349452	0.3617021276595745	0.25274016763378465
WNT4-FZD3	WNT4	FZD3	0.5653206650831354	0.8693586698337292	0.017241379310344827	0.9712643678160919	0.8981302385557705	0.970341715022566	0.20502901353965183
IL31-IL31RA	IL31	IL31RA	0.6033254156769596	0.3515439429928741	0.5028735632183908	0.39655172413793105	0.5770470664087686	0.3913604126370084	0.5390070921985816
BMP6-AMHR2	BMP6	AMHR2	0.3491686460807601	0.5439429928741093	0.3448275862068966	0.7902298850574713	0.6234687298517085	0.7105093488072212	0.5570599613152805
GDF11-ACVR2B	GDF11	ACVR2B	0.011876484560570071	0.9904988123515439	0.028735632183908046	0.9080459770114943	0.07092198581560284	0.9858156028368794	0.24242424242424243
NODAL-ACVR2B	NODAL	ACVR2B	0.6365795724465558	0	0.028735632183908046	0.9080459770114943	0.9090909090909091	0	0
GDF5-ACVR2B	GDF5	ACVR2B	0.5771971496437055	0.3824228028503563	0.028735632183908046	0.9080459770114943	0.8800773694390716	0.6395873629916183	0.19277885235332043
BMP15-BMPR2	BMP15	BMPR2	0.6365795724465558	0	0.02586206896551724	0.7959770114942529	0.865892972275951	0	0
