hgnc_symbol	description	ensembl_gene_ids	uniprot_gn_ids	consensus_score	islet_tpm	proteomics_human_islets
MDK	midkine	ENSG00000110492	P21741	15	10.76	2827
TNFSF13	TNF superfamily member 13	ENSG00000161955	O75888	17	10.13	NA
BMP2	bone morphogenetic protein 2	ENSG00000125845	P12643	21	9.45	NA
GAS6	growth arrest specific 6	ENSG00000183087	Q14393	16	9.32	2359.7
CSF1	colony stimulating factor 1	ENSG00000184371	P09603	19	9.2	NA
CX3CL1	C-X3-C motif chemokine ligand 1	ENSG00000006210	P78423	19	8.46	NA
WNT5A	Wnt family member 5A	ENSG00000114251	P41221	20	8.45	NA
PGF	placental growth factor	ENSG00000119630	P49763	16	8.29	NA
SAA1	serum amyloid A1	ENSG00000173432	P0DJI8	13	8.29	NA
SEMA3F	semaphorin 3F	ENSG00000001617	Q13275	13	8.28	NA
CXCL12	C-X-C motif chemokine ligand 12	ENSG00000107562	P48061	20	8.11	NA
SEMA3B	semaphorin 3B	ENSG00000012171	Q13214	11	7.54	NA
C1QTNF5	C1q and TNF related 5	ENSG00000223953	Q9BXJ0	7	7.2	NA
PDGFB	platelet derived growth factor subunit B	ENSG00000100311	P01127	18	6.49	NA
CALCB	calcitonin related polypeptide beta	ENSG00000175868	P10092	14	6.05	NA
FGF14	fibroblast growth factor 14	ENSG00000102466	Q92915	9	5.92	NA
TAC1	tachykinin precursor 1	ENSG00000006128	P20366	13	5.91	NA
NRG4	neuregulin 4	ENSG00000169752	Q8WWG1	18	5.82	NA
NLGN1	neuroligin 1	ENSG00000169760	Q8N2Q7	6	5.79	NA
SEMA3E	semaphorin 3E	ENSG00000170381	O15041	12	5.74	1462.3
GDF11	growth differentiation factor 11	ENSG00000135414	O95390	16	5.14	NA
BMP8A	bone morphogenetic protein 8a	ENSG00000183682	Q7Z5Y6	14	4.95	NA
FGF13	fibroblast growth factor 13	ENSG00000129682	Q92913	14	4.84	NA
FGF19	fibroblast growth factor 19	ENSG00000162344	O95750	18	4.8	NA
CLCF1	cardiotrophin like cytokine factor 1	ENSG00000175505	Q9UBD9	17	4.62	NA
BMP8B	bone morphogenetic protein 8b	ENSG00000116985	P34820	15	4.51	908.5
ZP3	zona pellucida glycoprotein 3	ENSG00000188372	P21754	9	4.48	NA
CCL7	C-C motif chemokine ligand 7	ENSG00000108688	P80098	19	4.46	NA
SEMA3C	semaphorin 3C	ENSG00000075223	Q99985	13	4.41	NA
CRH	corticotropin releasing hormone	ENSG00000147571	P06850	16	4.39	2926.3
EFNA4	ephrin A4	ENSG00000243364	P52798	10	4.28	NA
IL1B	interleukin 1 beta	ENSG00000125538	P01584	20	3.98	NA
HGF	hepatocyte growth factor	ENSG00000019991	P14210	19	3.56	NA
GRP	gastrin releasing peptide	ENSG00000134443	P07492	14	3.53	NA
TGFB3	transforming growth factor beta 3	ENSG00000119699	P10600	21	3.44	NA
CCN3	cellular communication network factor 3	ENSG00000136999	P48745	14	3.36	NA
IL1A	interleukin 1 alpha	ENSG00000115008	P01583	20	3.16	NA
FGF7	fibroblast growth factor 7	ENSG00000140285	P21781	18	3.16	NA
SCGB3A2	secretoglobin family 3A member 2	ENSG00000164265	Q96PL1	9	3.08	NA
BTC	betacellulin	ENSG00000174808	P35070	18	3.06	NA
RLN2	relaxin 2	ENSG00000107014	P04090	12	3.04	NA
CCL4	C-C motif chemokine ligand 4	ENSG00000277943, ENSG00000275824, ENSG00000275302	P13236	19	3.02	NA
GAL	galanin and GMAP prepropeptide	ENSG00000069482	P22466	15	2.81	NA
NRG1	neuregulin 1	ENSG00000157168	Q02297	15	2.77	NA
EDA	ectodysplasin A	ENSG00000158813	Q92838	17	2.64	NA
CCL21	C-C motif chemokine ligand 21	ENSG00000137077	O00585	18	2.52	NA
MST1	macrophage stimulating 1	ENSG00000173531	P26927	15	2.52	NA
SLIT2	slit guidance ligand 2	ENSG00000145147	O94813	9	2.52	NA
CCL22	C-C motif chemokine ligand 22	ENSG00000102962	O00626	19	2.5	NA
WNT9A	Wnt family member 9A	ENSG00000143816	O14904	8	2.5	NA
IL7	interleukin 7	ENSG00000104432	P13232	21	2.48	NA
EGF	epidermal growth factor	ENSG00000138798	P01133	19	2.44	NA
SLIT1	slit guidance ligand 1	ENSG00000187122	O75093	10	2.44	10020.2
VEGFC	vascular endothelial growth factor C	ENSG00000150630	P49767	20	2.43	NA
C1QTNF1	C1q and TNF related 1	ENSG00000173918	Q9BXJ1	9	2.42	NA
IL15	interleukin 15	ENSG00000164136	P40933	20	2.41	NA
NTN1	netrin 1	ENSG00000065320	O95631	10	2.33	NA
IL23A	interleukin 23 subunit alpha	ENSG00000110944	Q9NPF7	17	2.32	NA
PTHLH	parathyroid hormone like hormone	ENSG00000087494	P12272	16	2.25	NA
DKK1	dickkopf WNT signaling pathway inhibitor 1	ENSG00000107984	O94907	12	2.25	NA
FGF9	fibroblast growth factor 9	ENSG00000102678	P31371	17	2.2	NA
SCGB3A1	secretoglobin family 3A member 1	ENSG00000161055	Q96QR1	10	2.11	NA
ANGPTL1	angiopoietin like 1	ENSG00000116194	O95841	13	2.08	NA
WNT5B	Wnt family member 5B	ENSG00000111186	Q9H1J7	11	2.06	NA
BMP4	bone morphogenetic protein 4	ENSG00000125378	P12644	21	2.02	NA
IL16	interleukin 16	ENSG00000172349	Q14005	16	1.97	408.8
TF	transferrin	ENSG00000091513	P02787	7	1.96	25644.5
TNFSF15	TNF superfamily member 15	ENSG00000181634	O95150	15	1.86	NA
CXCL11	C-X-C motif chemokine ligand 11	ENSG00000169248	O14625	17	1.66	NA
CXCL10	C-X-C motif chemokine ligand 10	ENSG00000169245	P02778	19	1.64	NA
NGF	nerve growth factor	ENSG00000134259	P01138	20	1.59	NA
TNFSF11	TNF superfamily member 11	ENSG00000120659	O14788	17	1.56	NA
CCL15	C-C motif chemokine ligand 15	ENSG00000275528, ENSG00000275718	Q16663	17	1.55	NA
APLN	apelin	ENSG00000171388	Q9ULZ1	14	1.52	NA
NTS	neurotensin	ENSG00000133636	P30990	14	1.42	NA
GAST	gastrin	ENSG00000184502	P01350	15	1.32	NA
NRG2	neuregulin 2	ENSG00000158458	O14511	18	1.3	NA
FGF1	fibroblast growth factor 1	ENSG00000113578	P05230	18	1.29	NA
BMP6	bone morphogenetic protein 6	ENSG00000153162	P22004	21	1.28	NA
CCL3	C-C motif chemokine ligand 3	ENSG00000278567, ENSG00000274221, ENSG00000277632	P10147	17	1.26	NA
TSHB	thyroid stimulating hormone subunit beta	ENSG00000134200	P01222	15	1.24	NA
SEMA3A	semaphorin 3A	ENSG00000075213	Q14563	13	1.23	NA
ADM2	adrenomedullin 2	ENSG00000128165	Q7Z4H4	13	1.21	NA
NPPB	natriuretic peptide B	ENSG00000120937	P16860	14	1.16	NA
TNFSF4	TNF superfamily member 4	ENSG00000117586	P23510	13	1.16	NA
CCL5	C-C motif chemokine ligand 5	ENSG00000274233, ENSG00000271503	P13501	19	1.15	NA
RLN1	relaxin 1	ENSG00000107018	P04808	14	1.04	NA
SLIT3	slit guidance ligand 3	ENSG00000184347	O75094	9	1.03	NA
SEMA3G	semaphorin 3G	ENSG00000010319	Q9NS98	11	0.99	NA
CCL8	C-C motif chemokine ligand 8	ENSG00000108700	P80075	18	0.98	NA
WNT7B	Wnt family member 7B	ENSG00000188064	P56706	15	0.95	NA
WNT7A	Wnt family member 7A	ENSG00000154764	O00755	17	0.91	NA
LTB	lymphotoxin beta	ENSG00000223448, ENSG00000231314, ENSG00000204487, ENSG00000236925, ENSG00000238114, ENSG00000236237, ENSG00000206437, ENSG00000227507	Q06643	9	0.91	NA
WNT2B	Wnt family member 2B	ENSG00000134245	Q93097	10	0.9	NA
INHBB	inhibin subunit beta B	ENSG00000163083	P09529	19	0.89	NA
GUCA2A	guanylate cyclase activator 2A	ENSG00000197273	Q02747	16	0.87	NA
TAC4	tachykinin precursor 4	ENSG00000176358	Q86UU9	9	0.87	NA
GPHA2	glycoprotein hormone subunit alpha 2	ENSG00000149735	Q96T91	10	0.85	NA
EREG	epiregulin	ENSG00000124882	O14944	16	0.83	NA
TSLP	thymic stromal lymphopoietin	ENSG00000145777	Q969D9	18	0.81	NA
EDN2	endothelin 2	ENSG00000127129	P20800	18	0.81	NA
NRG3	neuregulin 3	ENSG00000185737	P56975	17	0.81	NA
PTN	pleiotrophin	ENSG00000105894	P21246	15	0.81	NA
TNFSF14	TNF superfamily member 14	ENSG00000125735	O43557	18	0.8	NA
PSPN	persephin	ENSG00000125650	O60542	15	0.79	NA
FLT3LG	fms related receptor tyrosine kinase 3 ligand	ENSG00000090554	P49771	17	0.78	NA
RSPO3	R-spondin 3	ENSG00000146374	Q9BXY4	13	0.76	NA
MIA	MIA SH3 domain containing	ENSG00000261857	Q16674	11	0.73	NA
UTS2B	urotensin 2B	ENSG00000188958	Q765I0	14	0.69	NA
PENK	proenkephalin	ENSG00000181195	P01210	14	0.68	NA
CCL3L1	C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3	ENSG00000277796, ENSG00000277768, ENSG00000277336, ENSG00000276085	P16619	15	0.66	NA
CCL3L3	C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3	ENSG00000277796, ENSG00000277768, ENSG00000277336, ENSG00000276085	P16619	15	0.66	NA
FGF11	fibroblast growth factor 11	ENSG00000283903, ENSG00000161958	Q92914	9	0.66	NA
CSF3	colony stimulating factor 3	ENSG00000108342	P09919	20	0.65	NA
CXCL9	C-X-C motif chemokine ligand 9	ENSG00000138755	Q07325	18	0.62	NA
ENHO	energy homeostasis associated	ENSG00000168913	Q6UWT2	6	0.61	NA
CCL27	C-C motif chemokine ligand 27	ENSG00000213927	Q9Y4X3	17	0.6	NA
GDF9	growth differentiation factor 9	ENSG00000164404	O60383	17	0.59	NA
TG	thyroglobulin	ENSG00000042832	P01266	11	0.59	NA
INHBE	inhibin subunit beta E	ENSG00000139269	P58166	12	0.55	NA
TNFSF13B	TNF superfamily member 13b	ENSG00000102524	Q9Y275	18	0.52	NA
SHH	sonic hedgehog signaling molecule	ENSG00000164690	Q15465	16	0.51	NA
CGA	glycoprotein hormones, alpha polypeptide	ENSG00000135346	P01215	14	0.5	NA
POMC	proopiomelanocortin	ENSG00000115138	P01189	16	0.49	NA
UCN2	urocortin 2	ENSG00000145040	Q96RP3	15	0.49	NA
PIP	prolactin induced protein	ENSG00000159763	P12273	8	0.49	NA
FGF10	fibroblast growth factor 10	ENSG00000070193	O15520	18	0.48	NA
IL4	interleukin 4	ENSG00000113520	P05112	21	0.47	NA
ANGPTL3	angiopoietin like 3	ENSG00000132855	Q9Y5C1	14	0.46	NA
NXPH3	neurexophilin 3	ENSG00000182575	O95157	9	0.46	NA
WNT3	Wnt family member 3	ENSG00000277641, ENSG00000277626, ENSG00000108379	P56703	16	0.44	NA
ANGPT1	angiopoietin 1	ENSG00000154188	Q15389	16	0.44	NA
VEGFD	vascular endothelial growth factor D	ENSG00000165197	O43915	16	0.44	NA
BDNF	brain derived neurotrophic factor	ENSG00000176697	P23560	20	0.42	NA
TAC3	tachykinin precursor 3	ENSG00000166863	Q9UHF0	12	0.39	NA
CSF2	colony stimulating factor 2	ENSG00000164400	P04141	19	0.37	NA
FGF23	fibroblast growth factor 23	ENSG00000118972	Q9GZV9	16	0.37	NA
WNT16	Wnt family member 16	ENSG00000002745	Q9UBV4	12	0.37	NA
CCL18	C-C motif chemokine ligand 18	ENSG00000278006, ENSG00000278167, ENSG00000275385	P55774	15	0.36	NA
GDNF	glial cell derived neurotrophic factor	ENSG00000168621	P39905	16	0.35	NA
TNFSF9	TNF superfamily member 9	ENSG00000125657	P41273	13	0.35	NA
IL36B	interleukin 36 beta	ENSG00000136696	Q9NZH7	9	0.35	NA
IL10	interleukin 10	ENSG00000136634	P22301	21	0.34	NA
CCL19	C-C motif chemokine ligand 19	ENSG00000172724	Q99731	17	0.34	NA
PYY	peptide YY	ENSG00000131096	P10082	15	0.34	NA
GDF6	growth differentiation factor 6	ENSG00000156466	Q6KF10	17	0.31	NA
CCK	cholecystokinin	ENSG00000187094	P06307	15	0.31	NA
APELA	apelin receptor early endogenous ligand	ENSG00000248329	P0DMC3	9	0.31	NA
CCL4L2	C-C motif chemokine ligand 4 like 2	ENSG00000282604, ENSG00000275313, ENSG00000276125, ENSG00000276070	Q8NHW4	8	0.31	NA
IGFL2	IGF like family member 2	ENSG00000204866	Q6UWQ7	8	0.3	NA
INHA	inhibin subunit alpha	ENSG00000123999	P05111	16	0.29	NA
INSL3	insulin like 3	ENSG00000248099	P51460	16	0.29	NA
GNRH1	gonadotropin releasing hormone 1	ENSG00000147437	P01148	15	0.29	NA
CCL11	C-C motif chemokine ligand 11	ENSG00000172156	P51671	19	0.27	NA
FGF17	fibroblast growth factor 17	ENSG00000158815	O60258	18	0.27	NA
GUCA2B	guanylate cyclase activator 2B	ENSG00000044012	Q16661	12	0.27	NA
NDP	norrin cystine knot growth factor NDP	ENSG00000124479	Q00604	11	0.27	NA
TNF	tumor necrosis factor	ENSG00000228978, ENSG00000204490, ENSG00000223952, ENSG00000228849, ENSG00000228321, ENSG00000230108, ENSG00000206439, ENSG00000232810	P01375	19	0.26	NA
BMP7	bone morphogenetic protein 7	ENSG00000101144	P18075	21	0.25	NA
ARTN	artemin	ENSG00000117407	Q5T4W7	15	0.25	NA
PNOC	prepronociceptin	ENSG00000168081	Q13519	12	0.25	NA
PDCD1LG2	programmed cell death 1 ligand 2	ENSG00000197646	Q9BQ51	6	0.25	NA
IL17B	interleukin 17B	ENSG00000127743	Q9UHF5	16	0.24	NA
CORT	cortistatin	ENSG00000241563	O00230	14	0.24	NA
WNT10A	Wnt family member 10A	ENSG00000135925	Q9GZT5	8	0.24	NA
IL12A	interleukin 12A	ENSG00000168811	P29459	17	0.23	NA
CALCA	calcitonin related polypeptide alpha	ENSG00000110680	P01258, P06881	15	0.23	NA
SEMA3D	semaphorin 3D	ENSG00000153993	O95025	11	0.22	NA
PPBP	pro-platelet basic protein	ENSG00000163736	P02775	17	0.21	NA
IGF1	insulin like growth factor 1	ENSG00000017427	P05019	19	0.19	NA
CCL17	C-C motif chemokine ligand 17	ENSG00000102970	Q92583	17	0.19	NA
FGF18	fibroblast growth factor 18	ENSG00000156427	O76093	18	0.18	NA
CXCL13	C-X-C motif chemokine ligand 13	ENSG00000156234	O43927	18	0.18	NA
WNT11	Wnt family member 11	ENSG00000085741	O96014	16	0.18	NA
THPO	thrombopoietin	ENSG00000090534	P40225	20	0.17	NA
QRFP	pyroglutamylated RFamide peptide	ENSG00000188710	P83859	14	0.17	NA
EPGN	epithelial mitogen	ENSG00000182585	Q6UW88	12	0.17	NA
CXCL14	C-X-C motif chemokine ligand 14	ENSG00000145824	O95715	6	0.17	NA
IL34	interleukin 34	ENSG00000157368	Q6ZMJ4	17	0.16	NA
FGF5	fibroblast growth factor 5	ENSG00000138675	P12034	16	0.16	NA
UCN	urocortin	ENSG00000163794	P55089	13	0.16	NA
DEFB4B	defensin beta 4B	ENSG00000275444, ENSG00000285433, ENSG00000177257	O15263	8	0.16	NA
DEFB4A	defensin beta 4A	ENSG00000285181, ENSG00000171711	O15263	8	0.16	NA
IL5	interleukin 5	ENSG00000113525	P05113	20	0.15	NA
PRL	prolactin	ENSG00000172179	P01236	17	0.15	NA
NPB	neuropeptide B	ENSG00000183979	Q8NG41	11	0.14	NA
CCL14	C-C motif chemokine ligand 14	ENSG00000277236, ENSG00000276409	Q16627	17	0.13	NA
KISS1	KiSS-1 metastasis suppressor	ENSG00000170498	Q15726	12	0.13	NA
PF4V1	platelet factor 4 variant 1	ENSG00000109272	P10720	6	0.13	NA
IL19	interleukin 19	ENSG00000142224	Q9UHD0	19	0.12	NA
EPO	erythropoietin	ENSG00000130427	P01588	19	0.12	NA
FGF20	fibroblast growth factor 20	ENSG00000078579	Q9NP95	15	0.12	NA
NPW	neuropeptide W	ENSG00000183971	Q8N729	10	0.12	NA
IL36G	interleukin 36 gamma	ENSG00000136688	Q9NZH8	10	0.12	2647.6
AMH	anti-Mullerian hormone	ENSG00000104899	P03971	19	0.11	NA
NODAL	nodal growth differentiation factor	ENSG00000156574	Q96S42	17	0.11	NA
GIP	gastric inhibitory polypeptide	ENSG00000159224	P09681	16	0.11	NA
CTF1	cardiotrophin 1	ENSG00000150281	Q16619	19	0.1	NA
NPPC	natriuretic peptide C	ENSG00000163273	P23582	16	0.1	NA
CCL13	C-C motif chemokine ligand 13	ENSG00000181374	Q99616	19	0.09	NA
CCL16	C-C motif chemokine ligand 16	ENSG00000275095, ENSG00000275152	O15467	17	0.09	NA
GDF7	growth differentiation factor 7	ENSG00000143869	Q7Z4P5	17	0.09	NA
INHBC	inhibin subunit beta C	ENSG00000175189	P55103	16	0.09	NA
TRH	thyrotropin releasing hormone	ENSG00000170893	P20396	13	0.09	NA
GDF10	growth differentiation factor 10	ENSG00000266524	P55107	12	0.09	NA
IL12B	interleukin 12B	ENSG00000113302	P29460	16	0.08	NA
PF4	platelet factor 4	ENSG00000163737	P02776	15	0.08	NA
RSPO2	R-spondin 2	ENSG00000147655	Q6UXX9	13	0.08	NA
DEFB103A	defensin beta 103A	ENSG00000285376, ENSG00000284978, ENSG00000176797	P81534	7	0.08	NA
OSM	oncostatin M	ENSG00000099985	P13725	21	0.07	NA
NTF3	neurotrophin 3	ENSG00000185652	P20783	20	0.07	NA
PMCH	pro-melanin concentrating hormone	ENSG00000183395	P20382	14	0.07	NA
GNRH2	gonadotropin releasing hormone 2	ENSG00000125787	O43555	13	0.07	NA
IGFL3	IGF like family member 3	ENSG00000188624	Q6UXB1	11	0.07	NA
DKK2	dickkopf WNT signaling pathway inhibitor 2	ENSG00000155011	Q9UBU2	10	0.07	NA
IFNE	interferon epsilon	ENSG00000184995	Q86WN2	9	0.07	NA
WNT2	Wnt family member 2	ENSG00000105989	P09544	16	0.06	NA
IFNA21	interferon alpha 21	ENSG00000137080	P01568	15	0.06	NA
MSTN	myostatin	ENSG00000138379	O14793	15	0.06	NA
IHH	Indian hedgehog signaling molecule	ENSG00000163501	Q14623	15	0.06	NA
FGF22	fibroblast growth factor 22	ENSG00000070388	Q9HCT0	15	0.06	NA
IL17C	interleukin 17C	ENSG00000124391	Q9P0M4	12	0.06	NA
NMU	neuromedin U	ENSG00000109255	P48645	12	0.06	NA
IGFL1	IGF like family member 1	ENSG00000188293	Q6UW32	8	0.06	NA
NTF4	neurotrophin 4	ENSG00000225950	P34130	19	0.05	NA
IL20	interleukin 20	ENSG00000162891	Q9NYY1	18	0.05	NA
EBI3	Epstein-Barr virus induced 3	ENSG00000105246	Q14213	14	0.05	NA
CD70	CD70 molecule	ENSG00000125726	P32970	13	0.05	NA
RSPO1	R-spondin 1	ENSG00000169218	Q2MKA7	13	0.05	NA
WNT9B	Wnt family member 9B	ENSG00000276799, ENSG00000158955	O14905	9	0.05	NA
CD5L	CD5 molecule like	ENSG00000073754	O43866	9	0.05	NA
LEP	leptin	ENSG00000174697	P41159	18	0.04	NA
NPPA	natriuretic peptide A	ENSG00000175206	P01160	16	0.04	NA
UTS2	urotensin 2	ENSG00000049247	O95399	14	0.04	713503.9
NPS	neuropeptide S	ENSG00000214285	P0C0P6	12	0.04	NA
MLN	motilin	ENSG00000096395	P12872	12	0.04	NA
IL36RN	interleukin 36 receptor antagonist	ENSG00000136695	Q9UBH0	9	0.04	NA
NXPH2	neurexophilin 2	ENSG00000144227	O95156	9	0.04	NA
NXPH1	neurexophilin 1	ENSG00000122584	P58417	9	0.04	NA
PRND	prion like protein doppel	ENSG00000171864	Q9UKY0	6	0.04	NA
XCL1	X-C motif chemokine ligand 1	ENSG00000143184	P47992	18	0.03	NA
FASLG	Fas ligand	ENSG00000117560	P48023	16	0.03	NA
ADIPOQ	adiponectin, C1Q and collagen domain containing	ENSG00000181092	Q15848	16	0.03	NA
PROK1	prokineticin 1	ENSG00000143125	P58294	15	0.03	NA
AGRP	agouti related neuropeptide	ENSG00000159723	O00253	14	0.03	NA
DHH	desert hedgehog signaling molecule	ENSG00000139549	O43323	14	0.03	NA
KNG1	kininogen 1	ENSG00000113889	P01042	13	0.03	NA
CGB5	chorionic gonadotropin subunit beta 5	ENSG00000189052	P0DN86	8	0.03	NA
WNT10B	Wnt family member 10B	ENSG00000169884	O00744	8	0.03	NA
RETN	resistin	ENSG00000104918	Q9HD89	6	0.03	NA
IL13	interleukin 13	ENSG00000169194	P35225	20	0.02	NA
LTA	lymphotoxin alpha	ENSG00000230279, ENSG00000238130, ENSG00000231408, ENSG00000223919, ENSG00000173503, ENSG00000226275, ENSG00000226979	P01374	19	0.02	NA
CCL1	C-C motif chemokine ligand 1	ENSG00000108702	P22362	18	0.02	NA
GH1	growth hormone 1	ENSG00000259384	P01241	18	0.02	NA
XCL2	X-C motif chemokine ligand 2	ENSG00000143185	Q9UBD3	17	0.02	NA
CCL23	C-C motif chemokine ligand 23	ENSG00000276114, ENSG00000274736	P55773	17	0.02	NA
IFNA13	interferon alpha 13	ENSG00000233816	P01562	15	0.02	NA
RLN3	relaxin 3	ENSG00000288474, ENSG00000171136	Q8WXF3	15	0.02	NA
IL31	interleukin 31	ENSG00000204671	Q6EBC2	14	0.02	NA
SCT	secretin	ENSG00000274473, ENSG00000070031	P09683	14	0.02	NA
FGF21	fibroblast growth factor 21	ENSG00000105550	Q9NSA1	14	0.02	NA
HCRT	hypocretin neuropeptide precursor	ENSG00000161610	O43612	14	0.02	NA
RSPO4	R-spondin 4	ENSG00000101282	Q2I0M5	13	0.02	NA
LEFTY2	left-right determination factor 2	ENSG00000143768	O00292	12	0.02	NA
LHB	luteinizing hormone subunit beta	ENSG00000104826	P01229	12	0.02	NA
GDF3	growth differentiation factor 3	ENSG00000184344	Q9NR23	10	0.02	NA
WNT8B	Wnt family member 8B	ENSG00000075290	Q93098	8	0.02	NA
