interaction	ligand	receptor	ligand_rank	receptor_rank	interaction_rank
ADIPOQ-ADIPOR1	ADIPOQ	ADIPOR1	0.9881235154394299	0.7155172413793104	0.9642857142857143
NRTN-GFRA2	NRTN	GFRA2	0.8978622327790974	0.7844827586206896	0.9636479591836735
TGFB1-CXCR4	TGFB1	CXCR4	0.9572446555819477	0.735632183908046	0.9630102040816326
FGF21-FGFR2	FGF21	FGFR2	0.9596199524940617	0.7327586206896551	0.9623724489795918
GDNF-GFRA3	GDNF	GFRA3	0.831353919239905	0.8448275862068966	0.9617346938775511
TNF-TNFRSF21	TNF	TNFRSF21	0.8693586698337292	0.8074712643678161	0.9610969387755102
RLN3-VIPR1	RLN3	VIPR1	0.9406175771971497	0.7413793103448276	0.9604591836734694
CCL7-ACKR1	CCL7	ACKR1	0.8479809976247031	0.8189655172413793	0.9598214285714286
CCL5-ACKR1	CCL5	ACKR1	0.8456057007125891	0.8189655172413793	0.9591836734693877
CCL22-ACKR1	CCL22	ACKR1	0.838479809976247	0.8189655172413793	0.9585459183673469
CXCL10-ACKR1	CXCL10	ACKR1	0.836104513064133	0.8189655172413793	0.9579081632653061
TF-TFRC	TF	TFRC	0.8764845605700713	0.7787356321839081	0.9572704081632653
PRL-ERBB2	PRL	ERBB2	0.8479809976247031	0.8045977011494253	0.9566326530612245
LIF-LIFR	LIF	LIFR	0.9809976247030879	0.6954022988505747	0.9559948979591837
POMC-VIPR1	POMC	VIPR1	0.9168646080760094	0.7413793103448276	0.9553571428571429
RLN2-VIPR1	RLN2	VIPR1	0.9121140142517815	0.7413793103448276	0.954719387755102
FGF19-KLB	FGF19	KLB	0.8242280285035629	0.8103448275862069	0.9540816326530612
CALCB-CALCR	CALCB	CALCR	0.9548693586698337	0.6982758620689655	0.9534438775510204
FGF8-FGFR2	FGF8	FGFR2	0.9073634204275535	0.7327586206896551	0.9528061224489796
BMP5-ACVR1	BMP5	ACVR1	0.9691211401425178	0.6839080459770115	0.9521683673469388
WNT11-FZD6	WNT11	FZD6	0.8669833729216152	0.764367816091954	0.951530612244898
ZP3-MERTK	ZP3	MERTK	0.8004750593824228	0.8275862068965517	0.9508928571428571
NPY-PRLHR	NPY	PRLHR	0.997624703087886	0.6637931034482759	0.9502551020408163
IAPP-VIPR1	IAPP	VIPR1	0.8812351543942993	0.7413793103448276	0.9496173469387755
GDNF-GFRA2	GDNF	GFRA2	0.831353919239905	0.7844827586206896	0.9489795918367347
HGF-NRP1	HGF	NRP1	0.8432304038004751	0.7729885057471264	0.9483418367346939
CXCL2-ACKR1	CXCL2	ACKR1	0.7933491686460807	0.8189655172413793	0.9477040816326531
EREG-ERBB2	EREG	ERBB2	0.8028503562945368	0.8045977011494253	0.9470663265306123
GH1-PRLR	GH1	PRLR	0.9239904988123515	0.6925287356321839	0.9464285714285714
LEP-LEPR	LEP	LEPR	0.9762470308788599	0.6551724137931034	0.9457908163265306
TNFSF13-TNFRSF1A	TNFSF13	TNFRSF1A	0.9382422802850356	0.6810344827586207	0.9451530612244898
IL36A-IL1RAP	IL36A	IL1RAP	0.9406175771971497	0.6752873563218391	0.9445153061224489
GDF1-ACVR1C	GDF1	ACVR1C	0.6365795724465558	0.9913793103448276	0.9426020408163265
GDF3-ACVR1C	GDF3	ACVR1C	0.6365795724465558	0.9913793103448276	0.9426020408163265
NODAL-ACVR1C	NODAL	ACVR1C	0.6365795724465558	0.9913793103448276	0.9426020408163265
RSPO2-FZD4	RSPO2	FZD4	0.8693586698337292	0.7241379310344828	0.9419642857142857
VIP-VIPR1	VIP	VIPR1	0.8479809976247031	0.7413793103448276	0.9413265306122449
WNT11-FZD4	WNT11	FZD4	0.8669833729216152	0.7241379310344828	0.9406887755102041
INHBC-ACVR1	INHBC	ACVR1	0.9144893111638955	0.6839080459770115	0.9400510204081632
IL36B-IL1RAP	IL36B	IL1RAP	0.9239904988123515	0.6752873563218391	0.9394132653061225
WNT8A-FZD3	WNT8A	FZD3	0.6365795724465558	0.9712643678160919	0.9375
WNT1-FZD3	WNT1	FZD3	0.6365795724465558	0.9712643678160919	0.9375
WNT3A-FZD3	WNT3A	FZD3	0.6365795724465558	0.9712643678160919	0.9375
WNT1-ROR2	WNT1	ROR2	0.6365795724465558	0.9683908045977011	0.9368622448979592
IAPP-CALCR	IAPP	CALCR	0.8812351543942993	0.6982758620689655	0.9362244897959183
IL36RN-IL1RAP	IL36RN	IL1RAP	0.9097387173396675	0.6752873563218391	0.9355867346938775
ADCYAP1-SCTR	ADCYAP1	SCTR	0.9833729216152018	0.6235632183908046	0.9349489795918368
ADM-VIPR1	ADM	VIPR1	0.8194774346793349	0.7413793103448276	0.9343112244897959
FGF4-FGFR1	FGF4	FGFR1	0.6365795724465558	0.9511494252873564	0.9317602040816326
FGF6-FGFR1	FGF6	FGFR1	0.6365795724465558	0.9511494252873564	0.9317602040816326
FGF3-FGFR1	FGF3	FGFR1	0.6365795724465558	0.9511494252873564	0.9317602040816326
FGF16-FGFR1	FGF16	FGFR1	0.6365795724465558	0.9511494252873564	0.9317602040816326
NPY-NPFFR2	NPY	NPFFR2	0.997624703087886	0.6063218390804598	0.9311224489795918
FGF19-FGFR2	FGF19	FGFR2	0.8242280285035629	0.7327586206896551	0.9304846938775511
IL1RN-IL1RAP	IL1RN	IL1RAP	0.8931116389548693	0.6752873563218391	0.9298469387755102
FGF22-FGFR2	FGF22	FGFR2	0.8171021377672208	0.7327586206896551	0.9292091836734694
IL1B-IL1RAP	IL1B	IL1RAP	0.8836104513064132	0.6752873563218391	0.9285714285714286
FGF6-FGFR4	FGF6	FGFR4	0.6365795724465558	0.9367816091954023	0.9260204081632653
FGF4-FGFR4	FGF4	FGFR4	0.6365795724465558	0.9367816091954023	0.9260204081632653
FGF3-FGFR4	FGF3	FGFR4	0.6365795724465558	0.9367816091954023	0.9260204081632653
FGF16-FGFR4	FGF16	FGFR4	0.6365795724465558	0.9367816091954023	0.9260204081632653
TNF-TNFRSF1A	TNF	TNFRSF1A	0.8693586698337292	0.6810344827586207	0.9253826530612245
WNT1-FZD1	WNT1	FZD1	0.6365795724465558	0.9252873563218391	0.9241071428571429
WNT3A-FZD1	WNT3A	FZD1	0.6365795724465558	0.9252873563218391	0.9241071428571429
EPGN-EGFR	EPGN	EGFR	0.6009501187648456	0.9798850574712644	0.923469387755102
PRL-PRLR	PRL	PRLR	0.8479809976247031	0.6925287356321839	0.9221938775510204
CSH2-PRLR	CSH2	PRLR	0.8479809976247031	0.6925287356321839	0.9221938775510204
WNT3A-ROR1	WNT3A	ROR1	0.6365795724465558	0.9224137931034483	0.9215561224489796
FGF4-FGFR3	FGF4	FGFR3	0.6365795724465558	0.9166666666666666	0.9190051020408163
FGF6-FGFR3	FGF6	FGFR3	0.6365795724465558	0.9166666666666666	0.9190051020408163
FGF3-FGFR3	FGF3	FGFR3	0.6365795724465558	0.9166666666666666	0.9190051020408163
FGF16-FGFR3	FGF16	FGFR3	0.6365795724465558	0.9166666666666666	0.9190051020408163
GDF1-ACVR1B	GDF1	ACVR1B	0.6365795724465558	0.9137931034482759	0.9170918367346939
GDF3-ACVR1B	GDF3	ACVR1B	0.6365795724465558	0.9137931034482759	0.9170918367346939
NODAL-ACVR1B	NODAL	ACVR1B	0.6365795724465558	0.9137931034482759	0.9170918367346939
FGF8-FGFRL1	FGF8	FGFRL1	0.9073634204275535	0.6408045977011494	0.9164540816326531
GDF1-TGFBR1	GDF1	TGFBR1	0.6365795724465558	0.9109195402298851	0.9145408163265306
GDF3-TGFBR1	GDF3	TGFBR1	0.6365795724465558	0.9109195402298851	0.9145408163265306
BMP15-TGFBR1	BMP15	TGFBR1	0.6365795724465558	0.9109195402298851	0.9145408163265306
INHBA-ACVR1C	INHBA	ACVR1C	0.5843230403800475	0.9913793103448276	0.9139030612244898
NODAL-ACVR2B	NODAL	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
BMP10-ACVR2B	BMP10	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
GDF2-ACVR2B	GDF2	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
GDF1-ACVR2B	GDF1	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
GDF3-ACVR2B	GDF3	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
BMP15-ACVR2B	BMP15	ACVR2B	0.6365795724465558	0.9080459770114943	0.9100765306122449
FASLG-TNFRSF1A	FASLG	TNFRSF1A	0.8479809976247031	0.6810344827586207	0.9094387755102041
NLGN1-NRXN1	NLGN1	NRXN1	0.5795724465558195	0.9885057471264368	0.9081632653061225
IL33-IL1RAP	IL33	IL1RAP	0.8479809976247031	0.6752873563218391	0.9075255102040817
CSHL1-GHR	CSHL1	GHR	0.6365795724465558	0.8994252873563219	0.9068877551020408
ADM-CALCR	ADM	CALCR	0.8194774346793349	0.6982758620689655	0.90625
NXPH3-NRXN1	NXPH3	NRXN1	0.5724465558194775	0.9885057471264368	0.9049744897959183
POMC-OPRD1	POMC	OPRD1	0.9168646080760094	0.6149425287356322	0.9043367346938775
IL24-IL20RA	IL24	IL20RA	0.9904988123515439	0.5689655172413793	0.9036989795918368
ANXA1-EGFR	ANXA1	EGFR	0.5748218527315915	0.9798850574712644	0.9030612244897959
WNT7A-FZD5	WNT7A	FZD5	0.8693586698337292	0.646551724137931	0.9024234693877551
IL17B-IL17RA	IL17B	IL17RA	0.8836104513064132	0.6350574712643678	0.9017857142857143
WNT11-FZD5	WNT11	FZD5	0.8669833729216152	0.646551724137931	0.9011479591836735
SFRP2-FZD5	SFRP2	FZD5	0.8646080760095012	0.646551724137931	0.9005102040816326
GDF5-ROR2	GDF5	ROR2	0.5771971496437055	0.9683908045977011	0.8998724489795918
IL1F10-IL1R1	IL1F10	IL1R1	0.9239904988123515	0.6005747126436781	0.8992346938775511
GDF15-RET	GDF15	RET	0.5938242280285035	0.9281609195402298	0.8985969387755102
WNT4-FZD3	WNT4	FZD3	0.5653206650831354	0.9712643678160919	0.8979591836734694
WNT3A-RYK	WNT3A	RYK	0.6365795724465558	0.8620689655172413	0.8966836734693877
WNT1-RYK	WNT1	RYK	0.6365795724465558	0.8620689655172413	0.8966836734693877
NLGN1-NRXN2	NLGN1	NRXN2	0.5795724465558195	0.9454022988505747	0.8954081632653061
BMP10-ACVR2A	BMP10	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
GDF2-ACVR2A	GDF2	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
GDF1-ACVR2A	GDF1	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
GDF3-ACVR2A	GDF3	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
NODAL-ACVR2A	NODAL	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
BMP15-ACVR2A	BMP15	ACVR2A	0.6365795724465558	0.8505747126436781	0.8915816326530612
NXPH3-NRXN2	NXPH3	NRXN2	0.5724465558194775	0.9454022988505747	0.8903061224489796
NRG4-EGFR	NRG4	EGFR	0.5486935866983373	0.9798850574712644	0.8896683673469388
IL1RN-IL1R1	IL1RN	IL1R1	0.8931116389548693	0.6005747126436781	0.889030612244898
IL1F10-IL1RAPL1	IL1F10	IL1RAPL1	0.9239904988123515	0.5804597701149425	0.8877551020408163
IL37-IL1RAPL1	IL37	IL1RAPL1	0.9239904988123515	0.5804597701149425	0.8877551020408163
WNT1-NOTCH1	WNT1	NOTCH1	0.6365795724465558	0.8390804597701149	0.8871173469387755
INHBA-ACVR1B	INHBA	ACVR1B	0.5843230403800475	0.9137931034482759	0.8864795918367347
IL37-IL18R1	IL37	IL18R1	0.9239904988123515	0.5775862068965517	0.8858418367346939
OLFM2-ROBO2	OLFM2	ROBO2	0.5558194774346793	0.9568965517241379	0.8852040816326531
NPPB-NPR1	NPPB	NPR1	0.9738717339667459	0.5459770114942529	0.8845663265306123
NRG2-ERBB4	NRG2	ERBB4	0.8978622327790974	0.5919540229885057	0.8839285714285714
IL1B-IL1R1	IL1B	IL1R1	0.8836104513064132	0.6005747126436781	0.8832908163265306
INHBA-ACVR2B	INHBA	ACVR2B	0.5843230403800475	0.9080459770114943	0.8826530612244898
NPY-NPY5R	NPY	NPY5R	0.997624703087886	0.5316091954022989	0.8820153061224489
VIP-SCTR	VIP	SCTR	0.8479809976247031	0.6235632183908046	0.8813775510204082
WNT11-FZD2	WNT11	FZD2	0.8669833729216152	0.6091954022988506	0.8807397959183674
NLGN1-NRXN3	NLGN1	NRXN3	0.5795724465558195	0.9051724137931034	0.8794642857142857
IL10-IL10RA	IL10	IL10RA	0.9168646080760094	0.5718390804597702	0.8788265306122449
GDF5-ACVR2B	GDF5	ACVR2B	0.5771971496437055	0.9080459770114943	0.8781887755102041
FGF22-FGFRL1	FGF22	FGFRL1	0.8171021377672208	0.6408045977011494	0.8775510204081632
WNT4-FZD1	WNT4	FZD1	0.5653206650831354	0.9252873563218391	0.8769132653061225
CCL11-ACKR1	CCL11	ACKR1	0.6365795724465558	0.8189655172413793	0.8743622448979592
CCL13-ACKR1	CCL13	ACKR1	0.6365795724465558	0.8189655172413793	0.8743622448979592
CCL1-ACKR1	CCL1	ACKR1	0.6365795724465558	0.8189655172413793	0.8743622448979592
CXCL9-ACKR1	CXCL9	ACKR1	0.6365795724465558	0.8189655172413793	0.8743622448979592
NXPH3-NRXN3	NXPH3	NRXN3	0.5724465558194775	0.9051724137931034	0.8730867346938775
PPY-NPY5R	PPY	NPY5R	0.9714964370546318	0.5316091954022989	0.8724489795918368
PDGFB-PDGFRB	PDGFB	PDGFRB	0.9643705463182898	0.5287356321839081	0.8718112244897959
IL20-IL20RA	IL20	IL20RA	0.8954869358669834	0.5689655172413793	0.8711734693877551
INHBA-BAMBI	INHBA	BAMBI	0.5843230403800475	0.8706896551724138	0.8705357142857143
IFNG-IFNGR1	IFNG	IFNGR1	0.6365795724465558	0.7988505747126436	0.8679846938775511
IFNL1-IFNLR1	IFNL1	IFNLR1	0.6365795724465558	0.7988505747126436	0.8679846938775511
IFNL2-IFNLR1	IFNL2	IFNLR1	0.6365795724465558	0.7988505747126436	0.8679846938775511
IFNL3-IFNLR1	IFNL3	IFNLR1	0.6365795724465558	0.7988505747126436	0.8679846938775511
NRTN-GFRA1	NRTN	GFRA1	0.8978622327790974	0.5660919540229885	0.8673469387755102
CCL17-ACKR2	CCL17	ACKR2	0.9406175771971497	0.5402298850574713	0.8667091836734694
BMP15-BMPR2	BMP15	BMPR2	0.6365795724465558	0.7959770114942529	0.8635204081632653
BMP10-BMPR2	BMP10	BMPR2	0.6365795724465558	0.7959770114942529	0.8635204081632653
GDF2-BMPR2	GDF2	BMPR2	0.6365795724465558	0.7959770114942529	0.8635204081632653
GDF1-BMPR2	GDF1	BMPR2	0.6365795724465558	0.7959770114942529	0.8635204081632653
GDF3-BMPR2	GDF3	BMPR2	0.6365795724465558	0.7959770114942529	0.8635204081632653
WNT7A-FZD7	WNT7A	FZD7	0.8693586698337292	0.5804597701149425	0.8628826530612245
IL24-IL10RB	IL24	IL10RB	0.9904988123515439	0.5086206896551724	0.8622448979591837
WNT11-FZD7	WNT11	FZD7	0.8669833729216152	0.5804597701149425	0.8616071428571429
POMC-OPRL1	POMC	OPRL1	0.9168646080760094	0.5488505747126436	0.860969387755102
IL27-IL6ST	IL27	IL6ST	0.6033254156769596	0.8304597701149425	0.8603316326530612
NRG2-NRP2	NRG2	NRP2	0.8978622327790974	0.5574712643678161	0.8596938775510204
PMCH-MERTK	PMCH	MERTK	0.6033254156769596	0.8275862068965517	0.8590561224489796
UCN3-IL10RB	UCN3	IL10RB	0.9786223277909739	0.5086206896551724	0.8584183673469388
IFNA1-IFNAR1	IFNA1	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNB1-IFNAR1	IFNB1	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNK-IFNAR1	IFNK	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA10-IFNAR1	IFNA10	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA14-IFNAR1	IFNA14	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA16-IFNAR1	IFNA16	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA17-IFNAR1	IFNA17	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA2-IFNAR1	IFNA2	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA21-IFNAR1	IFNA21	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA4-IFNAR1	IFNA4	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA6-IFNAR1	IFNA6	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA7-IFNAR1	IFNA7	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
IFNA8-IFNAR1	IFNA8	IFNAR1	0.6365795724465558	0.7816091954022989	0.8501275510204082
INHBA-ACVR2A	INHBA	ACVR2A	0.5843230403800475	0.8505747126436781	0.8494897959183674
GDF15-TGFBR2	GDF15	TGFBR2	0.5938242280285035	0.8362068965517241	0.8488520408163265
CXCL13-ACKR1	CXCL13	ACKR1	0.6033254156769596	0.8189655172413793	0.8482142857142857
FGF4-NRP1	FGF4	NRP1	0.6365795724465558	0.7729885057471264	0.8475765306122449
GDF5-ACVR2A	GDF5	ACVR2A	0.5771971496437055	0.8505747126436781	0.8469387755102041
NTN3-NEO1	NTN3	NEO1	0.5510688836104513	0.8908045977011494	0.8463010204081632
BMP10-BMPR1A	BMP10	BMPR1A	0.6365795724465558	0.7701149425287356	0.8431122448979592
GDF2-BMPR1A	GDF2	BMPR1A	0.6365795724465558	0.7701149425287356	0.8431122448979592
GDF1-BMPR1A	GDF1	BMPR1A	0.6365795724465558	0.7701149425287356	0.8431122448979592
GDF3-BMPR1A	GDF3	BMPR1A	0.6365795724465558	0.7701149425287356	0.8431122448979592
BMP15-BMPR1A	BMP15	BMPR1A	0.6365795724465558	0.7701149425287356	0.8431122448979592
HCRT-NPFFR2	HCRT	NPFFR2	0.8076009501187649	0.6063218390804598	0.8424744897959183
NPPB-NPR3	NPPB	NPR3	0.9738717339667459	0.5	0.8418367346938775
WNT3A-FZD6	WNT3A	FZD6	0.6365795724465558	0.764367816091954	0.8405612244897959
WNT1-FZD6	WNT1	FZD6	0.6365795724465558	0.764367816091954	0.8405612244897959
GDF10-ACVR1C	GDF10	ACVR1C	0.48931116389548696	0.9913793103448276	0.8399234693877551
GALP-GALR2	GALP	GALR2	0.6365795724465558	0.7614942528735632	0.8392857142857143
DHH-PTCH1	DHH	PTCH1	0.5463182897862233	0.8850574712643678	0.8386479591836735
POMC-MC1R	POMC	MC1R	0.9168646080760094	0.5258620689655172	0.8380102040816326
IL17B-IL17RB	IL17B	IL17RB	0.8836104513064132	0.5431034482758621	0.8373724489795918
IL11-IL11RA	IL11	IL11RA	0.5534441805225653	0.8649425287356322	0.8367346938775511
GDF15-ERBB2	GDF15	ERBB2	0.5938242280285035	0.8045977011494253	0.8360969387755102
FASLG-TNFRSF10B	FASLG	TNFRSF10B	0.8479809976247031	0.5632183908045977	0.8354591836734694
EREG-ERBB4	EREG	ERBB4	0.8028503562945368	0.5919540229885057	0.8341836734693877
WNT16-FZD3	WNT16	FZD3	0.48931116389548696	0.9712643678160919	0.8341836734693877
CALCB-CALCRL	CALCB	CALCRL	0.9548693586698337	0.49712643678160917	0.8335459183673469
WNT4-NOTCH1	WNT4	NOTCH1	0.5653206650831354	0.8390804597701149	0.8329081632653061
BMP5-BMPR1B	BMP5	BMPR1B	0.9691211401425178	0.4885057471264368	0.8322704081632653
LHB-VIPR1	LHB	VIPR1	0.6365795724465558	0.7413793103448276	0.829719387755102
TSHB-VIPR1	TSHB	VIPR1	0.6365795724465558	0.7413793103448276	0.829719387755102
PTH2-VIPR1	PTH2	VIPR1	0.6365795724465558	0.7413793103448276	0.829719387755102
PTH-VIPR1	PTH	VIPR1	0.6365795724465558	0.7413793103448276	0.829719387755102
IFNA5-IFNAR1	IFNA5	IFNAR1	0.6033254156769596	0.7816091954022989	0.8290816326530612
GDNF-GFRA1	GDNF	GFRA1	0.831353919239905	0.5660919540229885	0.8284438775510204
FGF3-FGFR2	FGF3	FGFR2	0.6365795724465558	0.7327586206896551	0.8258928571428571
FGF4-FGFR2	FGF4	FGFR2	0.6365795724465558	0.7327586206896551	0.8258928571428571
FGF6-FGFR2	FGF6	FGFR2	0.6365795724465558	0.7327586206896551	0.8258928571428571
FGF16-FGFR2	FGF16	FGFR2	0.6365795724465558	0.7327586206896551	0.8258928571428571
IL10-IL10RB	IL10	IL10RB	0.9168646080760094	0.5086206896551724	0.8252551020408163
WNT1-FZD4	WNT1	FZD4	0.6365795724465558	0.7241379310344828	0.8233418367346939
WNT8A-FZD4	WNT8A	FZD4	0.6365795724465558	0.7241379310344828	0.8233418367346939
WNT3A-FZD4	WNT3A	FZD4	0.6365795724465558	0.7241379310344828	0.8233418367346939
BTC-EGFR	BTC	EGFR	0.47030878859857483	0.9798850574712644	0.8227040816326531
IL11-IL6ST	IL11	IL6ST	0.5534441805225653	0.8304597701149425	0.8220663265306123
GDF5-BMPR2	GDF5	BMPR2	0.5771971496437055	0.7959770114942529	0.8214285714285714
CCL7-ACKR2	CCL7	ACKR2	0.8479809976247031	0.5402298850574713	0.8201530612244898
CCL26-ACKR2	CCL26	ACKR2	0.8479809976247031	0.5402298850574713	0.8201530612244898
CCL5-ACKR2	CCL5	ACKR2	0.8456057007125891	0.5402298850574713	0.8195153061224489
CCL22-ACKR2	CCL22	ACKR2	0.838479809976247	0.5402298850574713	0.8188775510204082
MIF-EGFR	MIF	EGFR	0.46080760095011875	0.9798850574712644	0.8182397959183674
INHBA-TGFBR3	INHBA	TGFBR3	0.5843230403800475	0.7672413793103449	0.8176020408163265
NPS-VIPR1	NPS	VIPR1	0.6033254156769596	0.7413793103448276	0.8169642857142857
GDF10-ACVR1B	GDF10	ACVR1B	0.48931116389548696	0.9137931034482759	0.8163265306122449
GDF10-TGFBR1	GDF10	TGFBR1	0.48931116389548696	0.9109195402298851	0.8156887755102041
