hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_up_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_up_in_SCbeta_melton2019_score	scRNA_up_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_up_in_SCislet_score	all_sc_proteomics_score	proteomics_up_in_sc_score	aggregate_score
ANGPTL4	0.7719714964370546	0.6817102137767221	0	0.26365795724465557	0	0	0.5605700712589073	0	0.9121140142517815	0	0.7197149643705463
ANXA1	0.5700712589073634	0.9002375296912114	0	0.26365795724465557	0	0	0.7885985748218527	0.7529691211401425	0.9809976247030879	0	0.828978622327791
APELA	0.6104513064133017	0.8028503562945368	0	0.8669833729216152	0.9572446555819477	0	0.7767220902612827	0.9904988123515439	0	0	0.9049881235154394
APLN	0.6437054631828979	0.5795724465558195	0	0.7862232779097387	0	0	0.7363420427553444	0	0	0	0.6342042755344418
AREG	0.6437054631828979	0.6579572446555819	0	0.26365795724465557	0	0	0.43942992874109266	0.8551068883610451	0	0	0.6555819477434679
ARTN	0.7719714964370546	0.6318289786223278	0	0.8408551068883611	0.9049881235154394	0	0.6912114014251781	0	0	0	0.8123515439429929
AVP	0.9453681710213777	0.8883610451306413	0	0.26365795724465557	0	0	0	0	0	0	0.5273159144893111
BDNF	0.6437054631828979	0.6199524940617577	0	0.26365795724465557	0	0	0.43942992874109266	0.8551068883610451	0	0	0.6437054631828979
BMP1	0.9002375296912114	0.8076009501187649	0	0.8978622327790974	0	0	0.9311163895486936	0.6555819477434679	0.9406175771971497	0.995249406175772	0.9762470308788599
BMP10	0	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	0	0	0	0	0	0	0	0
BMP2	0.9097387173396675	0.9144893111638955	0	0.9192399049881235	0.9429928741092637	0	0.9334916864608076	0.7577197149643705	0	0	0.9334916864608076
BMP3	0.5700712589073634	0.7862232779097387	0	0.7743467933491687	0.8954869358669834	0	0.9168646080760094	0.997624703087886	0	0	0.8931116389548693
BMP4	0.7197149643705463	0.6128266033254157	0	0.8266033254156769	0.9334916864608076	0	0.8242280285035629	0.9263657957244655	0	0	0.8859857482185273
BMP5	0.7838479809976246	0.7007125890736342	0	0.9334916864608076	0	0	0.9714964370546318	0	0.9168646080760094	0	0.8479809976247031
BMP6	0	0.6128266033254157	0	0.26365795724465557	0	0	0.5083135391923991	0.7173396674584323	0	0	0.5439429928741093
BMP7	0.7933491686460807	0.8883610451306413	0	0.26365795724465557	0	0	0.7339667458432304	0.9881235154394299	0	0	0.7838479809976246
BMP8A	0.6437054631828979	0.5391923990498813	0	0.26365795724465557	0	0	0.831353919239905	0.8978622327790974	0	0	0.7125890736342043
BMP8B	0.6935866983372921	0.5985748218527316	0	0.7529691211401425	0	0	0.9144893111638955	0	0.9144893111638955	0	0.8147268408551069
BTC	0.7482185273159145	0.6057007125890737	0	0.7268408551068883	0	0	0.75059382422802845	0	0	0	0.6508313539192399
C1QTNF1	0.5700712589073634	0.5083135391923991	0	0.7719714964370546	0	0	0.7957244655581948	0.8527315914489311	0	0	0.7695961995249406
C1QTNF5	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CALCA	0.7197149643705463	0.7007125890736342	0	0.26365795724465557	0	0	0.48693586698337293	0	0	0	0.5605700712589073
CALCB	0.6437054631828979	0.517814726840855	0	0.26365795724465557	0	0	0.5914489311163895	0	0	0	0.5296912114014252
CCK	0.8527315914489311	0.9358669833729216	0	0.26365795724465557	0	0	0.43942992874109266	0.8551068883610451	0	0	0.7268408551068883
CCL1	0	0	0	0	0	0	0	0	0	0	0
CCL11	0	0	0	0	0	0	0	0	0	0	0
CCL13	0	0	0	0	0	0	0	0	0	0	0
CCL14	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL15	0.5130641330166271	0.4085510688836104	0	0.26365795724465557	0	0	0	0	0	0	0.3990498812351544
CCL16	0	0.42280285035629456	0	0.26365795724465557	0	0	0	0	0	0	0.33016627078384797
CCL17	0	0	0	0	0	0	0	0	0	0	0
CCL18	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL19	0	0.3919239904988123	0	0.26365795724465557	0	0	0	0	0	0	0.32066508313539194
CCL2	0.7054631828978623	0.9239904988123515	0	0.26365795724465557	0	0	0.6460807600950119	0	0	0	0.6033254156769596
CCL20	0	0.498812351543943	0	0.26365795724465557	0	0	0.6104513064133017	0.8194774346793349	0	0	0.5676959619952494
CCL21	0	0	0	0	0	0	0	0	0	0	0
CCL22	0.5130641330166271	0.4180522565320665	0	0.26365795724465557	0	0	0	0	0	0	0.40380047505938244
CCL23	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL24	0	0.34441805225653205	0	0	0	0	0	0	0	0	0.28741092636579574
CCL25	0	0.36104513064133015	0	0.26365795724465557	0	0	0	0	0	0	0.3087885985748218
CCL26	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL27	0.6817102137767221	0.5510688836104513	0	0.26365795724465557	0	0	0	0	0	0	0.4418052256532066
CCL28	0	0.42280285035629456	0	0.26365795724465557	0	0	0.7909738717339667	0	0	0	0.43942992874109266
CCL3	0	0.35629453681710216	0	0.26365795724465557	0	0	0	0	0	0	0.30641330166270786
CCL3L1	0	0.5700712589073634	0	0	0	0	0	0	0	0	0.3016627078384798
CCL3L3	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL4	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL4L2	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL5	0	0.49643705463182897	0	0.26365795724465557	0	0	0	0	0	0	0.342042755344418
CCL7	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCL8	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CCN1	0	0.8479809976247031	0	0	0	0	0.7672209026128266	0	0.9477434679334917	0	0.6128266033254157
CCN2	0.6437054631828979	0.8812351543942993	0	0	0	0	0.8693586698337292	0.7125890736342043	0	0	0.6864608076009501
CCN3	0.6104513064133017	0.498812351543943	0	0	0	0	0.7600950118764845	0	0	0	0.503562945368171
CCN6	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
CD5L	0	0	0	0	0	0	0	0	0	0	0
CD70	0	0.33729216152019004	0	0.26365795724465557	0	0	0	0	0	0	0.2921615201900237
CGA	0.8456057007125891	0.7102137767220903	0	0.7363420427553444	0	0	0.6104513064133017	0.7149643705463183	0	0	0.7862232779097387
CGB3	0	0	0	0	0	0	0	0	0	0	0
CGB5	0	0	0	0	0	0	0	0	0	0	0
CGB8	0	0	0	0	0	0	0	0	0	0	0
CGN	0.9239904988123515	0.8622327790973872	0	0.9216152019002375	0.9548693586698337	0	0.9453681710213777	0.7054631828978623	0.9643705463182898	0	0.9809976247030879
CLCF1	0	0.5771971496437055	0	0.26365795724465557	0	0	0.6318289786223278	0	0	0	0.4346793349168646
CORT	0	0.4014251781472684	0	0.26365795724465557	0	0	0.6175771971496437	0.7292161520190024	0	0	0.5249406175771971
CRH	0.7553444180522565	0.8954869358669834	0	0.8741092636579573	0.9596199524940617	0	0.8717339667458432	0.8788598574821853	0.9073634204275535	0	0.9714964370546318
CSF1	0	0.4821852731591449	0	0.26365795724465557	0	0	0.7577197149643705	0	0	0	0.44655581947743467
CSF2	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CSF3	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CSH1	0	0	0	0	0	0	0	0	0	0	0
CSH2	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
CSHL1	0	0	0	0	0	0	0	0	0	0	0
CTF1	0.7197149643705463	0.6437054631828979	0	0.7933491686460807	0	0	0.6484560570071259	0	0	0	0.6413301662707839
CX3CL1	0.7339667458432304	0.7197149643705463	0	0.7410926365795725	0	0	0.7790973871733967	0.7434679334916865	0	0	0.7933491686460807
CXCL1	0	0.6912114014251781	0	0.7197149643705463	0	0	0.8479809976247031	0.7790973871733967	0	0	0.6935866983372921
CXCL10	0	0.36104513064133015	0	0.26365795724465557	0	0	0	0	0	0	0.3087885985748218
CXCL11	0.5130641330166271	0.38004750593824227	0	0.26365795724465557	0	0	0.37292161520190026	0.7838479809976246	0	0	0.5843230403800475
CXCL12	0.9334916864608076	0.8669833729216152	0	0.9762470308788599	1	0	0.9406175771971497	0.9596199524940617	0	0	0.9548693586698337
CXCL13	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
CXCL14	0.8883610451306413	0.9358669833729216	0	0.26365795724465557	0	0	0.6104513064133017	0.9524940617577197	0	0	0.7790973871733967
CXCL17	0	0.5154394299287411	0	0.26365795724465557	0	0	0.48693586698337293	0	0	0	0.41330166270783847
CXCL2	0	0.6793349168646081	0	0.26365795724465557	0	0	0.6318289786223278	0	0	0	0.46318289786223277
CXCL3	0.5130641330166271	0.7624703087885986	0	0.26365795724465557	0	0	0.6009501187648456	0	0	0	0.5463182897862233
CXCL5	0.5700712589073634	0.7339667458432304	0	0.8646080760095012	0	0	0.684085510688836	0.6817102137767221	0	0	0.7767220902612827
CXCL6	0.665083135391924	0.831353919239905	0	0.26365795724465557	0	0	0.7529691211401425	0.7767220902612827	0	0	0.7244655581947743
CXCL8	0	0.7814726840855107	0	0.26365795724465557	0	0	0.7387173396674585	0	0	0	0.48693586698337293
CXCL9	0	0	0	0	0	0	0	0	0	0	0
DEFB1	0.5130641330166271	0.43705463182897863	0	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.4655581947743468
DEFB103A	0	0	0	0	0	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
DHH	0.5700712589073634	0.4821852731591449	0	0	0	0	0.5083135391923991	0.7173396674584323	0	0	0.5795724465558195
DKK1	0	0.4821852731591449	0	0.26365795724465557	0	0	0.7030878859857482	0.9833729216152018	0	0	0.6057007125890737
DKK2	0.5130641330166271	0.8954869358669834	0	0.26365795724465557	0	0	0.5914489311163895	0	0	0	0.5629453681710214
DLK1	0.997624703087886	0.9928741092636579	1	0.997624703087886	0.9239904988123515	0	0.9904988123515439	0.6864608076009501	0	0	0.9928741092636579
EBI3	0	0.4489311163895487	0	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.38717339667458434
EDA	0.7292161520190024	0.6484560570071259	0	0.7125890736342043	0	0	0.8218527315914489	0	0	0	0.672209026128266
EDIL3	0.9548693586698337	0.9216152019002375	0	0.9596199524940617	0	0.9904988123515439	0.9762470308788599	0	0.9619952494061758	0	0.9572446555819477
EDN1	0.5130641330166271	0.6223277909738717	0	0.26365795724465557	0	0	0.6912114014251781	0	0	0	0.5415676959619953
EDN2	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
EDN3	0.5700712589073634	0.7244655581947743	0	0.9287410926365796	0	0	0.9287410926365796	0	0.9833729216152018	0	0.8266033254156769
EFNA1	0.7838479809976246	0.6579572446555819	0	0.8859857482185273	0	0	0.8004750593824228	0	0	0	0.7054631828978623
EFNA4	0.665083135391924	0.8622327790973872	0	0.7767220902612827	0.8978622327790974	0	0.7078384798099763	0.7648456057007126	0	0	0.8669833729216152
EGF	0	0.4489311163895487	0	0.26365795724465557	0	0	0.5083135391923991	0	0	0	0.40617577197149646
ENHO	0.9358669833729216	0.8883610451306413	0	0.9382422802850356	0.9738717339667459	0.9928741092636579	0.9002375296912114	0.8432304038004751	0	0	0.9857482185273159
EPGN	0	0.5225653206650831	0	0	0	0	0	0	0	0	0.29691211401425177
EPO	0	0.3681710213776722	0	0.26365795724465557	0	0	0	0	0	0	0.31353919239904987
EREG	0.5700712589073634	0.5225653206650831	0	0.26365795724465557	0	0	0.47030878859857483	0.8859857482185273	0	0	0.6294536817102138
FASLG	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
FGF1	0	0	0	0.26365795724465557	0	0	0.684085510688836	0.7672209026128266	0	0	0.46080760095011875
FGF10	0	0.4821852731591449	0	0.26365795724465557	0	0	0.48693586698337293	0	0	0	0.41092636579572445
FGF11	0.8052256532066508	0.6912114014251781	0	0.9168646080760094	0.9809976247030879	0	0.667458432304038	0.7315914489311164	0	0	0.8812351543942993
FGF12	0.9524940617577197	0.9168646080760094	0	0.9667458432304038	0.9667458432304038	0	0.9738717339667459	0.8266033254156769	0	0	0.9524940617577197
FGF13	0.8622327790973872	0.8028503562945368	0	0.7577197149643705	0	0	0.7434679334916865	0	0	0	0.7030878859857482
FGF14	0.9596199524940617	0.9524940617577197	0	0.9786223277909739	0.9714964370546318	0	0.9619952494061758	0.7030878859857482	0	0	0.9429928741092637
FGF16	0	0	0	0	0	0	0	0	0	0	0
FGF17	0.831353919239905	0.6912114014251781	0	0.7125890736342043	0	0	0.8931116389548693	0.7102137767220903	0	0	0.8076009501187649
FGF18	0.833729216152019	0.8194774346793349	0	0.9239904988123515	0.9904988123515439	0	0.8669833729216152	0.9002375296912114	0	0	0.9358669833729216
FGF19	0.6817102137767221	0.6437054631828979	0	0.26365795724465557	0	0	0	0	0	0	0.47030878859857483
FGF2	0.7553444180522565	0.7885985748218527	0	0.8812351543942993	0.9382422802850356	0	0.8954869358669834	0.833729216152019	0.9382422802850356	0	0.9691211401425178
FGF20	0.5700712589073634	0.5795724465558195	0	0.26365795724465557	0	0	0.5486935866983373	0	0	0	0.5154394299287411
FGF21	0	0	0	0	0	0	0	0	0	0	0
FGF22	0.5130641330166271	0.4489311163895487	0	0.26365795724465557	0	0	0.48693586698337293	0	0	0	0.4845605700712589
FGF23	0	0.4014251781472684	0	0.26365795724465557	0	0	0	0	0	0	0.3254156769596199
FGF3	0	0.5676959619952494	0	0	0	0	0	0	0	0	0.2992874109263658
FGF4	0	0	0	0	0	0	0	0	0	0	0
FGF5	0.7838479809976246	0.7007125890736342	0	0.8123515439429929	0	0	0.9121140142517815	0.995249406175772	0	0	0.833729216152019
FGF6	0	0	0	0	0	0	0	0	0	0	0
FGF7	0.8432304038004751	0.7387173396674585	0	0.9358669833729216	0	0	0.6009501187648456	0.66270783847981	0	0	0.7980997624703088
FGF8	0.5130641330166271	0.5368171021377672	0	0	0	0	0	0	0	0	0.3752969121140142
FGF9	0.8741092636579573	0.9097387173396675	0	0.8456057007125891	0	0	0.850356294536817	0	0	0	0.7458432304038005
FLT3LG	0.6817102137767221	0.5510688836104513	0	0.26365795724465557	0	0	0.47030878859857483	0	0	0	0.517814726840855
FSHB	0.5130641330166271	0.4180522565320665	0	0.26365795724465557	0	0	0.43942992874109266	0.8551068883610451	0	0	0.6104513064133017
GAL	0.8978622327790974	0.9002375296912114	0	0.9477434679334917	0.9786223277909739	0	0.6247030878859857	0	0	0	0.8432304038004751
GALP	0	0	0	0	0	0	0	0	0	0	0
GAS6	0.8812351543942993	0.8076009501187649	0	0.8479809976247031	0	0	0.838479809976247	0.665083135391924	0.9358669833729216	0	0.8954869358669834
GAST	0.9809976247030879	0.9857482185273159	0.995249406175772	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.7600950118764845
GCG	0.995249406175772	0.9928741092636579	0	0.995249406175772	0	0	1	0.8741092636579573	0.995249406175772	0.9881235154394299	0.995249406175772
GDF1	0	0	0	0	0	0	0	0	0	0	0
GDF10	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
GDF11	0.9619952494061758	0.9524940617577197	0.9833729216152018	0.9572446555819477	0.9216152019002375	0	0.9548693586698337	0.7814726840855107	0	0	0.9904988123515439
GDF15	0.8052256532066508	0.7767220902612827	0	0.8931116389548693	0	0	0.8147268408551069	0	0.9524940617577197	0	0.836104513064133
GDF2	0	0	0	0	0	0	0	0	0	0	0
GDF3	0	0	0	0	0	0	0	0	0	0	0
GDF5	0	0	0	0	0	0	0.5083135391923991	0.7173396674584323	0	0	0.3824228028503563
GDF6	0.8598574821852731	0.7909738717339667	0	0.7885985748218527	0.9097387173396675	0	0.6555819477434679	0.9619952494061758	0	0	0.8954869358669834
GDF7	0	0.34441805225653205	0	0.26365795724465557	0	0	0.5320665083135392	0.7410926365795725	0	0	0.501187648456057
GDF9	0.5130641330166271	0.5083135391923991	0	0.26365795724465557	0	0	0.7719714964370546	0	0	0	0.5368171021377672
GDNF	0	0.5439429928741093	0	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.39667458432304037
GH1	0	0	0	0	0	0	0	0	0	0	0
GH2	0	0	0	0	0	0	0	0	0	0	0
GHRH	0.9168646080760094	0.831353919239905	0	0.9049881235154394	0.9833729216152018	0	0.7268408551068883	0.850356294536817	0	0	0.9216152019002375
GHRL	0.9406175771971497	0.9619952494061758	0	0.8432304038004751	0	0	0.8764845605700713	0.7695961995249406	0.9691211401425178	0	0.9311163895486936
GIP	0.9049881235154394	0.8408551068883611	0	0.7292161520190024	0	0	0.47030878859857483	0.8859857482185273	0	0	0.8004750593824228
GNRH1	0.6935866983372921	0.5629453681710214	0	0.7434679334916865	0	0	0.6769596199524941	0.6508313539192399	0	0	0.7387173396674585
GNRH2	0.5700712589073634	0.5748218527315915	0	0.26365795724465557	0	0	0.6437054631828979	0.9572446555819477	0	0	0.6817102137767221
GPHA2	0.8004750593824228	0.7244655581947743	0	0.26365795724465557	0	0	0.6318289786223278	0.836104513064133	0	0	0.7292161520190024
GREM1	0.7933491686460807	0.7339667458432304	0	0.26365795724465557	0	0	0.6247030878859857	0	0	0	0.5961995249406176
GRN	0.9762470308788599	0.9667458432304038	0	0.9833729216152018	0	0.997624703087886	0.9809976247030879	0	0.9786223277909739	0	0.9643705463182898
GRP	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
GUCA2A	0	0.42992874109263657	0	0.26365795724465557	0	0	0.7197149643705463	0.9121140142517815	0	0	0.5890736342042755
GUCA2B	0.9429928741092637	0.9002375296912114	0	0.8242280285035629	0.9311163895486936	0	0.8456057007125891	0.9691211401425178	0	0	0.9382422802850356
HBEGF	0.7339667458432304	0.66270783847981	0	0.8028503562945368	0	0	0.7244655581947743	0	0	0	0.6745843230403801
HCRT	0.5130641330166271	0.42280285035629456	0	0.26365795724465557	0	0	0.43942992874109266	0	0	0	0.47743467933491684
HGF	0	0.44655581947743467	0	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.3847980997624703
IAPP	0.9881235154394299	0.9738717339667459	0	0.9928741092636579	0	0	0.9928741092636579	0	0.9667458432304038	0	0.8788598574821853
IFNA1	0	0	0	0	0	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0
IFNA21	0	0	0	0	0	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0	0.37292161520190026	0	0	0	0.27790973871733965
IFNA6	0	0	0	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0
IFNB1	0	0	0	0	0	0	0	0	0	0	0
IFNE	0	0.498812351543943	0	0.26365795724465557	0	0	0.5083135391923991	0.9168646080760094	0	0	0.5653206650831354
IFNG	0	0	0	0	0	0	0	0	0	0	0
IFNK	0	0	0	0	0	0	0	0	0	0	0
IFNL1	0	0	0	0	0	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0	0	0	0	0	0
IFNL3	0	0	0	0	0	0	0	0	0	0	0
IFNW1	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IGF1	0.5130641330166271	0.5914489311163895	0	0.26365795724465557	0	0	0.5724465558194775	0.9453681710213777	0	0	0.6603325415676959
IGF2	0.9216152019002375	0.9667458432304038	0	0.9809976247030879	0	0	0.9857482185273159	0.672209026128266	0.9501187648456056	0.997624703087886	0.9833729216152018
IGFL1	0	0	0	0	0	0	0.43942992874109266	0.8551068883610451	0	0	0.3919239904988123
IGFL2	0	0.6270783847980997	0	0.26365795724465557	0	0	0.43942992874109266	0	0	0	0.42042755344418054
IGFL3	0	0	0	0	0	0	0	0	0	0	0
IHH	0.7672209026128266	0.7173396674584323	0	0.833729216152019	0.9358669833729216	0	0.6769596199524941	0.9738717339667459	0	0	0.8907363420427553
IL10	0	0.43942992874109266	0	0	0	0	0	0	0	0	0.28978622327790976
IL11	0.6817102137767221	0.5866983372921615	0	0.7600950118764845	0	0	0.8099762470308789	0.669833729216152	0	0	0.7672209026128266
IL12A	0	0.38717339667458434	0	0.26365795724465557	0	0	0.5486935866983373	0.9334916864608076	0	0	0.5534441805225653
IL12B	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL13	0	0	0	0	0	0	0	0	0	0	0
IL15	0.6935866983372921	0.6080760095011877	0	0.7363420427553444	0	0	0.7458432304038005	0.667458432304038	0	0	0.7577197149643705
IL16	0	0.4750593824228028	0	0.26365795724465557	0	0	0.37292161520190026	0	0	0	0.38954869358669836
IL17A	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL17B	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL17C	0	0	0	0.26365795724465557	0	0	0.43942992874109266	0.8551068883610451	0	0	0.42992874109263657
IL17F	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
IL18	0.665083135391924	0.5225653206650831	0	0.26365795724465557	0	0	0.5083135391923991	0	0.9429928741092637	0	0.665083135391924
IL19	0.5130641330166271	0.4821852731591449	0	0	0	0	0.48693586698337293	0.9073634204275535	0	0	0.5985748218527316
IL1A	0	0.334916864608076	0	0.26365795724465557	0	0	0.48693586698337293	0	0	0	0.3491686460807601
IL1B	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL1F10	0	0	0	0	0	0	0	0	0	0	0
IL1RN	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL2	0	0	0	0	0	0	0	0	0	0	0
IL20	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL21	0	0	0	0	0	0	0	0	0	0	0
IL22	0	0	0	0	0	0	0	0	0	0	0
IL23A	0.6104513064133017	0.45605700712589076	0	0.26365795724465557	0	0	0.5391923990498813	0	0	0	0.50593824228028506
IL24	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL25	0	0	0	0	0	0	0	0	0	0	0
IL26	0	0	0	0	0	0	0.43942992874109266	0.8551068883610451	0	0	0.3919239904988123
IL27	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
IL3	0	0	0	0	0	0	0	0	0	0	0
IL31	0	0	0	0	0	0	0.37292161520190026	0.7838479809976246	0	0	0.3515439429928741
IL33	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL34	0.6104513064133017	0.45605700712589076	0	0.26365795724465557	0	0	0.5605700712589073	0	0	0	0.5083135391923991
IL36A	0	0	0	0	0	0	0	0	0	0	0
IL36B	0	0	0	0	0	0	0	0	0	0	0
IL36G	0	0.3586698337292161	0	0.26365795724465557	0	0	0.37292161520190026	0	0.9263657957244655	0	0.5083135391923991
IL36RN	0	0	0	0	0	0	0.37292161520190026	0	0	0	0.27790973871733965
IL37	0	0	0	0	0	0	0	0	0	0	0
IL4	0	0	0	0	0	0	0	0	0	0	0
IL5	0	0	0	0	0	0	0.37292161520190026	0	0	0	0.27790973871733965
IL6	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
IL7	0.7672209026128266	0.669833729216152	0	0.26365795724465557	0	0	0.7410926365795725	0.7078384798099763	0	0	0.7078384798099763
IL9	0	0	0	0	0	0	0	0	0	0	0
INHA	0.8052256532066508	0.7814726840855107	0	0.8551068883610451	0.8931116389548693	0	0.7054631828978623	0	0	0	0.8218527315914489
INHBA	0.9311163895486936	0.8527315914489311	0	0.9026128266033254	0	0	0.8883610451306413	0	0	0	0.7719714964370546
INHBB	0.7482185273159145	0.7387173396674585	0	0.9548693586698337	0.995249406175772	0	0.8812351543942993	0.9097387173396675	0	0	0.9263657957244655
INHBC	0	0.34441805225653205	0	0	0	0	0.37292161520190026	0	0	0	0.33729216152019004
INHBE	0.6104513064133017	0.6080760095011877	0	0.26365795724465557	0	0	0.5486935866983373	0	0	0	0.5344418052256532
INS	1	0.9928741092636579	0	1	0	0	0.997624703087886	0	0.9904988123515439	0	0.8883610451306413
INSL3	0	0.33966745843230406	0	0.26365795724465557	0	0	0.43942992874109266	0	0	0	0.34679334916864607
INSL5	0.5130641330166271	0.3752969121140142	0	0.26365795724465557	0	0	0.37292161520190026	0.7838479809976246	0	0	0.5819477434679335
KISS1	0.8147268408551069	0.6745843230403801	0	0.26365795724465557	0	0	0.6009501187648456	0.75059382422802845	0	0	0.6983372921615202
KITLG	0.8646080760095012	0.7482185273159145	0	0.8622327790973872	0.9524940617577197	0	0.9049881235154394	0.8836104513064132	0	0	0.9239904988123515
KNG1	0	0.3681710213776722	0	0.26365795724465557	0	0	0	0	0	0	0.31353919239904987
LEFTY1	0.6935866983372921	0.9239904988123515	0	0.26365795724465557	0	0	0.6175771971496437	0.6793349168646081	0	0	0.6959619952494062
LEFTY2	0	0.4679334916864608	0	0.7292161520190024	0	0	0.6318289786223278	0.9548693586698337	0	0	0.6389548693586699
