Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q96PE2	ARHGEF17	2432	4166	0.5836607	1.67E-17
Q9BPW8	NIPSNAP1	228281	91512	2.4945643	1.75E-17
Q9BWW4	SSBP3	5540	1816	3.0500876	1.76E-17
O15305	PMM2	26425	45697	0.5782555	1.75E-17
Q14004	CDK13	82697	54017	1.5309358	1.79E-17
P16949	STMN1	187969	19423	9.6776265	2.01E-17
Q03426	MVK	23453	8119	2.8885325	2.27E-17
P30566	ADSL	57242	31344	1.8262409	3.24E-17
Q9NUQ7	UFSP2	10900	20412	0.5340199	3.24E-17
Q9BUP0	EFHD1	4065	1122	3.6223121	3.38E-17
P09327	VIL1	192413	35092	5.4830393	3.41E-17
Q96C86	DCPS	44207	75264	0.5873668	3.95E-17
Q8TAQ2	SMARCC2	54939	36645	1.499218	4.00E-17
Q96SL4	GPX7	14891	3221	4.6227754	4.04E-17
Q9Y618	NCOR2	6656	12324	0.5400549	4.25E-17
Q9NZJ7	MTCH1	30793	97073	0.3172109	4.25E-17
Q9Y490	TLN1	66782	116359	0.5739278	4.26E-17
O15240	VGF	12184	220747	0.0551967	4.39E-17
P22676	CALB2	204729	3200	63.9706395	4.42E-17
P53778	MAPK12	17878	6140	2.9118281	4.49E-17
O15357	INPPL1	16846	6630	2.5408379	5.32E-17
Q16836	HADH	75975	887741	0.0855825	5.30E-17
O15228	GNPAT	15568	5295	2.9402606	5.83E-17
Q9HCE1	MOV10	30442	10886	2.7965061	5.96E-17
P15907	ST6GAL1	17448	2242	7.7828748	5.98E-17
P80723	BASP1	14654	1397	10.4883126	6.75E-17
Q86UW6	N4BP2	1256	525	2.3919352	6.98E-17
Q8TC07	TBC1D15	13461	19591	0.6871265	7.43E-17
A6NE02	BTBD17	12396	728	17.0366328	7.81E-17
Q9UP83	COG5	23736	41047	0.5782538	8.08E-17
Q9NUL3	STAU2	12718	8944	1.4220757	8.38E-17
Q9Y5M8	SRPRB	25866	50245	0.5148005	8.58E-17
P52209	PGD	319108	183310	1.7408166	1.10E-16
P49748	ACADVL	79695	169976	0.4688619	1.16E-16
Q04917	YWHAH	221997	458564	0.484113	1.25E-16
Q8IYB7	DIS3L2	10278	6682	1.5380487	1.25E-16
Q8IX01	SUGP2	29075	9897	2.93774	1.25E-16
O00159	MYO1C	30378	68487	0.443552	1.26E-16
Q8WXF0	SRSF12	9626	4231	2.275282	1.28E-16
Q04726	TLE3	8501	1575	5.3983041	1.34E-16
Q9H2U2	PPA2	41602	99827	0.4167399	1.37E-16
Q15046	KARS1	50051	66222	0.7558106	1.41E-16
Q96IJ6	GMPPA	24953	46029	0.542112	1.48E-16
Q9Y2H0	DLGAP4	20353	11749	1.7323366	1.54E-16
Q8TEM1	NUP210	39314	23405	1.6797154	1.56E-16
O00764	PDXK	30156	92448	0.3261978	1.58E-16
Q13574	DGKZ	4223	10758	0.392495	1.59E-16
Q9Y4F1	FARP1	26952	9152	2.9448444	1.57E-16
Q15334	LLGL1	16051	3964	4.0493325	1.62E-16
P49006	MARCKSL1	24943	2338	10.6697247	1.61E-16
P14550	AKR1A1	248376	375763	0.6609907	1.64E-16
Q9HBR0	SLC38A10	7077	20464	0.3458438	1.67E-16
P18754	RCC1	87078	32780	2.6564045	1.80E-16
Q96DG6	CMBL	26750	75611	0.3537848	1.84E-16
Q9BVA1	TUBB2B	321375	52170	6.1601856	1.86E-16
Q9BV38	WDR18	34236	16889	2.0271023	2.20E-16
Q9H9Q2	COPS7B	43400	21302	2.0373954	2.27E-16
Q9NUI1	DECR2	18938	7547	2.5092617	2.30E-16
O43795	MYO1B	40032	85316	0.4692162	2.57E-16
P46977	STT3A	102189	164270	0.6220784	2.65E-16
Q9H845	ACAD9	33430	53589	0.6238216	3.08E-16
Q9NRN7	AASDHPPT	43247	16859	2.5652642	3.35E-16
Q9NVH1	DNAJC11	12077	20752	0.5819361	3.78E-16
Q6WCQ1	MPRIP	9230	17818	0.5180115	4.37E-16
P49189	ALDH9A1	95966	239264	0.4010888	4.55E-16
P54886	ALDH18A1	51891	93933	0.552423	5.09E-16
Q13057	COASY	26293	53548	0.4910174	5.45E-16
A0A0U1RRI6	CENPVL3	114201	24668	4.6295479	5.44E-16
P11717	IGF2R	26382	15029	1.7554788	6.00E-16
Q9HBL0	TNS1	8099	41968	0.1929819	7.42E-16
O75131	CPNE3	111969	202299	0.5534813	7.50E-16
P17655	CAPN2	28954	58308	0.4965694	7.73E-16
P63172	DYNLT1	13775	4540	3.0341976	8.52E-16
Q96DZ1	ERLEC1	6840	15743	0.4344882	8.84E-16
P19022	CDH2	21833	7759	2.8140107	9.24E-16
Q5JTV8	TOR1AIP1	29088	69129	0.4207843	9.32E-16
Q6PML9	SLC30A9	13564	27814	0.4876773	9.33E-16
Q5VW32	BROX	18987	36927	0.5141821	9.45E-16
O15075	DCLK1	31433	1750	17.9665578	9.72E-16
Q9NVV4	MTPAP	9807	15362	0.6384215	9.73E-16
Q01804	OTUD4	4738	8803	0.5383094	1.02E-15
Q9BW83	IFT27	19804	13712	1.4443413	1.04E-15
Q9BXK5	BCL2L13	12577	22559	0.5575358	1.19E-15
Q7Z7K6	CENPV	60573	12349	4.9049704	1.21E-15
Q9HBK9	AS3MT	8860	2236	3.9621196	1.31E-15
P07196	NEFL	52678	3097	17.0115502	1.34E-15
O95302	FKBP9	26296	17655	1.4894681	1.48E-15
O14497	ARID1A	16068	8669	1.8535686	1.50E-15
Q9Y2T3	GDA	9860	83517	0.1180629	1.67E-15
P02649	APOE	1517026	59035	25.6970616	1.80E-15
O15347	HMGB3	93167	31413	2.9658639	1.83E-15
Q9NX05	FAM120C	5076	14583	0.348046	1.82E-15
Q9UHJ6	SHPK	30742	16912	1.817795	2.03E-15
Q6DKJ4	NXN	14848	7723	1.922626	2.04E-15
Q9Y666	SLC12A7	26402	11417	2.3125784	2.09E-15
Q9BRJ7	NUDT16L1	20812	11485	1.8121273	2.11E-15
Q15493	RGN	7431	38444	0.1932959	2.13E-15
P12277	CKB	316320	148693	2.1273432	2.28E-15
P08240	SRPRA	23859	48815	0.4887616	2.27E-15
Q9GZZ9	UBA5	15084	32783	0.4601052	2.85E-15
Q9UKF7	PITPNC1	9694	29895	0.3242608	2.91E-15
Q99873	PRMT1	111399	53317	2.0893885	3.09E-15
P54652	HSPA2	10168	30457	0.3338658	3.16E-15
Q9Y3C6	PPIL1	35934	23554	1.5256047	3.40E-15
Q70E73	RAPH1	5937	17267	0.3438059	3.47E-15
P0DMV8	HSPA1A	242734	536383	0.4525374	3.53E-15
P50453	SERPINB9	48608	21992	2.2102842	3.63E-15
O14734	ACOT8	31590	8475	3.7273821	3.63E-15
P38435	GGCX	17422	9752	1.7865093	3.72E-15
A1X283	SH3PXD2B	27558	9682	2.8463214	3.74E-15
P83436	COG7	12972	23413	0.5540561	3.78E-15
Q9HCM3	KIAA1549	3119	1039	3.0026528	3.78E-15
P16401	H1-5	917638	26054	35.2208603	4.20E-15
Q96JB2	COG3	8990	14902	0.6033175	4.50E-15
Q8N3Y1	FBXW8	3696	1871	1.9750616	4.61E-15
Q8WUF8	FAM172A	6954	10269	0.6772021	4.98E-15
P61086	UBE2K	33178	20005	1.6584819	5.00E-15
P16035	TIMP2	14837	64324	0.2306605	5.43E-15
Q9NZU5	LMCD1	11810	76988	0.1533986	5.45E-15
Q86U70	LDB1	17778	8295	2.1430788	5.42E-15
Q9NNW7	TXNRD2	13600	28613	0.4753015	5.80E-15
P23368	ME2	39159	60454	0.6477577	5.91E-15
Q13162	PRDX4	47460	95230	0.4983733	6.08E-15
Q99497	PARK7	131657	232475	0.5663262	6.22E-15
Q08257	CRYZ	56882	246182	0.2310574	6.27E-15
Q6FI81	CIAPIN1	34784	17819	1.9520988	6.48E-15
Q9NZW5	MPP6	17372	38976	0.4457129	6.73E-15
O43639	NCK2	17800	10354	1.7191526	7.17E-15
Q9Y3A5	SBDS	27651	43122	0.6412441	7.63E-15
Q14168	MPP2	28760	9200	3.1261056	7.68E-15
Q8IZ21	PHACTR4	6884	3606	1.9089996	7.88E-15
Q9UBX3	SLC25A10	22455	33729	0.6657307	8.19E-15
O15438	ABCC3	8288	4208	1.9695608	8.41E-15
Q8N0W3	FCSK	7841	18583	0.4219082	9.21E-15
P07437	TUBB	1292720	764275	1.691433	9.64E-15
P04179	SOD2	174411	754407	0.2311901	1.00E-14
P30622	CLIP1	9104	19587	0.4648305	1.04E-14
O14531	DPYSL4	81823	8476	9.6531774	1.06E-14
P07197	NEFM	54278	3814	14.2324588	1.07E-14
Q9BQE3	TUBA1C	1749594	970247	1.8032463	1.27E-14
P36405	ARL3.00	121041	77226	1.5673632	1.28E-14
P08729	KRT7	19130	170901	0.1119369	1.28E-14
P49407	ARRB1	24887	13219	1.8825957	1.30E-14
Q5JSH3	WDR44	14627	27323	0.5353175	1.34E-14
O43813	LANCL1	67368	46524	1.448019	1.36E-14
P56199	ITGA1	9680	27136	0.3567127	1.38E-14
Q9NR30	DDX21	22252	42236	0.5268609	1.39E-14
O60610	DIAPH1	19090	28871	0.6612037	1.39E-14
P12110	COL6A2	9643	359502	0.0268226	1.39E-14
Q13501	SQSTM1	21795	69672	0.31282	1.77E-14
P62136	PPP1CA	37314	25322	1.4735884	1.85E-14
Q8N4B1	PHETA1	4881	2341	2.0848779	1.85E-14
Q15773	MLF2.00	8869	17284	0.5131204	1.86E-14
Q14789	GOLGB1	13469	26350	0.5111427	1.87E-14
Q92945	KHSRP	195507	102439	1.9085155	1.95E-14
P42704	LRPPRC	85859	141378	0.6073054	1.98E-14
Q8WXE9	STON2	2291	749	3.0562728	2.08E-14
P69905	HBA1	9555	273347	0.0349568	2.15E-14
O60313	OPA1	38957	62796	0.6203693	2.17E-14
P04004	VTN	183506	28803	6.3711184	2.17E-14
Q6BCY4	CYB5R2	23806	3388	7.0271998	2.17E-14
Q01484	ANK2	16400	4333	3.7853629	2.17E-14
O14795	UNC13B	10815	3363	3.2153762	2.30E-14
Q5JWF2	GNAS	46720	80777	0.5783833	2.38E-14
Q9NRF8	CTPS2	24488	14149	1.7307139	2.48E-14
Q9UNF1	MAGED2	25683	14450	1.7774383	2.50E-14
Q9H223	EHD4	17987	87527	0.2055061	2.52E-14
Q9H8H3	METTL7A	3795	64650	0.058708	2.53E-14
O15217	GSTA4	12945	4751	2.7248646	2.71E-14
Q9BRX2	PELO	9728	14980	0.6493581	2.82E-14
Q8WXF1	PSPC1	75509	37982	1.9880283	2.94E-14
P42574	CASP3	65512	28275	2.3170029	2.98E-14
Q99943	AGPAT1	23964	17385	1.3784264	3.08E-14
P00325	ADH1B	12009	88173	0.1361976	3.09E-14
P68371	TUBB4B	1223232	597680	2.0466348	3.09E-14
Q149N8	SHPRH	10290	3775	2.7257553	3.09E-14
Q92558	WASF1	3517	2021	1.7405582	3.34E-14
P41240	CSK	25836	15108	1.710066	3.50E-14
Q9Y5B0	CTDP1	12743	8372	1.5220939	3.51E-14
P22570	FDXR	8776	17109	0.5129557	3.54E-14
P18440	NAT1	11122	6611	1.6825117	3.62E-14
Q9UBW8	COPS7A	16005	35654	0.4489004	3.99E-14
Q9Y371	SH3GLB1	35588	57271	0.6214034	4.19E-14
Q6PIU2	NCEH1	3866	36564	0.1057459	4.19E-14
Q16831	UPP1	2069	5708	0.3624723	4.56E-14
Q8TDQ7	GNPDA2	18559	36318	0.5110157	4.75E-14
Q9BY50	SEC11C	21481	69887	0.307361	4.76E-14
Q12959	DLG1	18373	28735	0.6393728	4.97E-14
Q9BYT8	NLN	30878	11799	2.6169748	5.05E-14
Q9H9B1	EHMT1	10089	3057	3.3003733	5.12E-14
Q7Z4V5	HDGFL2	34356	20492	1.6765712	5.13E-14
O95864	FADS2	28310	10479	2.7016007	5.24E-14
P56545	CTBP2	37703	14006	2.6919173	5.30E-14
Q9H1Z4	WDR13	10346	17130	0.6039644	5.88E-14
Q9ULD0	OGDHL	6098	21994	0.2772461	5.95E-14
P33527	ABCC1	18436	6944	2.6548414	6.15E-14
Q6ICL3	TANGO2	6668	33360	0.199869	6.13E-14
Q14764	MVP	17519	80876	0.21662	6.24E-14
P15153	RAC2	626	5487	0.1140447	6.35E-14
P42330	AKR1C3	56386	150413	0.3748731	6.48E-14
Q9H9E3	COG4	16033	24173	0.6632733	6.57E-14
P38432	COIL	5626	2904	1.9373833	7.04E-14
Q13418	ILK	15171	30355	0.4997767	7.51E-14
Q9NWU1	OXSM	2181	5619	0.3881448	7.97E-14
Q13867	BLMH	151115	104131	1.4511982	8.01E-14
O00154	ACOT7	36921	13355	2.764692	8.02E-14
O75828	CBR3	56131	146345	0.3835506	8.32E-14
Q9NZB2	FAM120A	13093	31832	0.4113188	8.31E-14
Q9BUT1	BDH2	52697	24738	2.1302162	9.24E-14
Q92673	SORL1	6119	33526	0.1825219	9.32E-14
Q96A33	CCDC47	38554	73688	0.523211	9.58E-14
O75027	ABCB7	19332	33060	0.5847524	9.63E-14
Q9Y223	GNE	13139	32486	0.4044411	9.80E-14
P02751	FN1	15419	2833	5.4432319	9.96E-14
Q9Y6X9	MORC2	6724	3971	1.6931478	1.01E-13
P05198	EIF2S1	65479	83641	0.7828637	1.03E-13
P17252	PRKCA	8754	18636	0.4697502	1.07E-13
Q9UI08	EVL	18764	2885	6.5038223	1.17E-13
Q13449	LSAMP	54983	19009	2.8925325	1.20E-13
Q06210	GFPT1	79736	157003	0.5078641	1.25E-13
O00203	AP3B1	24705	40073	0.6165087	1.24E-13
Q8TB61	SLC35B2	19668	44674	0.440268	1.25E-13
Q9UKV8	AGO2	18139	28696	0.6321191	1.40E-13
P01889	HLA-B	11577	56131	0.2062565	1.40E-13
Q6ZMK1	CYHR1	4810	2643	1.8198789	1.41E-13
Q8NFZ8	CADM4	20516	6218	3.299223	1.41E-13
Q6P1Q0	LETMD1	7721	24297	0.3177871	1.44E-13
O43708	GSTZ1	13985	22303	0.6270382	1.47E-13
Q5SW79	CEP170	9305	4940	1.8836164	1.47E-13
Q5BKZ1	ZNF326	46268	24129	1.9175145	1.48E-13
Q6BDS2	UHRF1BP1	6529	4101	1.5922868	1.48E-13
O95340	PAPSS2	26692	125310	0.213006	1.50E-13
P05388	RPLP0	148553	187096	0.7939947	1.52E-13
Q93052	LPP	13695	27072	0.5058583	1.52E-13
O15372	EIF3H	60999	76426	0.798145	1.52E-13
Q9H4A5	GOLPH3L	8897	27547	0.3229823	1.52E-13
O75369	FLNB	101014	189741	0.5323758	1.56E-13
Q86TP1	PRUNE1	8856	21319	0.4153947	1.59E-13
P23786	CPT2	28335	54724	0.5177893	1.60E-13
Q9NR50	EIF2B3	23153	33478	0.6915939	1.62E-13
Q8IVS8	GLYCTK	9770	3904	2.5027348	1.63E-13
P09960	LTA4H	66209	96830	0.6837603	1.64E-13
Q16774	GUK1	19864	39764	0.4995425	1.70E-13
Q99685	MGLL	11953	2202	5.4285301	1.76E-13
O00625	PIR	9858	27601	0.3571439	1.80E-13
Q86WA6	BPHL	17226	11097	1.5523987	1.81E-13
O60879	DIAPH2	5029	9025	0.5572788	1.80E-13
Q9H993	ARMT1	34701	20697	1.6765888	1.84E-13
Q9BRF8	CPPED1	73840	51277	1.440012	1.88E-13
P04843	RPN1	163279	229519	0.7113964	1.91E-13
Q86X55	CARM1	22356	11211	1.9941786	2.01E-13
P68871	HBB	17986	459359	0.0391553	2.07E-13
Q9Y2Z9	COQ6	7646	19265	0.3968957	2.07E-13
P48735	IDH2	233394	109770	2.1262133	2.08E-13
Q9BRR3	PGAP4	14706	26558	0.5537279	2.16E-13
P15309	ACP3	4023	29060	0.1384216	2.18E-13
Q92871	PMM1	3150	1415	2.226283	2.20E-13
Q9UPN9	TRIM33	9332	6150	1.5174087	2.22E-13
Q8N4P3	HDDC3	5815	26312	0.221006	2.30E-13
Q9NZD2	GLTP	6463	11402	0.5667704	2.34E-13
P05556	ITGB1	66078	127781	0.5171176	2.38E-13
Q9UJS0	SLC25A13	104774	50676	2.0675326	2.38E-13
Q9H1E5	TMX4	19257	36255	0.5311636	2.41E-13
P68036	UBE2L3	55613	37409	1.4865986	2.40E-13
Q5H9L2	TCEAL5	11277	34556	0.326347	2.41E-13
Q7Z449	CYP2U1	3196	11519	0.2774681	2.43E-13
Q6YP21	KYAT3	21748	45893	0.4738791	2.45E-13
Q03001	DST	8491	15105	0.5621674	2.51E-13
P19021	PAM	31219	107083	0.2915382	2.55E-13
P11498	PC	19583	35353	0.5539333	2.57E-13
P35270	SPR	17147	47186	0.3633999	2.56E-13
Q1KMD3	HNRNPUL2	65044	41863	1.5537242	2.56E-13
Q8N2G8	GHDC	9322	22771	0.4093727	2.71E-13
Q14999	CUL7	15680	8181	1.9166474	2.77E-13
Q96JK2	DCAF5	12610	8007	1.5749143	2.77E-13
Q16822	PCK2	27399	56973	0.4809037	2.97E-13
Q15738	NSDHL	27418	12169	2.2531321	3.09E-13
P42785	PRCP	64282	18515	3.4719109	3.08E-13
Q9NRP0	OSTC	7260	10778	0.6736208	3.11E-13
O43175	PHGDH	241757	70349	3.4365454	3.24E-13
Q13188	STK3	6295	10731	0.5866373	3.24E-13
Q96H79	ZC3HAV1L	19549	6514	3.001074	3.26E-13
Q9NS00	C1GALT1	5643	13448	0.4195909	3.30E-13
Q9BS40	LXN	11047	22025	0.5015688	3.49E-13
Q9HC38	GLOD4	114846	147492	0.7786581	3.53E-13
Q6UWP2	DHRS11	5005	8493	0.5892567	3.72E-13
Q9BW91	NUDT9	8707	17291	0.5035737	3.99E-13
Q92974	ARHGEF2	22520	7184	3.1347433	4.02E-13
Q6ZT62	BARGIN	2442	1155	2.1148226	4.12E-13
O60841	EIF5B	27179	34028	0.7987473	4.17E-13
Q6NVY1	HIBCH	33175	57771	0.5742437	4.24E-13
P60228	EIF3E	68896	84121	0.8190175	4.26E-13
P82094	TMF1	7930	15414	0.5144436	4.33E-13
Q15125	EBP	29156	14552	2.0035814	4.35E-13
Q9Y450	HBS1L	9094	13403	0.6785094	4.43E-13
P30047	GCHFR	27895	6315	4.4171001	4.45E-13
O95352	ATG7	10248	17075	0.6001995	4.45E-13
Q9UBQ6	EXTL2	4421	2821	1.5672583	4.57E-13
Q6DD88	ATL3	6489	31095	0.2086917	4.61E-13
Q96FW1	OTUB1	181276	127408	1.4227935	4.64E-13
P09455	RBP1	130971	43289	3.025527	4.78E-13
Q9NX62	BPNT2	16334	41004	0.3983473	4.82E-13
Q3YEC7	RABL6	14187	24064	0.5895547	4.82E-13
Q9H9G7	AGO3	6590	12880	0.5116914	4.83E-13
Q8IU81	IRF2BP1	11085	6894	1.6080567	4.86E-13
P37108	SRP14	64624	36769	1.7575864	4.90E-13
O95785	WIZ	6870	3185	2.1567359	4.91E-13
Q3LXA3	TKFC	20241	36734	0.5510036	5.18E-13
O14744	PRMT5	93672	55868	1.676663	5.24E-13
Q9UJY4	GGA2	11615	17616	0.6593297	5.26E-13
P61962	DCAF7	11316	7501	1.5087013	5.26E-13
P45984	MAPK9	15373	11012	1.3960702	5.31E-13
P12931	SRC	61238	38015	1.6108754	5.34E-13
Q9H5Q4	TFB2M	7172	11164	0.642452	5.35E-13
Q6UUV9	CRTC1	12675	7714	1.6431018	5.36E-13
P51608	MECP2	17476	73624	0.2373664	5.65E-13
Q7Z5N4	SDK1	4924	9965	0.4940856	5.79E-13
Q68EM7	ARHGAP17	19426	12652	1.5353742	5.89E-13
Q9NWW6	NMRK1	760	3635	0.209176	5.97E-13
P55957	BID	15013	4729	3.1748216	6.13E-13
Q96BW9	TAMM41	3523	6919	0.5092107	6.26E-13
Q9Y234	LIPT1	899	2379	0.3777253	6.61E-13
Q9NX46	ADPRS	23364	32598	0.7167568	6.66E-13
Q9NUJ1	ABHD10	16533	50012	0.3305693	6.67E-13
Q8ND76	CCNY	8553	3420	2.5007925	6.71E-13
Q9NXF1	TEX10	24885	12916	1.9267293	6.71E-13
Q8IZL8	PELP1	37803	19413	1.9473017	6.71E-13
Q96BW5	PTER	14361	33876	0.4239166	6.74E-13
P41229	KDM5C	8120	4692	1.7306111	6.99E-13
P24752	ACAT1	88821	217609	0.408167	7.31E-13
P16070	CD44	2295	47653	0.0481605	7.41E-13
Q96SI9	STRBP	12238	5483	2.2320909	7.59E-13
Q8NBJ5	COLGALT1	24438	14456	1.6904907	7.77E-13
Q9H4L4	SENP3	15807	9094	1.7380726	7.76E-13
Q6PUV4	CPLX2	2241	11071	0.2024418	7.83E-13
O75909	CCNK	11978	8102	1.4783771	7.83E-13
Q9H6U8	ALG9	8600	13376	0.6429343	7.85E-13
P29590	PML	11333	19540	0.5800018	8.18E-13
Q8NF37	LPCAT1	37588	21407	1.7558691	8.23E-13
Q8N9F7	GDPD1	24331	8012	3.036747	8.52E-13
Q9UNE2	RPH3AL	10505	46491	0.22596	8.54E-13
Q9NWU5	MRPL22	22868	30561	0.7482917	8.78E-13
Q9H6V9	LDAH	26680	14740	1.8100288	8.76E-13
O60763	USO1	71861	119086	0.603438	9.18E-13
P46976	GYG1	11212	74730	0.1500327	9.21E-13
Q9HBH5	RDH14	22374	40371	0.5542025	9.23E-13
Q9HB07	MYG1	83859	39909	2.101275	9.26E-13
Q13613	MTMR1	8126	4376	1.8568023	9.44E-13
Q9H7B4	SMYD3	6884	3158	2.1796433	9.46E-13
Q8N8N7	PTGR2	13014	27534	0.4726331	9.58E-13
P49336	CDK8	4302	2728	1.5771804	9.89E-13
P13987	CD59	25942	52605	0.49314	1.01E-12
P48449	LSS	65292	25687	2.5417737	1.03E-12
P51571	SSR4	57394	105101	0.5460872	1.04E-12
Q9NT62	ATG3	9391	14572	0.6444083	1.06E-12
P49750	YLPM1	19370	13004	1.489568	1.10E-12
P38646	HSPA9	184502	306061	0.6028279	1.16E-12
Q9H2D1	SLC25A32	2249	6274	0.3584263	1.18E-12
Q9BXI6	TBC1D10A	6412	9823	0.652789	1.22E-12
O00757	FBP2	5772	28881	0.1998714	1.22E-12
Q9HAU0	PLEKHA5	13264	5864	2.2620457	1.23E-12
Q7L311	ARMCX2	9862	18084	0.5453269	1.25E-12
O60341	KDM1A	23473	13965	1.6808404	1.27E-12
Q96NR8	RDH12	6453	2110	3.0579121	1.29E-12
Q96KQ7	EHMT2	8888	3589	2.476723	1.34E-12
Q00577	PURA	32064	136968	0.2340961	1.36E-12
P13591	NCAM1	50427	11430	4.4118827	1.36E-12
