hgnc_symbol	type
IFNA21	ligand
IFNA4	ligand
IFNA6	ligand
IFNA7	ligand
IFNA8	ligand
IFNB1	ligand
IFNG	ligand
IFNK	ligand
IFNL1	ligand
IFNL2	ligand
IFNL3	ligand
IGFL3	ligand
IL13	ligand
IL2	ligand
IL21	ligand
IL22	ligand
IL25	ligand
IL3	ligand
IL4	ligand
IL9	ligand
LHB	ligand
NMS	ligand
NODAL	ligand
NPVF	ligand
OBP2A	ligand
PRLH	ligand
PROK2	ligand
PTH	ligand
PTH2	ligand
RETN	ligand
SLURP1	ligand
TNFSF8	ligand
TSHB	ligand
WNT1	ligand
WNT3A	ligand
WNT8A	ligand
CCL28	ligand
CCL24	ligand
QRFP	ligand
CCN6	ligand
CXCL13	ligand
DEFB4B	ligand
IFNA5	ligand
IL17F	ligand
IL27	ligand
IL31	ligand
IL5	ligand
NPS	ligand
PDCD1LG2	ligand
PMCH	ligand
EPGN	ligand
CCL3L1	ligand
TNFSF15	ligand
GDF15	ligand
IGFL1	ligand
IL26	ligand
LTA	ligand
INHBA	ligand
CALCA	ligand
NLGN1	ligand
GDF5	ligand
ANXA1	ligand
NXPH3	ligand
NPFF	ligand
IL19	ligand
WNT4	ligand
ADM2	ligand
UCN2	ligand
NPPC	ligand
OLFM2	ligand
IL11	ligand
NTN3	ligand
NRG4	ligand
DHH	ligand
AGRP	ligand
ANGPT4	ligand
C1QTNF5	ligand
CCL14	ligand
CCL18	ligand
CCL19	ligand
CCL23	ligand
CCL3L3	ligand
CCL4	ligand
CCL4L2	ligand
CCL8	ligand
CSF2	ligand
CSF3	ligand
GDF10	ligand
GRP	ligand
IFNW1	ligand
IL17A	ligand
IL6	ligand
ORM1	ligand
OSM	ligand
SAA1	ligand
SCGB3A2	ligand
TAC4	ligand
WNT16	ligand
PF4	ligand
UCN	ligand
CCL3	ligand
KNG1	ligand
EDIL3	ligand
CD70	ligand
NPPA	ligand
BTC	ligand
RARRES2	ligand
EDA	ligand
MIF	ligand
PDYN	ligand
CCL16	ligand
CCL25	ligand
EPO	ligand
FGF23	ligand
SCGB1A1	ligand
IL36G	ligand
NDP	ligand
SCGB3A1	ligand
IL17C	ligand
NTF4	ligand
SEMA3E	ligand
INSL5	ligand
SEMA3B	ligand
CRH	ligand
PF4V1	ligand
XCL2	ligand
EBI3	ligand
FGF5	ligand
BMP8B	ligand
CCN1	ligand
IL1A	ligand
FSHB	ligand
PPBP	ligand
WNT6	ligand
BMP7	ligand
CXCL11	ligand
INSL3	ligand
SST	ligand
CX3CL1	ligand
CCL15	ligand
MIA	ligand
GDF7	ligand
AGT	ligand
UTS2	ligand
EGF	ligand
CCN3	ligand
TG	ligand
S100A8	ligand
NXPH1	ligand
IFNE	ligand
FGF10	ligand
NMU	ligand
IL12A	ligand
CCL20	ligand
OSTN	ligand
CCL27	ligand
BMP6	ligand
WNT2	ligand
RSPO3	ligand
CORT	ligand
WNT8B	ligand
NTF3	ligand
TNFSF9	ligand
FGF1	ligand
GAST	ligand
THPO	ligand
GUCA2A	ligand
WNT9A	ligand
DKK1	ligand
OXT	ligand
AREG	ligand
IGF1	ligand
WNT10B	ligand
CLCF1	ligand
DKK2	ligand
FGF13	ligand
SEMA3G	ligand
INHBE	ligand
TNFSF12	ligand
WNT9B	ligand
LEFTY2	ligand
WNT2B	ligand
TRH	ligand
FGF2	ligand
IL34	ligand
GNRH2	ligand
WNT7B	ligand
RSPO4	ligand
NXPH2	ligand
CXCL3	ligand
XCL1	ligand
TGFA	ligand
IL18	ligand
FGF20	ligand
BDNF	ligand
NTN4	ligand
WNT10A	ligand
NTN1	ligand
CCN2	ligand
AVP	ligand
TNFSF11	ligand
GDF9	ligand
CSF1	ligand
NGF	ligand
ANGPT1	ligand
THBS2	ligand
PNOC	ligand
EDN1	ligand
TNFSF10	ligand
RLN1	ligand
FGF9	ligand
CXCL1	ligand
CCK	ligand
WNT5B	ligand
SHH	ligand
C1QTNF1	ligand
CCL2	ligand
NPB	ligand
TAC3	ligand
PENK	ligand
PTN	ligand
GIP	ligand
BMP8A	ligand
KISS1	ligand
TAC1	ligand
APLN	ligand
CXCL5	ligand
CXCL6	ligand
GNRH1	ligand
MLN	ligand
LEFTY1	ligand
ANGPT2	ligand
ARTN	ligand
CGN	ligand
PDGFC	ligand
IL7	ligand
GPHA2	ligand
IL15	ligand
EFNA4	ligand
CGA	ligand
APELA	ligand
VEGFC	ligand
BMP3	ligand
HBEGF	ligand
CTF1	ligand
IHH	ligand
TGFB3	ligand
CXCL14	ligand
GDF6	ligand
GRN	ligand
FGF17	ligand
ANGPTL3	ligand
BMP4	ligand
FGF7	ligand
TNFSF4	ligand
WNT3	ligand
INHA	ligand
PTHLH	ligand
TNFSF13B	ligand
SEMA3F	ligand
GHRH	ligand
FGF11	ligand
SCT	ligand
NRG3	ligand
EFNA1	ligand
INHBB	ligand
GAL	ligand
SLIT2	ligand
FGF18	ligand
NTS	ligand
GUCA2B	ligand
KITLG	ligand
WNT5A	ligand
AMH	ligand
SLIT3	ligand
TGFB2	ligand
GAS6	ligand
NPW	ligand
PSPN	ligand
NRG1	ligand
SEMA3D	ligand
NMB	ligand
MST1	ligand
PYY	ligand
PGF	ligand
GHRL	ligand
SLIT1	ligand
ENHO	ligand
PDGFD	ligand
BMP2	ligand
BMP1	ligand
FGF14	ligand
FGF12	ligand
CXCL12	ligand
SEMA3C	ligand
PDGFA	ligand
SEMA3A	ligand
GDF11	ligand
IGF2	ligand
VEGFB	ligand
VEGFA	ligand
DLK1	ligand
MDK	ligand
GCG	ligand
