interaction_symbol	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	curation_effort	n_references	n_resources
BMP10-ACVRL1	BMP10	ACVRL1	1	1	0	1	1	0	Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:17068149;CellTalkDB:17068149;LRdb:17068149;SIGNOR:17068149;connectomeDB2020:17068149	5	Baccin2019:17068149;CellTalkDB:17068149;LRdb:17068149;SIGNOR:17068149;connectomeDB2020:17068149	11
BMP10-ACVR1	BMP10	ACVR1	1	1	0	1	1	0	Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	Cellinker:27252362;Cellinker:30246251;Cellinker:30246252;Cellinker:31127068	4	Cellinker:27252362;Cellinker:30246251;Cellinker:30246252;Cellinker:31127068	5
BMP10-ACVR2B	BMP10	ACVR2B	1	1	0	1	1	0	Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	Cellinker:27252362	1	Cellinker:27252362	5
BMP10-BMPR2	BMP10	BMPR2	1	1	0	1	1	0	Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:16049014;CellTalkDB:15621726;LRdb:16049014;connectomeDB2020:16049014	4	Baccin2019:16049014;CellTalkDB:15621726;LRdb:16049014;connectomeDB2020:16049014	10
BMP2-BMPR1B	BMP2	BMPR1B	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:12700180;Baccin2019:15064755;Baccin2019:7811286;Baccin2019:9872992;HPMR:12700180;HPRD:15064755;HPRD:7811286;HPRD:9872992;LRdb:12700180;LRdb:15064755;LRdb:7811286;LRdb:9872992;Lit-BM-17:10712517;Lit-BM-17:19229295;connectomeDB2020:12700180;connectomeDB2020:15064755;connectomeDB2020:7811286;connectomeDB2020:9872992	18	Baccin2019:12700180;Baccin2019:15064755;Baccin2019:7811286;Baccin2019:9872992;HPMR:12700180;HPRD:15064755;HPRD:7811286;HPRD:9872992;LRdb:12700180;LRdb:15064755;LRdb:7811286;LRdb:9872992;Lit-BM-17:10712517;Lit-BM-17:19229295;connectomeDB2020:12700180;connectomeDB2020:15064755;connectomeDB2020:7811286;connectomeDB2020:9872992	15
BMP2-ACVR2A	BMP2	ACVR2A	1	1	0	1	1	0	Baccin2019;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Guide2Pharma;InnateDB;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr	Baccin2019:20959140;CellTalkDB:21702718;DIP:10880444;DIP:25938661;InnateDB:17295905;InnateDB:17483092;Ramilowski2015:21702718;connectomeDB2020:21702718;talklr:21702718	9	Baccin2019:20959140;CellTalkDB:21702718;DIP:10880444;DIP:25938661;InnateDB:17295905;InnateDB:17483092;Ramilowski2015:21702718;connectomeDB2020:21702718;talklr:21702718	10
BMP2-BMPR1A	BMP2	BMPR1A	1	1	0	1	1	0	Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10692589;Baccin2019:10881198;Baccin2019:11263668;Baccin2019:12700180;Baccin2019:15064755;BioGRID:10692589;BioGRID:11263668;CellTalkDB:15621726;DIP:10880444;DIP:10881198;DIP:11263668;DIP:16672363;DIP:25938661;HPMR:12700180;HPRD:10692589;HPRD:10881198;HPRD:11263668;HPRD:15064755;InnateDB:16672363;InnateDB:17483092;InnateDB:18937504;IntAct:10881198;IntAct:15064755;IntAct:16672363;IntAct:19804412;IntAct:20860622;IntAct:21054789;IntAct:25938661;LRdb:10692589;LRdb:10881198;LRdb:11263668;LRdb:12700180;LRdb:15064755;Lit-BM-17:10692589;Lit-BM-17:10712517;Lit-BM-17:10880444;Lit-BM-17:10881198;Lit-BM-17:11263668;Lit-BM-17:15064755;Lit-BM-17:19804412;Lit-BM-17:20860622;Lit-BM-17:21054789;SIGNOR:18937504;SIGNOR:26330344;connectomeDB2020:10692589;connectomeDB2020:10881198;connectomeDB2020:11263668;connectomeDB2020:12700180;connectomeDB2020:15064755	49	Baccin2019:10692589;Baccin2019:10881198;Baccin2019:11263668;Baccin2019:12700180;Baccin2019:15064755;BioGRID:10692589;BioGRID:11263668;CellTalkDB:15621726;DIP:10880444;DIP:10881198;DIP:11263668;DIP:16672363;DIP:25938661;HPMR:12700180;HPRD:10692589;HPRD:10881198;HPRD:11263668;HPRD:15064755;InnateDB:16672363;InnateDB:17483092;InnateDB:18937504;IntAct:10881198;IntAct:15064755;IntAct:16672363;IntAct:19804412;IntAct:20860622;IntAct:21054789;IntAct:25938661;LRdb:10692589;LRdb:10881198;LRdb:11263668;LRdb:12700180;LRdb:15064755;Lit-BM-17:10692589;Lit-BM-17:10712517;Lit-BM-17:10880444;Lit-BM-17:10881198;Lit-BM-17:11263668;Lit-BM-17:15064755;Lit-BM-17:19804412;Lit-BM-17:20860622;Lit-BM-17:21054789;SIGNOR:18937504;SIGNOR:26330344;connectomeDB2020:10692589;connectomeDB2020:10881198;connectomeDB2020:11263668;connectomeDB2020:12700180;connectomeDB2020:15064755	19
BMP2-ACVRL1	BMP2	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP2-ACVR1	BMP2	ACVR1	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK;talklr	Baccin2019:8006002;CellTalkDB:28977600;HPRD:8006002;LRdb:8006002	4	Baccin2019:8006002;CellTalkDB:28977600;HPRD:8006002;LRdb:8006002	11
BMP4-BMPR1B	BMP4	BMPR1B	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:11282024;Baccin2019:7811286;Baccin2019:8006002;Baccin2019:8702914;HPRD:11282024;HPRD:7811286;HPRD:8702914;LRdb:11282024;LRdb:7811286;LRdb:8006002;LRdb:8702914;connectomeDB2020:11282024;connectomeDB2020:7811286;connectomeDB2020:8006002;connectomeDB2020:8702914	15	Baccin2019:11282024;Baccin2019:7811286;Baccin2019:8006002;Baccin2019:8702914;HPRD:11282024;HPRD:7811286;HPRD:8702914;LRdb:11282024;LRdb:7811286;LRdb:8006002;LRdb:8702914;connectomeDB2020:11282024;connectomeDB2020:7811286;connectomeDB2020:8006002;connectomeDB2020:8702914	13
BMP4-ACVR2A	BMP4	ACVR2A	1	1	0	1	1	0	Baccin2019;DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	Baccin2019:20959140	1	Baccin2019:20959140	5
BMP4-BMPR1A	BMP4	BMPR1A	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:11241215;Baccin2019:7644468;Baccin2019:8006002;Baccin2019:8702914;HPRD:11241215;HPRD:7644468;HPRD:8702914;IntAct:20860622;IntAct:21054789;LRdb:11241215;LRdb:7644468;LRdb:8006002;LRdb:8702914;Lit-BM-17:20860622;Lit-BM-17:21054789;Lit-BM-17:8006002;SIGNOR:26330344;connectomeDB2020:11241215;connectomeDB2020:7644468;connectomeDB2020:8006002;connectomeDB2020:8702914	21	Baccin2019:11241215;Baccin2019:7644468;Baccin2019:8006002;Baccin2019:8702914;HPRD:11241215;HPRD:7644468;HPRD:8702914;IntAct:20860622;IntAct:21054789;LRdb:11241215;LRdb:7644468;LRdb:8006002;LRdb:8702914;Lit-BM-17:20860622;Lit-BM-17:21054789;Lit-BM-17:8006002;SIGNOR:26330344;connectomeDB2020:11241215;connectomeDB2020:7644468;connectomeDB2020:8006002;connectomeDB2020:8702914	15
BMP4-ACVRL1	BMP4	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP4-ACVR1	BMP4	ACVR1	1	1	0	1	1	0	Baccin2019;DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	Baccin2019:20959140	1	Baccin2019:20959140	5
BMP4-ACVR2B	BMP4	ACVR2B	1	1	0	1	1	0	DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	NA	0	0	4
BMP5-BMPR1B	BMP5	BMPR1B	1	1	0	1	1	0	CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Guide2Pharma;LRdb;UniProt_LRdb;Wang;iTALK;scConnect;talklr	NA	0	0	9
BMP5-ACVR2A	BMP5	ACVR2A	1	1	0	1	1	0	DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	NA	0	0	4
BMP5-BMPR1A	BMP5	BMPR1A	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;iTALK;talklr	Baccin2019:11580864;HPRD:11580864;LRdb:11580864	3	Baccin2019:11580864;HPRD:11580864;LRdb:11580864	11
BMP5-ACVRL1	BMP5	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP5-ACVR1	BMP5	ACVR1	1	1	0	1	1	0	DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	NA	0	0	4
BMP5-ACVR2B	BMP5	ACVR2B	1	1	0	1	1	0	DLRP_talklr;EMBRACE;Guide2Pharma;iTALK;talklr	NA	0	0	4
BMP5-BMPR2	BMP5	BMPR2	1	1	0	1	1	0	CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Guide2Pharma;LRdb;UniProt_LRdb;Wang;iTALK;talklr	NA	0	0	8
BMP6-BMPR1B	BMP6	BMPR1B	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10504300;Baccin2019:11401330;HPRD:10504300;HPRD:11401330;LRdb:10504300;LRdb:11;connectomeDB2020:10504300;connectomeDB2020:11401330	8	Baccin2019:10504300;Baccin2019:11401330;HPRD:10504300;HPRD:11401330;LRdb:10504300;LRdb:11;connectomeDB2020:10504300;connectomeDB2020:11401330	13
BMP6-ACVR2A	BMP6	ACVR2A	1	1	0	1	1	0	Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr	Baccin2019:10504300;CellTalkDB:10504300;HPRD:10504300;LRdb:10504300;connectomeDB2020:10504300	5	Baccin2019:10504300;CellTalkDB:10504300;HPRD:10504300;LRdb:10504300;connectomeDB2020:10504300	10
BMP6-BMPR1A	BMP6	BMPR1A	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10504300;Baccin2019:11401330;Baccin2019:12297674;HPRD:10504300;HPRD:11401330;LRdb:10504300;LRdb:11401330;LRdb:12297674;connectomeDB2020:10504300;connectomeDB2020:11401330;connectomeDB2020:12297674	11	Baccin2019:10504300;Baccin2019:11401330;Baccin2019:12297674;HPRD:10504300;HPRD:11401330;LRdb:10504300;LRdb:11401330;LRdb:12297674;connectomeDB2020:10504300;connectomeDB2020:11401330;connectomeDB2020:12297674	12
BMP6-ACVRL1	BMP6	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP6-ACVR1	BMP6	ACVR1	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:12297674;CellTalkDB:12297674;LRdb:12297674;connectomeDB2020:12297674	4	Baccin2019:12297674;CellTalkDB:12297674;LRdb:12297674;connectomeDB2020:12297674	11
BMP7-BMPR1B	BMP7	BMPR1B	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:106311828605097;CellTalkDB:15621726;HPRD:8605097;LRdb:10631182;LRdb:86;connectomeDB2020:10631182;connectomeDB2020:8605097	7	Baccin2019:106311828605097;CellTalkDB:15621726;HPRD:8605097;LRdb:10631182;LRdb:86;connectomeDB2020:10631182;connectomeDB2020:8605097	13
BMP7-ACVR2A	BMP7	ACVR2A	1	1	0	1	1	0	Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:12667445;Baccin2019:7790373;Baccin2019:9748228;CellTalkDB:7790373;HPRD:12667445;HPRD:9748228;LRdb:12667445;LRdb:7790373;LRdb:9748228;SIGNOR:9748228;connectomeDB2020:12667445;connectomeDB2020:7790373;connectomeDB2020:9748228	13	Baccin2019:12667445;Baccin2019:7790373;Baccin2019:9748228;CellTalkDB:7790373;HPRD:12667445;HPRD:9748228;LRdb:12667445;LRdb:7790373;LRdb:9748228;SIGNOR:9748228;connectomeDB2020:12667445;connectomeDB2020:7790373;connectomeDB2020:9748228	12
BMP7-BMPR1A	BMP7	BMPR1A	1	1	0	1	1	0	Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:12297674;Baccin2019:7791754;Baccin2019:8605097;HPRD:7791754;HPRD:8605097;LRdb:12297674;LRdb:7791754;LRdb:8605097;connectomeDB2020:12297674;connectomeDB2020:7791754;connectomeDB2020:8605097	11	Baccin2019:12297674;Baccin2019:7791754;Baccin2019:8605097;HPRD:7791754;HPRD:8605097;LRdb:12297674;LRdb:7791754;LRdb:8605097;connectomeDB2020:12297674;connectomeDB2020:7791754;connectomeDB2020:8605097	12
BMP7-ACVRL1	BMP7	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP7-ACVR1	BMP7	ACVR1	1	1	0	1	1	0	Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:122976748006002;CellTalkDB:31619522;HPRD:8006002;LRdb:12297674;LRdb:8;SIGNOR:11282024;connectomeDB2020:12297674;connectomeDB2020:8006002	8	Baccin2019:122976748006002;CellTalkDB:31619522;HPRD:8006002;LRdb:12297674;LRdb:8;SIGNOR:11282024;connectomeDB2020:12297674;connectomeDB2020:8006002	12
BMP8A-BMPR1B	BMP8A	BMPR1B	1	1	0	1	1	0	CellCall;CellTalkDB;Guide2Pharma;LRdb;UniProt_LRdb;scConnect	CellTalkDB:15621726	1	CellTalkDB:15621726	5
BMP8A-ACVR2A	BMP8A	ACVR2A	1	1	0	1	1	0	Guide2Pharma;connectomeDB2020	connectomeDB2020:28465413	1	connectomeDB2020:28465413	2
BMP8A-BMPR1A	BMP8A	BMPR1A	1	1	0	1	1	0	CellCall;CellTalkDB;Guide2Pharma;LRdb;UniProt_LRdb;connectomeDB2020	connectomeDB2020:28465413	1	connectomeDB2020:28465413	5
BMP8A-ACVRL1	BMP8A	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP8A-ACVR1	BMP8A	ACVR1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP8A-ACVR2B	BMP8A	ACVR2B	1	1	0	1	1	0	Guide2Pharma;connectomeDB2020	connectomeDB2020:28465413	1	connectomeDB2020:28465413	2
BMP8A-BMPR2	BMP8A	BMPR2	1	1	0	1	1	0	CellCall;CellTalkDB;Guide2Pharma;LRdb;UniProt_LRdb;Wang;connectomeDB2020	connectomeDB2020:28465413	1	connectomeDB2020:28465413	6
BMP8B-BMPR1B	BMP8B	BMPR1B	1	1	0	1	1	0	CellCall;CellTalkDB;DLRP_talklr;Guide2Pharma;LRdb;UniProt_LRdb;iTALK;scConnect;talklr	NA	0	0	7
BMP8B-ACVR2A	BMP8B	ACVR2A	1	1	0	1	1	0	DLRP_talklr;Guide2Pharma;iTALK;talklr	NA	0	0	3
BMP8B-ACVRL1	BMP8B	ACVRL1	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
BMP8B-ACVR2B	BMP8B	ACVR2B	1	1	0	1	1	0	DLRP_talklr;Guide2Pharma;iTALK;talklr	NA	0	0	3
BMP8B-BMPR2	BMP8B	BMPR2	1	1	0	1	1	0	CellCall;CellTalkDB;DLRP_talklr;Guide2Pharma;LRdb;UniProt_LRdb;Wang;iTALK;talklr	NA	0	0	7
GDF2-BMPR1B	GDF2	BMPR1B	1	1	0	1	1	0	Guide2Pharma;scConnect	NA	0	0	2
GDF2-ACVR2A	GDF2	ACVR2A	1	1	0	1	1	0	Baccin2019;CellTalkDB;Fantom5_LRdb;Guide2Pharma;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	CellTalkDB:22622516;LRdb:19996292;Ramilowski2015:19996292;connectomeDB2020:19996292;talklr:19996292	5	CellTalkDB:22622516;LRdb:19996292;Ramilowski2015:19996292;connectomeDB2020:19996292;talklr:19996292	9
GDF2-BMPR1A	GDF2	BMPR1A	1	1	0	1	1	0	Guide2Pharma	NA	0	0	1
GDF2-ACVRL1	GDF2	ACVRL1	1	1	0	1	1	0	Baccin2019;BioGRID;CellTalkDB;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:17068149;BioGRID:25237187;CellTalkDB:17068149;LRdb:17068149;SIGNOR:17068149;connectomeDB2020:17068149	6	Baccin2019:17068149;BioGRID:25237187;CellTalkDB:17068149;LRdb:17068149;SIGNOR:17068149;connectomeDB2020:17068149	11
GDF2-ACVR1	GDF2	ACVR1	1	1	0	1	1	0	Baccin2019;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr	CellTalkDB:19996292;Cellinker:27252362;LRdb:19996292;Ramilowski2015:19996292;connectomeDB2020:19996292;talklr:19996292	6	CellTalkDB:19996292;Cellinker:27252362;LRdb:19996292;Ramilowski2015:19996292;connectomeDB2020:19996292;talklr:19996292	9
GDF2-ACVR2B	GDF2	ACVR2B	1	1	0	1	1	0	Baccin2019;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Cellinker:26047946;Cellinker:27252362;LRdb:15851468;Ramilowski2015:15851468;connectomeDB2020:15851468;talklr:15851468	6	Cellinker:26047946;Cellinker:27252362;LRdb:15851468;Ramilowski2015:15851468;connectomeDB2020:15851468;talklr:15851468	10
GDF2-BMPR2	GDF2	BMPR2	1	1	0	1	1	0	Baccin2019;CellTalkDB;Fantom5_LRdb;Guide2Pharma;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	CellTalkDB:28646109;LRdb:15851468;Ramilowski2015:15851468;connectomeDB2020:15851468;talklr:15851468	5	CellTalkDB:28646109;LRdb:15851468;Ramilowski2015:15851468;connectomeDB2020:15851468;talklr:15851468	9
KNG1-BDKRB1	KNG1	BDKRB1	1	1	0	1	1	0	CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	CellTalkDB:8856107;Cellinker:10422787;Cellinker:8063797;Cellinker:9111052;Cellinker:9313952;Guide2Pharma:10422787;Guide2Pharma:8735629;Guide2Pharma:9111052;Guide2Pharma:9313952;HPMR:8063797;LRdb:10422787;LRdb:8063797;LRdb:9111052;LRdb:9313952;connectomeDB2020:10422787;connectomeDB2020:8063797;connectomeDB2020:9111052;connectomeDB2020:9313952;scConnect:10422787;scConnect:8735629;scConnect:9111052;scConnect:9313952	22	CellTalkDB:8856107;Cellinker:10422787;Cellinker:8063797;Cellinker:9111052;Cellinker:9313952;Guide2Pharma:10422787;Guide2Pharma:8735629;Guide2Pharma:9111052;Guide2Pharma:9313952;HPMR:8063797;LRdb:10422787;LRdb:8063797;LRdb:9111052;LRdb:9313952;connectomeDB2020:10422787;connectomeDB2020:8063797;connectomeDB2020:9111052;connectomeDB2020:9313952;scConnect:10422787;scConnect:8735629;scConnect:9111052;scConnect:9313952	14
KNG1-BDKRB2	KNG1	BDKRB2	1	1	0	1	1	0	CellCall;CellChatDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	CellTalkDB:8063797;Cellinker:8063797;Cellinker:8302267;Cellinker:9203620;Guide2Pharma:8302267;Guide2Pharma:9203620;HPMR:8063797;LRdb:8063797;LRdb:8302267;LRdb:9203620;SIGNOR:28966616;connectomeDB2020:8063797;connectomeDB2020:8302267;connectomeDB2020:9203620;scConnect:8302267;scConnect:9203620	16	CellTalkDB:8063797;Cellinker:8063797;Cellinker:8302267;Cellinker:9203620;Guide2Pharma:8302267;Guide2Pharma:9203620;HPMR:8063797;LRdb:8063797;LRdb:8302267;LRdb:9203620;SIGNOR:28966616;connectomeDB2020:8063797;connectomeDB2020:8302267;connectomeDB2020:9203620;scConnect:8302267;scConnect:9203620	14
CCK-CCKAR	CCK	CCKAR	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10368033;Baccin2019:10400673;Baccin2019:10595537;Baccin2019:11300760;Baccin2019:9006937;Baccin2019:9603948;CellTalkDB:10368033;Cellinker:10368033;Cellinker:10400673;Cellinker:10595537;Cellinker:11300760;Cellinker:9006937;Cellinker:9603948;HPRD:10400673;HPRD:10595537;HPRD:11300760;HPRD:9006937;HPRD:9603948;LRdb:10368033;LRdb:10400673;LRdb:10595537;LRdb:11300760;LRdb:9006937;LRdb:9603948;SIGNOR:10368033;connectomeDB2020:10368033;connectomeDB2020:10400673;connectomeDB2020:10595537;connectomeDB2020:11300760;connectomeDB2020:9006937;connectomeDB2020:9603948	31	Baccin2019:10368033;Baccin2019:10400673;Baccin2019:10595537;Baccin2019:11300760;Baccin2019:9006937;Baccin2019:9603948;CellTalkDB:10368033;Cellinker:10368033;Cellinker:10400673;Cellinker:10595537;Cellinker:11300760;Cellinker:9006937;Cellinker:9603948;HPRD:10400673;HPRD:10595537;HPRD:11300760;HPRD:9006937;HPRD:9603948;LRdb:10368033;LRdb:10400673;LRdb:10595537;LRdb:11300760;LRdb:9006937;LRdb:9603948;SIGNOR:10368033;connectomeDB2020:10368033;connectomeDB2020:10400673;connectomeDB2020:10595537;connectomeDB2020:11300760;connectomeDB2020:9006937;connectomeDB2020:9603948	17
GAST-CCKBR	GAST	CCKBR	1	1	0	1	1	0	Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:7681836;CellTalkDB:7681836;Cellinker:7681836;DIP:8824290;ICELLNET:8349705;LRdb:7681836;SIGNOR:10368033;connectomeDB2020:7681836	8	Baccin2019:7681836;CellTalkDB:7681836;Cellinker:7681836;DIP:8824290;ICELLNET:8349705;LRdb:7681836;SIGNOR:10368033;connectomeDB2020:7681836	16
