hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_up_in_eBC_score	sc_islet_bulk_rna_score	bulkRNA_up_in_SCislet_score	all_sc_proteomics_score	proteomics_up_in_sc_score	aggregate_score
LINGO1	0.9425287356321839	0.8908045977011494	0	0.9137931034482759	0.9770114942528736	0	0	0.9252873563218391
FGFR4	0.9339080459770115	0.8735632183908046	0	0.9224137931034483	0.9741379310344828	0	0	0.9224137931034483
ERBB2	0.6810344827586207	0.7586206896551724	0	0.7528735632183908	0.5344827586206896	0.9224137931034483	0	0.9195402298850575
DCC	0.9310344827586207	0.9281609195402298	0	0.867816091954023	0.9712643678160919	0	0	0.9137931034482759
GLP1R	0.9683908045977011	0.9109195402298851	0.9827586206896551	0.8275862068965517	0	0	0	0.9137931034482759
PLXNA3	0.9137931034482759	0.8247126436781609	0	0.9339080459770115	0	0.9511494252873564	0	0.9109195402298851
IL6ST	0.9022988505747126	0.8908045977011494	0	0.9022988505747126	0	0.9482758620689655	0	0.9080459770114943
FGFR3	0.8390804597701149	0.9022988505747126	0	0.8908045977011494	0.9913793103448276	0	0	0.9051724137931034
RET	0.9195402298850575	0.9166666666666666	0	0.8706896551724138	0.9166666666666666	0	0	0.9022988505747126
ACVR1B	0.9166666666666666	0.8103448275862069	0	0.9166666666666666	0	0.9166666666666666	0	0.8994252873563219
ERBB3	0.9454022988505747	0.9913793103448276	0	0.8390804597701149	0.8793103448275862	0	0	0.896551724137931
EPHB4	0.4827586206896552	0.7729885057471264	0	0.6494252873563219	0.7155172413793104	0.8908045977011494	0	0.8936781609195402
FZD1	0.8333333333333334	0.8850574712643678	0	0.9597701149425287	0.8247126436781609	0	0	0.8908045977011494
EPHA4	0.882183908045977	0.8563218390804598	0	0.7931034482758621	0.9511494252873564	0	0	0.8879310344827587
TNFRSF21	0.9367816091954023	0.896551724137931	0	0.7557471264367817	0	0.9051724137931034	0	0.8850574712643678
LRRC4C	0.8764367816091954	0.8045977011494253	0	0.7959770114942529	0.9626436781609196	0	0	0.8764367816091954
NRXN3	0.8275862068965517	0.8620689655172413	0	0.8304597701149425	0.9396551724137931	0	0	0.8764367816091954
TGFBR1	0.9051724137931034	0.9339080459770115	0	0.9511494252873564	0.7097701149425287	0	0	0.8764367816091954
ACVR2B	0.9281609195402298	0.9655172413793104	0	0.9310344827586207	0.6810344827586207	0	0	0.8735632183908046
NPY1R	0.8333333333333334	0.9109195402298851	0	0.7385057471264368	0.9827586206896551	0	0	0.8706896551724138
OGFR	0.867816091954023	0.7729885057471264	0	0.7758620689655172	0	0.9798850574712644	0	0.867816091954023
GHR	0.8419540229885057	0.7270114942528736	0	0.8735632183908046	0.9224137931034483	0	0	0.8649425287356322
TFRC	0.7528735632183908	0.7068965517241379	0	0.8879310344827587	0	0.9827586206896551	0	0.8620689655172413
BMPR2	0.9568965517241379	0.9339080459770115	0	0.9482758620689655	0.5459770114942529	0	0	0.8563218390804598
SSTR1	0.8591954022988506	0.8620689655172413	0	0.9367816091954023	0.6867816091954023	0	0	0.8563218390804598
IFNGR1	0.8045977011494253	0.7614942528735632	0	0.853448275862069	0	0.896551724137931	0	0.853448275862069
EPHA7	0.6666666666666666	0.8017241379310345	0	0.8563218390804598	0.9942528735632183	0	0	0.8505747126436781
UNC5D	0.8448275862068966	0.8160919540229885	0	0.9195402298850575	0.7327586206896551	0	0	0.8477011494252874
NRP1	0.7787356321839081	0.7011494252873564	0	0.8591954022988506	0	0.9425287356321839	0	0.8448275862068966
TGFBR3	0.8132183908045977	0.7212643678160919	0	0.8247126436781609	0	0.9310344827586207	0	0.8419540229885057
GPR39	0.5862068965517241	0.46551724137931033	0	0.5833333333333334	0.6982758620689655	0.9109195402298851	0	0.8390804597701149
PTCH1	0.8850574712643678	0.8390804597701149	0	0.9425287356321839	0.6264367816091954	0	0	0.8362068965517241
UNC5C	0.7212643678160919	0.8103448275862069	0	0.9080459770114943	0.8275862068965517	0	0	0.8333333333333334
IFNAR1	0.9396551724137931	0.8477011494252874	0	0.9252873563218391	0.5517241379310345	0	0	0.8304597701149425
FZD6	0.7931034482758621	0.6982758620689655	0	0.8218390804597702	0	0.8994252873563219	0	0.8275862068965517
LGR4	0.9080459770114943	0.9482758620689655	0	0.8793103448275862	0.5660919540229885	0	0	0.8247126436781609
AVPR1B	0.28160919540229884	0.514367816091954	0	0.5862068965517241	0.8505747126436781	0.9540229885057471	0	0.8218390804597702
BMPR1A	0.8563218390804598	0.8247126436781609	0	0.9109195402298851	0.6149425287356322	0	0	0.8189655172413793
ADIPOR2	0.9109195402298851	0.8390804597701149	0	0.9051724137931034	0.5574712643678161	0	0	0.8160919540229885
EPOR	0.8160919540229885	0.7844827586206896	0	0.896551724137931	0.6896551724137931	0	0	0.8132183908045977
RTN4RL1	0.8304597701149425	0.7068965517241379	0	0.882183908045977	0.6839080459770115	0	0	0.8103448275862069
RYK	0.8218390804597702	0.8735632183908046	0	0.8333333333333334	0.6120689655172413	0	0	0.8074712643678161
LEPR	0.6494252873563219	0.7902298850574713	0	0.6752873563218391	0	0.9655172413793104	0	0.8045977011494253
IL11RA	0.7873563218390804	0.6810344827586207	0	0.7816091954022989	0.7758620689655172	0	0	0.8017241379310345
F3	0.7959770114942529	0.9913793103448276	0	0.7902298850574713	0.5689655172413793	0	0	0.7988505747126436
FGFR2	0.6867816091954023	0.8304597701149425	0	0.632183908045977	0.9022988505747126	0	0	0.7959770114942529
ACVR2A	0.8074712643678161	0.7816091954022989	0	0.8649425287356322	0.5890804597701149	0	0	0.7931034482758621
NOTCH1	0.6063218390804598	0.9166666666666666	0	0.7183908045977011	0.8477011494252874	0	0	0.7902298850574713
EPHA5	0.7298850574712644	0.6091954022988506	0	0.6954022988505747	0.985632183908046	0	0	0.7873563218390804
TGFBR2	0.7155172413793104	0.75	0	0.7126436781609196	0.8419540229885057	0	0	0.7844827586206896
UNC5A	0.6781609195402298	0.5660919540229885	0	0.8850574712643678	0.8764367816091954	0	0	0.7816091954022989
BAMBI	0.6436781609195402	0.7011494252873564	0	0.7729885057471264	0.8649425287356322	0	0	0.7758620689655172
LMBR1L	0.8477011494252874	0.735632183908046	0	0.8620689655172413	0.5431034482758621	0	0	0.7758620689655172
OPRK1	0.7844827586206896	0.6896551724137931	0	0.6005747126436781	0.9051724137931034	0	0	0.7729885057471264
EPHB1	0.6810344827586207	0.5890804597701149	0	0.7413793103448276	0.9540229885057471	0	0	0.7701149425287356
SMO	0.5201149425287356	0.7931034482758621	0	0.7097701149425287	0.9252873563218391	0	0	0.7672413793103449
GFRA3	0.5862068965517241	0.7729885057471264	0	0.6293103448275862	0.9425287356321839	0	0	0.764367816091954
GPR37	0.75	0.7068965517241379	0	0.7298850574712644	0.7270114942528736	0	0	0.7614942528735632
NOTCH2	0.4827586206896552	0.896551724137931	0	0.8160919540229885	0.7729885057471264	0	0	0.7586206896551724
MERTK	0.6235632183908046	0.6379310344827587	0	0.7701149425287356	0.867816091954023	0	0	0.7557471264367817
EPHA6	0.6522988505747126	0.603448275862069	0	0.6781609195402298	0.9454022988505747	0	0	0.7528735632183908
OXTR	0.8649425287356322	0.75	0	0.5660919540229885	0.7011494252873564	0	0	0.75
TNFRSF19	0.7729885057471264	0.6724137931034483	0	0.8074712643678161	0.5948275862068966	0	0	0.7471264367816092
NOTCH3	0.4827586206896552	0.7442528735632183	0	0.735632183908046	0.8879310344827587	0	0	0.7442528735632183
PRLR	0.6925287356321839	0.7442528735632183	0	0.7614942528735632	0.6494252873563219	0	0	0.7413793103448276
ACKR1	0.7011494252873564	0.5804597701149425	0	0.5316091954022989	0.9885057471264368	0	0	0.7385057471264368
TYRO3	0.6264367816091954	0.7327586206896551	0	0.6436781609195402	0.7873563218390804	0	0	0.735632183908046
LIFR	0.7155172413793104	0.6580459770114943	0	0.7442528735632183	0.6522988505747126	0	0	0.7327586206896551
PTH2R	0.5862068965517241	0.5689655172413793	0	0.7787356321839081	0.8362068965517241	0	0	0.7298850574712644
NTRK3	0.7701149425287356	0.8477011494252874	0	0.42528735632183906	0.7212643678160919	0	0	0.7270114942528736
RTN4R	0.5862068965517241	0.5862068965517241	0	0.6695402298850575	0.8908045977011494	0	0	0.7241379310344828
IL1RAP	0.6063218390804598	0.6522988505747126	0	0.7212643678160919	0.7298850574712644	0	0	0.7212643678160919
FZD2	0.4827586206896552	0.9770114942528736	0	0.40804597701149425	0.9568965517241379	0	0	0.7183908045977011
AMHR2	0.4224137931034483	0.8304597701149425	0	0.5459770114942529	0.9339080459770115	0	0	0.7155172413793104
KLB	0.7068965517241379	0.6522988505747126	0	0.6982758620689655	0.6235632183908046	0	0	0.7126436781609196
TACR1	0.6666666666666666	0.5344827586206896	0	0.5890804597701149	0.8735632183908046	0	0	0.7097701149425287
NPFFR2	0.7327586206896551	0.6724137931034483	0	0.47126436781609193	0.7816091954022989	0	0	0.7068965517241379
EPHA1	0.7442528735632183	0.6350574712643678	0	0.6896551724137931	0.5775862068965517	0	0	0.7040229885057471
IFNLR1	0.6637931034482759	0.5718390804597702	0	0.764367816091954	0.6436781609195402	0	0	0.7011494252873564
SSTR3	0.9252873563218391	0.8218390804597702	0	0	0	0.9022988505747126	0	0.6982758620689655
TSPAN1	0.9712643678160919	0.9655172413793104	0	0.7873563218390804	0	0	0	0.6954022988505747
NPFFR1	0.5574712643678161	0.4482758620689655	0	0.6379310344827587	0.9655172413793104	0	0	0.6896551724137931
PLXNA4	0.6264367816091954	0.47701149425287354	0	0.6609195402298851	0.8333333333333334	0	0	0.6896551724137931
ADIPOR1	0.8879310344827587	0.8390804597701149	0	0.8994252873563219	0	0	0	0.6867816091954023
TNFRSF25	0.5201149425287356	0.6206896551724138	0	0.6580459770114943	0.7931034482758621	0	0	0.6839080459770115
F2R	0.5689655172413793	0.6810344827586207	0	0.5689655172413793	0.735632183908046	0	0	0.6781609195402298
PRLHR	0.7040229885057471	0.735632183908046	0	0.5977011494252874	0.5287356321839081	0	0	0.6781609195402298
GFRA2	0.4224137931034483	0.33045977011494254	0	0.7988505747126436	0.9971264367816092	0	0	0.6724137931034483
IL1RAPL1	0.5574712643678161	0.5517241379310345	0	0.5172413793103449	0.9281609195402298	0	0	0.6724137931034483
FGFRL1	0.34195402298850575	0.764367816091954	0	0.6724137931034483	0.7787356321839081	0	0	0.6695402298850575
IFNGR2	0.8620689655172413	0.8850574712643678	0	0.8477011494252874	0	0	0	0.6666666666666666
IL18R1	0.5804597701149425	0.5977011494252874	0	0.5718390804597702	0.7844827586206896	0	0	0.6637931034482759
GALR2	0.6954022988505747	0.5718390804597702	0	0.3505747126436782	0.9137931034482759	0	0	0.6609195402298851
IL6R	0.8994252873563219	0.8591954022988506	0	0.8045977011494253	0	0	0	0.6580459770114943
TNFRSF1A	0.8735632183908046	0.8160919540229885	0	0.8362068965517241	0	0	0	0.6551724137931034
TNFRSF9	0.5201149425287356	0.6724137931034483	0	0.367816091954023	0.9310344827586207	0	0	0.6522988505747126
IL10RA	0.6063218390804598	0.5028735632183908	0	0.6925287356321839	0.6781609195402298	0	0	0.6494252873563219
ACVR1	0.853448275862069	0.75	0	0.8936781609195402	0	0	0	0.6436781609195402
IL4R	0.6063218390804598	0.6091954022988506	0	0.5804597701149425	0.6954022988505747	0	0	0.6436781609195402
KISS1R	0.7413793103448276	0.617816091954023	0	0.5919540229885057	0.5258620689655172	0	0	0.6408045977011494
PTCH2	0.6264367816091954	0.47701149425287354	0	0.7327586206896551	0.6091954022988506	0	0	0.6379310344827587
GRPR	0.5	0.35344827586206895	0	0.6149425287356322	0.9195402298850575	0	0	0.6350574712643678
IL13RA1	0.8189655172413793	0.7844827586206896	0	0.8103448275862069	0	0	0	0.6293103448275862
IL27RA	0.5201149425287356	0.5229885057471264	0	0.6867816091954023	0.6551724137931034	0	0	0.6293103448275862
FZD5	0.6867816091954023	0.9281609195402298	0	0.8448275862068966	0	0	0	0.6264367816091954
NPR1	0.5689655172413793	0.4367816091954023	0	0.6350574712643678	0.7241379310344828	0	0	0.6235632183908046
ACKR2	0.45689655172413796	0.46264367816091956	0	0.5747126436781609	0.8304597701149425	0	0	0.6206896551724138
LRRC4	0.8017241379310345	0.7270114942528736	0	0.8132183908045977	0	0	0	0.617816091954023
EPHB6	0.4224137931034483	0.603448275862069	0	0.5545977011494253	0.7413793103448276	0	0	0.6149425287356322
IL17RA	0.8103448275862069	0.6810344827586207	0	0.8189655172413793	0	0	0	0.6120689655172413
NPY5R	0.45689655172413796	0.5517241379310345	0	0.47701149425287354	0.8017241379310345	0	0	0.6091954022988506
PDGFRB	0.28160919540229884	0.5028735632183908	0	0.4827586206896552	0	1	0	0.6063218390804598
VIPR1	0.34195402298850575	0.39080459770114945	0	0.6551724137931034	0.8390804597701149	0	0	0.603448275862069
KREMEN2	0.4827586206896552	0.39080459770114945	0	0.4482758620689655	0.8850574712643678	0	0	0.6005747126436781
EPHA2	0.34195402298850575	0.49712643678160917	0	0.4425287356321839	0	0.9137931034482759	0	0.5948275862068966
SCTR	0.7586206896551724	0.735632183908046	0	0.7241379310344828	0	0	0	0.5948275862068966
CCKBR	0.8247126436781609	0.764367816091954	0	0.6235632183908046	0	0	0	0.5919540229885057
HHIP	0.39080459770114945	0.5431034482758621	0	0.3390804597701149	0.9051724137931034	0	0	0.5890804597701149
OPRD1	0.7902298850574713	0.7068965517241379	0	0.6810344827586207	0	0	0	0.5862068965517241
ERBB4	0.7672413793103449	0.9396551724137931	0	0.5488505747126436	0	0	0	0.5833333333333334
IL1R1	0.764367816091954	0.8074712643678161	0	0.6120689655172413	0	0	0	0.5804597701149425
KIT	0.28160919540229884	0.5028735632183908	0	0.514367816091954	0.8448275862068966	0	0	0.5718390804597702
NPR2	0.7068965517241379	0.6149425287356322	0	0.8419540229885057	0	0	0	0.5718390804597702
PLXND1	0.7270114942528736	0.6264367816091954	0	0.8017241379310345	0	0	0	0.5718390804597702
EPHB3	0.45689655172413796	0.5172413793103449	0	0.4942528735632184	0.6752873563218391	0	0	0.5689655172413793
NPR3	0.39080459770114945	0.35919540229885055	0	0.5632183908045977	0.8074712643678161	0	0	0.5660919540229885
CALCRL	0.39080459770114945	0.5890804597701149	0	0.5028735632183908	0.6408045977011494	0	0	0.5632183908045977
GALR1	0.8936781609195402	0.9827586206896551	0	0.3505747126436782	0	0	0	0.5603448275862069
FZD7	0.28160919540229884	0.7959770114942529	0	0.48563218390804597	0.5718390804597702	0	0	0.5574712643678161
BMPR1B	0.39080459770114945	0.6695402298850575	0	0.4511494252873563	0.5862068965517241	0	0	0.5545977011494253
IFNAR2	0.735632183908046	0.6436781609195402	0	0.7155172413793104	0	0	0	0.5488505747126436
IL17RC	0.7816091954022989	0.6580459770114943	0	0.6522988505747126	0	0	0	0.5488505747126436
GPR135	0.7471264367816092	0.6206896551724138	0	0.7270114942528736	0	0	0	0.5459770114942529
C5AR1	0.45689655172413796	0.40229885057471265	0	0.6637931034482759	0.5488505747126436	0	0	0.5402298850574713
TNFRSF10D	0.5	0.5258620689655172	0	0.5114942528735632	0.5373563218390804	0	0	0.5402298850574713
IL23R	0.4224137931034483	0.39080459770114945	0	0.5775862068965517	0.6666666666666666	0	0	0.5373563218390804
AGTR1	0.4224137931034483	0.3850574712643678	0	0.5517241379310345	0.7040229885057471	0	0	0.5344827586206896
IL13RA2	0.4224137931034483	0.5344827586206896	0	0.47413793103448276	0.617816091954023	0	0	0.5316091954022989
RXFP4	0.603448275862069	0.5114942528735632	0	0.1925287356321839	0.7442528735632183	0	0	0.5287356321839081
FZD4	0.7241379310344828	0.6264367816091954	0	0.7011494252873564	0	0	0	0.5258620689655172
GFRA1	0.7385057471264368	0.6666666666666666	0	0.5948275862068966	0	0	0	0.5229885057471264
AXL	0.39080459770114945	0.4942528735632184	0	0.4339080459770115	0.6637931034482759	0	0	0.5201149425287356
GALR3	0.5201149425287356	0.3706896551724138	0	0.25	0.8103448275862069	0	0	0.5172413793103449
OPRL1	0.34195402298850575	0.3160919540229885	0	0.4339080459770115	0.8706896551724138	0	0	0.514367816091954
CXCR4	0.7758620689655172	0.6896551724137931	0	0.49712643678160917	0	0	0	0.5114942528735632
MPL	0.5201149425287356	0.41379310344827586	0	0.4540229885057471	0.5545977011494253	0	0	0.5086206896551724
CALCR	0.28160919540229884	0.4482758620689655	0	0.49712643678160917	0.7068965517241379	0	0	0.5057471264367817
IL17RB	0.646551724137931	0.6580459770114943	0	0.617816091954023	0	0	0	0.5028735632183908
OPRM1	0.39080459770114945	0.29310344827586204	0	0.3218390804597701	0.896551724137931	0	0	0.49712643678160917
UNC5B	0.6063218390804598	0.5431034482758621	0	0.75	0	0	0	0.49712643678160917
FZD9	0.45689655172413796	0.4885057471264368	0	0.1925287356321839	0.7442528735632183	0	0	0.4942528735632184
NRP2	0.7126436781609196	0.6408045977011494	0	0.5287356321839081	0	0	0	0.49137931034482757
BDKRB2	0.6982758620689655	0.5775862068965517	0	0.6063218390804598	0	0	0	0.4885057471264368
TNFRSF10B	0.5431034482758621	0.7241379310344828	0	0.6091954022988506	0	0	0	0.48563218390804597
ROBO3	0.4827586206896552	0.42528735632183906	0	0.367816091954023	0.5747126436781609	0	0	0.4827586206896552
FAS	0.34195402298850575	0.3017241379310345	0	0.3218390804597701	0	0.8879310344827587	0	0.47988505747126436
CSF3R	0.5	0.3649425287356322	0	0.1925287356321839	0.7442528735632183	0	0	0.47701149425287354
IL20RA	0.6580459770114943	0.632183908045977	0	0.5344827586206896	0	0	0	0.47413793103448276
TNFRSF12A	0.5	0.7988505747126436	0	0.5431034482758621	0	0	0	0.47126436781609193
MC1R	0.6580459770114943	0.5517241379310345	0	0.603448275862069	0	0	0	0.46839080459770116
KREMEN1	0.6264367816091954	0.5632183908045977	0	0.6264367816091954	0	0	0	0.46551724137931033
IL17RE	0.6724137931034483	0.5977011494252874	0	0.5373563218390804	0	0	0	0.46264367816091956
CNTFR	0.34195402298850575	0.4482758620689655	0	0.3793103448275862	0.6063218390804598	0	0	0.45977011494252873
TSHR	0.7557471264367817	0.7701149425287356	0	0.27586206896551724	0	0	0	0.45689655172413796
GCGR	0.5	0.45977011494252873	0	0.7471264367816092	0	0	0	0.4540229885057471
DDR2	0.5862068965517241	0.5258620689655172	0	0.5603448275862069	0	0	0	0.4511494252873563
MCHR1	0.6264367816091954	0.47701149425287354	0	0.5258620689655172	0	0	0	0.4482758620689655
AVPR1A	0.28160919540229884	0.28448275862068967	0	0.25	0.8103448275862069	0	0	0.4454022988505747
NOTCH4	0.6063218390804598	0.49712643678160917	0	0.5057471264367817	0	0	0	0.4425287356321839
TACR3	0	0.3793103448275862	0	0.4885057471264368	0.7385057471264368	0	0	0.4396551724137931
IGFLR1	0.28160919540229884	0.33620689655172414	0	0.3936781609195402	0.5919540229885057	0	0	0.4367816091954023
F2RL2	0.28160919540229884	0.3649425287356322	0	0.3074712643678161	0.6293103448275862	0	0	0.43103448275862066
TNFRSF11A	0.5	0.4367816091954023	0	0.6666666666666666	0	0	0	0.43103448275862066
CCR4	0.34195402298850575	0.3160919540229885	0	0.1925287356321839	0.7442528735632183	0	0	0.4281609195402299
CCKAR	0	0.27298850574712646	0	0.4425287356321839	0.882183908045977	0	0	0.42528735632183906
EDAR	0	0.1781609195402299	0	0.45977011494252873	0.9798850574712644	0	0	0.4224137931034483
IL10RB	0.45689655172413796	0.39080459770114945	0	0.7068965517241379	0	0	0	0.41954022988505746
IL31RA	0	0.25	0	0.382183908045977	0.9367816091954023	0	0	0.4166666666666667
PROKR1	0.28160919540229884	0.1925287356321839	0	0.27586206896551724	0.8563218390804598	0	0	0.4109195402298851
TNFRSF11B	0.5431034482758621	0.5344827586206896	0	0.47701149425287354	0	0	0	0.4109195402298851
PLAUR	0.5	0.5948275862068966	0	0.46551724137931033	0	0	0	0.40804597701149425
THBD	0.5574712643678161	0.4224137931034483	0	0.5574712643678161	0	0	0	0.4051724137931034
EPHA8	0.5689655172413793	0.4454022988505747	0	0.5201149425287356	0	0	0	0.40229885057471265
IL15RA	0.5689655172413793	0.5316091954022989	0	0.3994252873563218	0	0	0	0.3994252873563218
HCRTR2	0	0.2557471264367816	0	0.3390804597701149	0.9051724137931034	0	0	0.39655172413793105
PDGFRA	0.39080459770114945	0.8477011494252874	0	0.27586206896551724	0	0	0	0.3936781609195402
CRHR2	0.5862068965517241	0.4482758620689655	0	0.4281609195402299	0	0	0	0.39080459770114945
IL12RB2	0.28160919540229884	0.2557471264367816	0	0.3936781609195402	0.5316091954022989	0	0	0.3879310344827586
GPR75	0.4224137931034483	0.34195402298850575	0	0.6839080459770115	0	0	0	0.382183908045977
NTRK2	0.45689655172413796	0.5517241379310345	0	0.4540229885057471	0	0	0	0.382183908045977
CCR10	0.5804597701149425	0.4885057471264368	0	0.367816091954023	0	0	0	0.3793103448275862
VIPR2	0.28160919540229884	0.23850574712643677	0	0.3074712643678161	0.6293103448275862	0	0	0.3764367816091954
F2RL1	0.34195402298850575	0.43103448275862066	0	0.6408045977011494	0	0	0	0.3735632183908046
RXFP3	0	0.21839080459770116	0	0.646551724137931	0.5402298850574713	0	0	0.3706896551724138
IL1R2	0.5574712643678161	0.46839080459770116	0	0.3390804597701149	0	0	0	0.367816091954023
NPSR1	0.28160919540229884	0.19540229885057472	0	0.1925287356321839	0.7442528735632183	0	0	0.3649425287356322
MST1R	0	0.20114942528735633	0	0.5402298850574713	0.6609195402298851	0	0	0.3620689655172414
FZD8	0.4224137931034483	0.5431034482758621	0	0.40229885057471265	0	0	0	0.3563218390804598
MAS1	0.6551724137931034	0.5172413793103449	0	0.1925287356321839	0	0	0	0.3563218390804598
IL1RL2	0.5431034482758621	0.40229885057471265	0	0.39080459770114945	0	0	0	0.35344827586206895
NPY2R	0	0.21839080459770116	0	0.27586206896551724	0.8563218390804598	0	0	0.3505747126436782
GPR37L1	0	0.2672413793103448	0	0.4339080459770115	0.646551724137931	0	0	0.34770114942528735
ADCYAP1R1	0	0.27873563218390807	0	0.25	0.8103448275862069	0	0	0.3448275862068966
EDA2R	0.34195402298850575	0.41379310344827586	0	0.5201149425287356	0	0	0	0.34195402298850575
NPY4R	0	0	0	0.43103448275862066	0.9683908045977011	0	0	0.3390804597701149
IL22RA1	0.4224137931034483	0.47413793103448276	0	0.3505747126436782	0	0	0	0.33620689655172414
EDNRA	0.28160919540229884	0.5833333333333334	0	0.382183908045977	0	0	0	0.3333333333333333
RXFP2	0	0	0	0.40804597701149425	0.9568965517241379	0	0	0.33045977011494254
CRLF1	0.5201149425287356	0.3706896551724138	0	0.3218390804597701	0	0	0	0.32471264367816094
FZD10	0	0.29310344827586204	0	0.1925287356321839	0.7442528735632183	0	0	0.32471264367816094
LHCGR	0	0.16379310344827586	0	0.27586206896551724	0.8563218390804598	0	0	0.3218390804597701
IL2RG	0	0.16379310344827586	0	0.41379310344827586	0.7183908045977011	0	0	0.31896551724137934
TFR2	0.34195402298850575	0.41954022988505746	0	0.41954022988505746	0	0	0	0.3160919540229885
ALK	0.28160919540229884	0.47126436781609193	0	0.40229885057471265	0	0	0	0.3132183908045977
IL5RA	0.34195402298850575	0.3275862068965517	0	0.45977011494252873	0	0	0	0.3103448275862069
NRSN1	0.28160919540229884	0.34195402298850575	0	0.49137931034482757	0	0	0	0.3074712643678161
F2RL3	0.6264367816091954	0.47701149425287354	0	0	0	0	0	0.3045977011494253
NMUR1	0	0.20114942528735633	0	0.1925287356321839	0.7442528735632183	0	0	0.3017241379310345
TNFRSF4	0	0.2442528735632184	0	0.27586206896551724	0.5804597701149425	0	0	0.2988505747126437
MC4R	0	0	0	0.3218390804597701	0.896551724137931	0	0	0.2959770114942529
TNFRSF14	0.39080459770114945	0.3103448275862069	0	0.3764367816091954	0	0	0	0.29310344827586204
TIE1	0.45689655172413796	0.35919540229885055	0	0.1925287356321839	0	0	0	0.29022988505747127
ACKR3	0	0.6954022988505747	0	0.3218390804597701	0	0	0	0.28735632183908044
IL20RB	0.34195402298850575	0.25	0	0.41954022988505746	0	0	0	0.28448275862068967
CSF1R	0.39080459770114945	0.2672413793103448	0	0.3505747126436782	0	0	0	0.28160919540229884
CXCR6	0	0.15517241379310345	0	0.1925287356321839	0.7442528735632183	0	0	0.27873563218390807
