uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
P19883	FST	4	ligand	extracellular, intracellular, ligand, ligand_regulator, secreted	O00238, O14793, O95390, P08476, P58166, Q13873, Q6ZVN8	BMPR1B, BMPR2, GDF11, HJV, INHBA, INHBE, MSTN	MSTN [SIGNOR:11459935;SIGNOR:24627466], GDF11 [SIGNOR:24627466], INHBA [HPRD:7887917;SIGNOR:22037168;SIGNOR:24627466], HJV [CellTalkDB:32196115], BMPR2 [CellTalkDB:32196115], BMPR1B [CellTalkDB:32196115], INHBE [HPRD:12242034]
Q8N907	DAND5	2	ligand	ligand, secreted	NA	NA	NA
Q14563	SEMA3A	13	ligand	extracellular, intracellular, ligand, secreted, transmembrane	O14786, O60462, O75051, P51805, Q9HCM2, Q9UIW2	NRP1, NRP1_PLXNA1, NRP1_PLXNA2, NRP1_PLXNA3, NRP1_PLXNA4, NRP2, PLXNA1, PLXNA2, PLXNA3, PLXNA4	NRP1 [Baccin2019:10520994;Baccin2019:15721238;Baccin2019:9331348;CellTalkDB:10520994;DIP:10498602;HPMR:10520994;HPMR:15121181;HPMR:15721238;HPMR:15814794;HPRD:10520994;HPRD:9331348;ICELLNET:29067024;LRdb:10520994;LRdb:15721238;LRdb:9331348;SIGNOR:10196546;SIGNOR:25335892;connectomeDB2020:10520994;connectomeDB2020:15721238;connectomeDB2020:9331348], PLXNA2 [CellTalkDB:10934324;LRdb:10934324;SIGNOR:10679438], PLXNA4 [Baccin2019:15721238;CellTalkDB:15721238;HPMR:15721238;HPMR:15814794;LRdb:15721238;SIGNOR:25335892;connectomeDB2020:15721238], PLXNA1 [Baccin2019:10520994;CellTalkDB:10520994;HPMR:10520994;HPMR:15121181;LRdb:10520994;SIGNOR:25335892;connectomeDB2020:10520994], PLXNA3 [CellTalkDB:32196115], NRP2 [CellTalkDB:21059704;Cellinker:26633812;LRdb:21059704;Ramilowski2015:21059704;connectomeDB2020:21059704;talklr:21059704]
Q01113	IL9R	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P23458, P52333	JAK1, JAK3	JAK1 [HPRD:8756628;InnateDB:8756628;NetPath:8756628;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:8756628;SignaLink3:9535918], JAK3 [SignaLink3:23331499;SignaLink3:9535918]
K9M1U5	IFNL4	2	ligand	intracellular, ligand, secreted	Q08334, Q8IU57	IFNLR1, IL10RB	IFNLR1 [connectomeDB2020:26134097], IL10RB [connectomeDB2020:26134097]
Q8NFR9	IL17RE	1	ligand, receptor	cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	NA	NA	NA
Q12841	FSTL1	2	ligand	extracellular, intracellular, ligand, ligand_regulator, secreted	P01137, Q14689	DIP2A, TGFB1	DIP2A [IntAct:20860622;Lit-BM-17:20860622;SIGNOR:20054002;connectomeDB2020:20054002], TGFB1 [Lit-BM-17:20860622]
O43827	ANGPTL7	4	ligand	ligand, secreted	O75022, Q8N423	LILRB2, LILRB3	LILRB3 [CellChatDB:24478758], LILRB2 [Cellinker:24478758]
O15123	ANGPT2	14	ligand	extracellular, intracellular, ligand, secreted	P35590, Q02763, Q15389	ANGPT1, ITGA5_ITGB1, TEK, TIE1	TEK [Baccin2019:9204896;Baccin2019:9723709;CellChatDB:20651738;CellTalkDB:9204896;Cellinker:20651738;Cellinker:28396397;Cellinker:9204896;Cellinker:9723709;DIP:15893672;DIP:16732286;HPRD:9723709;IntAct:15893672;IntAct:16732286;IntAct:20708158;LRdb:9204896;LRdb:972;Lit-BM-17:12427764;Lit-BM-17:15893672;Lit-BM-17:16732286;Lit-BM-17:20708158;Lit-BM-17:25237190;Lit-BM-17:9204896;Lit-BM-17:9723709;SIGNOR:9723709;SignaLink3:12427764;SignaLink3:15893672;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9204896;SignaLink3:9723709;connectomeDB2020:9204896;connectomeDB2020:9723709], TIE1 [Baccin2019:27548530;CellTalkDB:22342979;connectomeDB2020:27548530], ANGPT1 [HPRD:9204896]
P15692	VEGFA	20	ligand, receptor	extracellular, intracellular, ligand, receptor, secreted, transmembrane	O14786, O60462, P00533, P05106, P05556, P06756, P07949, P13611, P16070, P17948, P29323, P35052, P35968, P78324, Q06418, Q13224, Q13797, Q16236, Q16665	CD44, EGFR, EPHB2, FLT1, FLT1_KDR, GPC1, GRIN2B, HIF1A, ITGA9, ITGAV, ITGB1, ITGB3, KDR, NFE2L2, NRP1, NRP2, RET, SIRPA, TYRO3, VCAN	FLT1 [Baccin2019:15637071;Baccin2019:17051153;Baccin2019:8621427;Baccin2019:9393862;CellChatDB:16633338;CellTalkDB:17051153;Cellinker:15637071;Cellinker:17051153;Cellinker:8621427;Cellinker:9393862;DIP:8621427;DIP:8631822;HPMR:8356051;HPRD:17051153;HPRD:8621427;HPRD:9393862;ICELLNET:26285753;IntAct:10543948;IntAct:20660291;IntAct:9393862;LRdb:15637071;LRdb:17051153;LRdb:8621427;LRdb:9393862;Lit-BM-17:10543948;Lit-BM-17:21939755;Lit-BM-17:8621427;Lit-BM-17:8631822;Lit-BM-17:9393862;ProtMapper:21441409;ProtMapper:22348123;SIGNOR:14704231;connectomeDB2020:15637071;connectomeDB2020:17051153;connectomeDB2020:8621427;connectomeDB2020:9393862], KDR [Baccin2019:15637071;Baccin2019:17318185;Baccin2019:8621427;BioGRID:16901919;CellChatDB:16633338;CellTalkDB:8621427;Cellinker:15637071;Cellinker:17318185;Cellinker:8621427;DIP:11333271;DIP:20145116;DIP:8621427;DIP:8631822;DIP:9556609;HPMR:8356051;HPRD:17318185;HPRD:8621427;ICELLNET:11181169;ICELLNET:1417831;IntAct:1417831;IntAct:16763549;IntAct:20145116;IntAct:20660291;IntAct:21596751;IntAct:22897854;IntAct:23374253;IntAct:23583373;IntAct:31932617;LRdb:15637071;LRdb:17318185;LRdb:8621427;Lit-BM-17:11333271;Lit-BM-17:12716911;Lit-BM-17:16423422;Lit-BM-17:16763549;Lit-BM-17:18325345;Lit-BM-17:19818105;Lit-BM-17:20145116;Lit-BM-17:22897854;Lit-BM-17:23374253;Lit-BM-17:23583373;Lit-BM-17:8621427;Lit-BM-17:8631822;Lit-BM-17:9556609;ProtMapper:12189247;ProtMapper:22174934;ProtMapper:24023956;ProtMapper:24966171;ProtMapper:27005951;SIGNOR:17658244;connectomeDB2020:15637071;connectomeDB2020:17318185;connectomeDB2020:8621427;scConnect:31023826], NFE2L2 [NRF2ome:22033923], NRP1 [Baccin2019:10409677;Baccin2019:11986311;Baccin2019:15637071;Baccin2019:16763549;Baccin2019:17222790;Baccin2019:9529250;BioGRID:11986311;BioGRID:20363638;CellTalkDB:11986311;Cellinker:10409677;Cellinker:11986311;Cellinker:15637071;Cellinker:16763549;Cellinker:17222790;Cellinker:9529250;DIP:10498602;DIP:11333271;DIP:9712843;HPRD:10409677;HPRD:11986311;HPRD:16763549;HPRD:17222790;HPRD:9529250;ICELLNET:11181169;ICELLNET:21653826;IntAct:16763549;IntAct:17222790;LRdb:10409677;LRdb:11986311;LRdb:15637071;LRdb:16763549;LRdb:17222790;LRdb:9529250;Lit-BM-17:10498602;Lit-BM-17:11333271;Lit-BM-17:11986311;Lit-BM-17:16423422;Lit-BM-17:16763549;Lit-BM-17:17222790;Lit-BM-17:18325345;Lit-BM-17:20363638;Lit-BM-17:21939755;Lit-BM-17:22318724;Lit-BM-17:22897854;Lit-BM-17:9529250;Lit-BM-17:9712843;connectomeDB2020:10409677;connectomeDB2020:11986311;connectomeDB2020:15637071;connectomeDB2020:16763549;connectomeDB2020:17222790;connectomeDB2020:9529250], NRP2 [Baccin2019:10748121;CellTalkDB:10748121;Cellinker:10748121;DIP:10748121;ELM:26991001;HPRD:10748121;ICELLNET:11181169;LRdb:10748121;connectomeDB2020:10748121], ITGAV [CellTalkDB:32196115], TYRO3 [CellTalkDB:32196115], GPC1 [CellTalkDB:10196157;Cellinker:10196157;HPRD:10196157;LRdb:10196157;connectomeDB2020:10196157], ITGA9 [CellTalkDB:17363377], EGFR [CellTalkDB:32196115], RET [CellTalkDB:32196115], EPHB2 [Baccin2019:17318185;HPRD:17318185;LRdb:17318185], ITGB1 [CellTalkDB:32196115], SIRPA [CellTalkDB:32196115], ITGB3 [CellTalkDB:32196115], GRIN2B [CellTalkDB:32103204], CD44 [Cellinker:26181364], VCAN [Cellinker:16045811], HIF1A [BioGRID:11901189;BioGRID:22952674]
P58417	NXPH1	9	ligand	extracellular, ligand, secreted	P58400, P58401, Q9HDB5, Q9P2S2, Q9ULB1, Q9Y4C0	NRXN1, NRXN2, NRXN3	NRXN1 [Baccin2019:8699246;Baccin2019:9856994;Cellinker:8699246;Cellinker:9856994;HPMR:9856994;HPRD:8699246;HPRD:9856994;LRdb:8699246;LRdb:9856994;SIGNOR:9856994;connectomeDB2020:8699246;connectomeDB2020:9856994], NRXN1 [Baccin2019:8699246;Baccin2019:9856994;Cellinker:8699246;Cellinker:9856994;HPRD:8699246;HPRD:9856994;LRdb:8699246;LRdb:9856994;SIGNOR:9856994;connectomeDB2020:8699246;connectomeDB2020:9856994], NRXN3 [Baccin2019:9856994;Cellinker:9856994;HPMR:9856994;LRdb:9856994;SIGNOR:9856994;connectomeDB2020:9856994], NRXN3 [Baccin2019:9856994;Cellinker:9856994;LRdb:9856994;connectomeDB2020:9856994], NRXN2 [Cellinker:9856994;HPMR:9856994;LRdb:9856994;connectomeDB2020:9856994], NRXN2 [Baccin2019:9856994;Cellinker:9856994;LRdb:9856994;connectomeDB2020:9856994]
P35443	THBS4	2	adhesion, ecm, ligand	adhesion, ecm, extracellular, intracellular, ligand, matrix_adhesion, secreted	P16671, P18827, P31431, Q08722	CD36, CD47, ITGA3_ITGB1, ITGAV_ITGB3, SDC1, SDC4	SDC1 [Cellinker:1969657], SDC4 [NA], CD36 [NA], CD47 [NA]
Q29983	MICA	4	adhesion, cell_surface_ligand, ligand	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane	P26718, Q9UBK5	HCST, HCST_KLRK1, KLRK1	KLRK1 [CellTalkDB:11491531;Cellinker:23679194;HPRD:10426993;HPRD:12902493;ICELLNET:11955595;IntAct:11323699;IntAct:21712812;LRdb:11491531;Lit-BM-17:11323699;Lit-BM-17:21712812;connectomeDB2020:10426993;connectomeDB2020:26041808], HCST [Cellinker:11513139]
Q6UXN2	TREML4	1	ligand, receptor	ligand, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	Q9NYZ4	SIGLEC8	SIGLEC8 [Cellinker:32589946]
Q8WWZ1	IL1F10	14	ligand	intracellular, ligand, secreted	P14778, Q6IA17, Q9HB29, Q9NP60, Q9NZN1	IL1R1, IL1RAP_IL1RL2, IL1RAPL1, IL1RAPL2, IL1RL2, SIGIRR	IL1RAPL1 [ICELLNET:22315422;ICELLNET:31387327], IL1RL2 [CellTalkDB:22315422;ICELLNET:22315422;ICELLNET:31387327], IL1RAPL2 [ICELLNET:22315422;ICELLNET:31387327], SIGIRR [ICELLNET:22315422;ICELLNET:31387327], IL1R1 [Baccin2019:11278614;CellTalkDB:11278614;Cellinker:11278614;HPRD:11278614;LRdb:11278614;connectomeDB2020:11278614]
O14904	WNT9A	8	ecm, ligand	ecm, extracellular, ligand, secreted	O15146, O75197, O75581, P02708, Q9NPG1, Q9ULV1, Q9ULW2	CHRNA1, FZD1_LRP5, FZD1_LRP6, FZD10, FZD10_LRP5, FZD10_LRP6, FZD2_LRP5, FZD2_LRP6, FZD3, FZD3_LRP5, FZD3_LRP6, FZD4, FZD4_LRP5, FZD4_LRP6, FZD5_LRP5, FZD5_LRP6, FZD6_LRP5, FZD6_LRP6, FZD7_LRP5, FZD7_LRP6, FZD8_LRP5, FZD8_LRP6, FZD9_LRP5, FZD9_LRP6, LRP5, LRP6, MUSK	MUSK [SIGNOR:22309736], LRP5 [Cellinker:23209147;SIGNOR:15578921], LRP6 [Cellinker:23209147;SIGNOR:15578921], CHRNA1 [SIGNOR:22309736], FZD3 [SIGNOR:15578921], FZD10 [connectomeDB2020:28733458], FZD4 [connectomeDB2020:28733458]
Q6UXH8	CCBE1	1	ecm, ligand, receptor	ecm, intracellular, ligand, receptor, secreted	NA	NA	NA
O60542	PSPN	15	ligand	extracellular, ligand, secreted	O00451, O60609, O75056, P07949, P56159, Q9GZZ7	GFRA1, GFRA2, GFRA3, GFRA4, GFRA4_RET, RET, SDC3	GFRA4 [Baccin2019:1111614411116140;CellTalkDB:11116144;Cellinker:11116144;Cellinker:11544105;HPMR:11116144;HPRD:11116144;LRdb:11116144;SIGNOR:11116144;connectomeDB2020:11116144], GFRA3 [CellTalkDB:32196115], RET [Baccin2019:11116144;CellTalkDB:11116144;Cellinker:11116144;HPMR:11116144;LRdb:11116144;connectomeDB2020:11116144], SDC3 [CellTalkDB:32196115], GFRA2 [CellTalkDB:32196115], GFRA1 [CellTalkDB:20350599;Cellinker:20350599;LRdb:20350599;Ramilowski2015:20350599;connectomeDB2020:20350599;talklr:20350599]
