Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TUBB	0	1.066800611	0.921	0.939	0
RPL36AL	0	1.064198154	0.986	0.995	0
RPS4Y1	0	1.056717683	0.7	0.856	0
SOD1	0	1.052753627	0.968	0.977	0
RPL30	0	1.042209859	0.994	1	0
RPS13	0	1.037963363	0.994	0.999	0
RPS19	0	1.034338055	0.992	0.999	0
PFDN5	0	1.025637654	0.991	0.998	0
EEF1A1	0	1.02398538	0.998	1	0
SNRPN	0	1.019229285	0.97	0.968	0
TNFRSF12A	3.80E-212	1.004420518	0.509	0.12	7.84E-208
SPCS1	0	0.995115077	0.943	0.972	0
GSTO1	1.62E-263	0.981651683	0.742	0.544	3.35E-259
ADCYAP1	1.56E-240	0.980388805	0.638	0.192	3.21E-236
COX7A2L	0	0.97794053	0.946	0.975	0
JUNB	2.12E-181	0.977572431	0.721	0.835	4.36E-177
GAD2	3.02E-234	0.974469756	0.902	0.933	6.22E-230
PEBP1	0	0.972040091	0.991	0.995	0
FKBP2	0	0.971014916	0.815	0.485	0
RPS26	0	0.965218482	0.987	0.996	0
RPL9	0	0.957108103	0.994	0.998	0
RPL37A	0	0.956584659	0.996	0.999	0
RPS24	0	0.954159902	0.992	0.999	0
HADH	3.27E-231	0.947238583	0.962	0.944	6.75E-227
MGST3	"1,60549406472311e-310"	0.946325516	0.879	0.9	3.31E-306
SUMO2	0	0.940362147	0.964	0.978	0
ATP6V1G1	0	0.93740588	0.984	0.988	0
EEF1B2	1.21E-282	0.924887888	0.951	0.983	2.51E-278
DHRS2	6.19E-158	0.911041777	0.685	0.39	1.28E-153
CNBP	0	0.90821039	0.867	0.859	0
NPM1	1.35E-281	0.900417407	0.982	0.996	2.78E-277
NDUFB4	0	0.897330645	0.941	0.958	0
NUPR2	0	0.895791758	0.53	0	0
C15orf48	3.93E-220	0.889314198	0.527	0.137	8.10E-216
SARAF	0	0.889002209	0.974	0.986	0
MT2A	7.57E-143	0.888473699	0.381	0.056	1.56E-138
SAP18	3.93E-286	0.885184759	0.931	0.969	8.11E-282
RPSA	6.83E-305	0.882099308	0.991	0.995	1.41E-300
SKP1	2.47E-287	0.881890955	0.961	0.98	5.10E-283
FAU	0	0.881639664	0.995	0.999	0
EEF1D	2.34E-284	0.881442054	0.909	0.941	4.83E-280
RPS27L	8.10E-238	0.880608233	0.81	0.856	1.67E-233
GSTP1	1.60E-133	0.87900767	0.56	0.469	3.29E-129
LAPTM4A	4.51E-267	0.878110007	0.925	0.962	9.30E-263
DBI	8.19E-248	0.875070786	0.942	0.984	1.69E-243
RPS28	0	0.874902085	0.997	1	0
MCUB	1.51E-244	0.871974123	0.578	0.191	3.12E-240
RPL3	0	0.866895638	0.998	1	0
RPL10	1.42E-296	0.86586471	0.996	1	2.92E-292
PKIB	2.85E-239	0.864960408	0.841	0.893	5.87E-235
YWHAH	"6,91255218821946e-314"	0.859842344	0.777	0.877	0.00E+00
TRMT112	8.40E-301	0.859203568	0.911	0.948	1.73E-296
NENF	6.51E-294	0.857429768	0.795	0.962	1.34E-289
TMEM59	3.53E-207	0.857409986	0.969	0.987	7.28E-203
MT1X	9.85E-78	0.849409224	0.526	0.289	2.03E-73
NDUFV2	2.30E-278	0.846768852	0.88	0.897	4.75E-274
SELENOH	0	0.845225244	0.858	0.85	0
RPL29	1.55E-267	0.840180526	0.992	0.996	3.20E-263
RPS12	0	0.836458315	0.994	0.999	0
GPX3	6.33E-111	0.834894435	0.613	0.647	1.30E-106
NDUFB6	7.61E-283	0.834510717	0.809	0.843	1.57E-278
ATP5MG	0	0.833481713	0.987	0.993	0
RPL18	"5,32374475873031e-314"	0.833279835	0.995	0.999	0.00E+00
RACK1	1.04E-282	0.830685272	0.993	0.999	2.14E-278
SH3YL1	2.69E-260	0.83024404	0.712	0.673	5.56E-256
DUT	"3,36493435534495e-312"	0.829174444	0.748	0.813	6.94E-308
ST13	4.52E-272	0.828670908	0.951	0.98	9.33E-268
COX7A2	1.64E-286	0.824488682	0.979	0.992	3.39E-282
COX17	5.72E-288	0.823056827	0.957	0.972	1.18E-283
HNRNPA1	1.71E-181	0.821922619	0.963	0.99	3.53E-177
TMEM219	1.67E-307	0.820278942	0.809	0.817	3.44E-303
PERP	6.77E-258	0.819185671	0.905	0.958	1.40E-253
PARK7	8.21E-227	0.817429441	0.946	0.971	1.69E-222
RPLP1	0	0.817107933	0.997	0.999	0
OTULINL	6.77E-202	0.813560403	0.602	0.449	1.40E-197
FXYD2	4.80E-150	0.813269429	0.868	0.965	9.89E-146
PPDPF	6.29E-206	0.810879765	0.986	0.991	1.30E-201
PRDX3	6.20E-270	0.810417791	0.876	0.925	1.28E-265
GABARAPL2	3.02E-269	0.809736662	0.959	0.983	6.22E-265
TSPAN1	1.28E-138	0.806075012	0.523	0.257	2.64E-134
YWHAQ	2.24E-242	0.80531222	0.935	0.964	4.62E-238
SCG5	1.27E-206	0.80428353	0.998	0.997	2.61E-202
SUMO1	8.51E-300	0.801140868	0.85	0.911	1.75E-295
CRIP2	6.06E-200	0.800506608	0.697	0.669	1.25E-195
IER3IP1	2.70E-274	0.79898433	0.81	0.82	5.57E-270
COX7A1	1.52E-231	0.790699844	0.368	0	3.13E-227
TAGLN3	8.44E-183	0.78908973	0.592	0.368	1.74E-178
NDUFC2	7.89E-256	0.786385275	0.945	0.958	1.63E-251
BTF3	9.42E-233	0.786044992	0.971	0.987	1.94E-228
SELENOK	1.91E-224	0.782924428	0.884	0.936	3.94E-220
ACAT1	4.63E-222	0.776699667	0.704	0.68	9.55E-218
RPS21	1.63E-270	0.776697058	0.987	0.992	3.37E-266
NHP2	4.60E-237	0.770370561	0.754	0.784	9.48E-233
BEX4	1.00E-241	0.763856574	0.896	0.937	2.07E-237
SLC25A4	1.48E-269	0.759964872	0.77	0.85	3.05E-265
BUD23	5.39E-229	0.754558529	0.712	0.736	1.11E-224
RPS29	1.51E-245	0.75007691	0.988	0.993	3.12E-241
SBDS	7.77E-244	0.750036442	0.814	0.838	1.60E-239
PDLIM1	2.44E-175	0.747855039	0.55	0.236	5.04E-171
RPL23	1.95E-214	0.745649341	0.98	0.996	4.03E-210
ANAPC16	3.60E-245	0.741707732	0.903	0.955	7.43E-241
MTRNR2L12	1.09E-151	0.741113337	0.918	0.958	2.25E-147
NBEAL1	7.79E-292	0.739327035	0.763	0.627	1.61E-287
SELENOW	6.43E-231	0.739302305	0.858	0.915	1.33E-226
EIF3L	7.83E-240	0.737920877	0.905	0.966	1.61E-235
DNAJC12	1.01E-176	0.729563611	0.773	0.83	2.08E-172
TMEM230	1.34E-251	0.726722205	0.858	0.911	2.76E-247
METTL5	8.48E-236	0.724727182	0.654	0.637	1.75E-231
RGS16	1.81E-88	0.721790323	0.361	0.226	3.74E-84
MAFA	4.59E-205	0.719165422	0.492	0.084	9.47E-201
CTSB	5.30E-196	0.717757206	0.673	0.642	1.09E-191
DNAJB6	1.80E-254	0.717476853	0.755	0.818	3.72E-250
HMGN2	1.47E-203	0.71633437	0.911	0.955	3.03E-199
BEX5	1.45E-135	0.716254048	0.532	0.263	2.98E-131
SVIP	1.99E-253	0.714689714	0.783	0.842	4.09E-249
S100A6	1.15E-115	0.711546773	0.824	0.969	2.38E-111
CHMP5	3.94E-236	0.711432796	0.779	0.814	8.12E-232
SRI	8.42E-235	0.708174088	0.744	0.796	1.74E-230
SRP14	2.41E-179	0.706212719	0.976	0.992	4.97E-175
SMDT1	2.46E-196	0.70601439	0.926	0.979	5.06E-192
RPL37	5.10E-228	0.702092366	0.988	0.998	1.05E-223
PAIP2	2.83E-241	0.70113822	0.743	0.732	5.84E-237
MTRNR2L1	1.10E-132	0.70112644	0.521	0.74	2.27E-128
BEX2	3.38E-196	0.699752912	0.931	0.974	6.96E-192
RPS11	1.52E-194	0.699150644	0.989	0.995	3.13E-190
GUK1	4.19E-176	0.698160297	0.943	0.989	8.65E-172
NTPCR	9.76E-209	0.697735381	0.63	0.58	2.01E-204
CD9	1.40E-125	0.697462387	0.284	0.028	2.88E-121
SDHC	7.30E-254	0.696152731	0.806	0.871	1.51E-249
PRR13	6.09E-214	0.694356617	0.818	0.877	1.26E-209
SDCBP	5.77E-226	0.694301337	0.668	0.648	1.19E-221
C1QBP	1.50E-262	0.6940591	0.714	0.769	3.10E-258
MT1F	5.90E-171	0.693303549	0.447	0.082	1.22E-166
C4orf3	1.62E-229	0.693046686	0.779	0.842	3.34E-225
RHEB	4.01E-247	0.688979926	0.806	0.875	8.27E-243
HMGN1	1.30E-256	0.68669209	0.867	0.973	2.67E-252
SYNGR4	3.61E-224	0.683195449	0.415	0.023	7.44E-220
EIF3K	3.33E-204	0.679939135	0.899	0.966	6.87E-200
CFC1	3.77E-186	0.678980691	0.619	0.488	7.77E-182
LSM4	8.36E-234	0.671770259	0.774	0.841	1.72E-229
SMIM22	9.24E-260	0.671427868	0.419	0.004	1.90E-255
UBL5	2.33E-229	0.670610812	0.961	0.98	4.80E-225
ENO1	6.72E-124	0.670055966	0.945	0.982	1.39E-119
TSPAN13	1.65E-199	0.66827302	0.795	0.885	3.39E-195
PCP4	4.44E-134	0.668201057	0.679	0.748	9.16E-130
ANXA7	5.52E-224	0.668122492	0.837	0.922	1.14E-219
DYNLL1	3.65E-152	0.667173315	0.922	0.973	7.52E-148
CD99	8.22E-103	0.666908932	0.992	0.995	1.70E-98
CFAP36	7.33E-220	0.666650701	0.623	0.643	1.51E-215
UBA52	4.85E-201	0.664208832	0.989	0.998	1.00E-196
UBXN1	1.69E-241	0.662221376	0.819	0.911	3.48E-237
ETFRF1	2.29E-192	0.656647121	0.596	0.532	4.72E-188
HPRT1	8.11E-178	0.656051062	0.541	0.425	1.67E-173
ELAVL4	7.45E-159	0.65584487	0.54	0.344	1.54E-154
NDUFA11	3.06E-230	0.654101212	0.928	0.969	6.31E-226
SH3BGRL3	1.54E-209	0.65332545	0.754	0.907	3.18E-205
RPA3	9.92E-176	0.652383503	0.572	0.478	2.05E-171
IAPP	9.70E-20	0.652287136	0.939	0.862	2.00E-15
SNX3	3.42E-229	0.651816012	0.868	0.955	7.05E-225
ATRAID	1.52E-196	0.650762834	0.856	0.94	3.14E-192
PYURF	4.08E-225	0.649254589	0.811	0.891	8.41E-221
DNAJC19	8.96E-201	0.648649836	0.627	0.607	1.85E-196
ATP6V0E2	1.80E-231	0.648262731	0.788	0.849	3.71E-227
NDUFA13	9.70E-227	0.647543864	0.954	0.955	2.00E-222
GSTO2	1.67E-164	0.646471275	0.514	0.289	3.44E-160
ATP5PO	3.76E-202	0.644772235	0.863	0.936	7.76E-198
ACTB	3.09E-57	0.640134846	0.971	0.991	6.37E-53
PRMT2	9.07E-224	0.636840746	0.688	0.709	1.87E-219
PCNP	2.70E-233	0.636567001	0.715	0.789	5.57E-229
NOP53	3.09E-282	0.636265434	0.795	0.917	6.37E-278
SNAP25	5.59E-188	0.635855776	0.761	0.78	1.15E-183
EIF2A	1.81E-213	0.635422491	0.652	0.635	3.73E-209
TM2D1	9.13E-230	0.634877533	0.654	0.7	1.88E-225
TUBA4A	1.36E-198	0.634037965	0.686	0.831	2.81E-194
SLIRP	1.34E-228	0.632866365	0.874	0.903	2.77E-224
GADD45GIP1	2.69E-271	0.632602547	0.787	0.936	5.55E-267
PPA2	1.69E-200	0.631813791	0.606	0.592	3.48E-196
CCT8	8.78E-219	0.630892465	0.744	0.799	1.81E-214
GPX4	7.67E-152	0.630199299	0.979	0.995	1.58E-147
SMIM29	4.00E-207	0.630186132	0.676	0.745	8.24E-203
QPCT	9.46E-125	0.627188831	0.917	0.966	1.95E-120
ITM2B	6.02E-168	0.626103825	0.883	0.985	1.24E-163
VDAC2	3.26E-206	0.623553716	0.843	0.927	6.73E-202
SYF2	1.54E-211	0.622607177	0.666	0.712	3.18E-207
MEAF6	1.36E-208	0.622574383	0.825	0.911	2.81E-204
DYNLT3	1.94E-193	0.622434673	0.714	0.746	4.01E-189
FAM229B	2.33E-148	0.622284685	0.494	0.336	4.80E-144
TBC1D22A	6.77E-134	0.621678702	0.449	0.259	1.40E-129
PSMB1	8.68E-165	0.619296972	0.914	0.973	1.79E-160
GNG7	8.54E-212	0.618538717	0.429	0.045	1.76E-207
TMA7	5.19E-164	0.616635075	0.965	0.988	1.07E-159
TSPAN2	1.98E-141	0.614904711	0.421	0.148	4.08E-137
TUBA1A	2.82E-69	0.612107265	0.938	0.947	5.81E-65
ZC3H3	4.56E-144	0.610536624	0.431	0.171	9.40E-140
SELENOM	1.67E-141	0.60970063	0.568	0.617	3.44E-137
ARF5	2.08E-205	0.609612121	0.799	0.838	4.30E-201
NEUROD1	5.19E-120	0.607895752	0.841	0.851	1.07E-115
TSR2	1.23E-193	0.607453647	0.609	0.533	2.54E-189
LYSMD2	2.79E-245	0.601749723	0.671	0.771	5.76E-241
NDUFAF3	3.43E-214	0.599834184	0.783	0.899	7.07E-210
NDUFB9	9.99E-177	0.599785165	0.904	0.963	2.06E-172
NDUFS4	6.73E-202	0.599064341	0.663	0.732	1.39E-197
SIVA1	4.18E-216	0.597904553	0.659	0.743	8.62E-212
COX5B	1.75E-163	0.597683294	0.949	0.983	3.61E-159
SELENOT	6.04E-205	0.595141444	0.824	0.918	1.25E-200
LRPAP1	1.59E-178	0.595048536	0.782	0.868	3.27E-174
RNF130	1.46E-211	0.594144766	0.604	0.596	3.02E-207
RPS9	3.53E-145	0.593868938	0.996	0.999	7.28E-141
MRPL22	8.28E-193	0.593854207	0.603	0.611	1.71E-188
MRPL18	1.94E-194	0.59257978	0.612	0.65	4.01E-190
BEX1	2.28E-115	0.590899382	0.984	0.996	4.71E-111
PTS	2.23E-216	0.590631998	0.661	0.762	4.60E-212
MDH1	4.64E-197	0.588355036	0.818	0.913	9.58E-193
ARPC1A	1.52E-201	0.588019594	0.765	0.842	3.13E-197
THYN1	1.81E-173	0.585146336	0.549	0.471	3.73E-169
C9orf16	1.56E-171	0.584624524	0.829	0.958	3.23E-167
NDUFAB1	6.56E-189	0.583791823	0.838	0.937	1.35E-184
FAM200B	1.99E-238	0.582925021	0.688	0.807	4.11E-234
TMEM9B	5.98E-196	0.582423184	0.635	0.649	1.23E-191
COMMD6	1.71E-161	0.581112187	0.917	0.972	3.52E-157
POLR2L	4.63E-160	0.578619766	0.931	0.976	9.55E-156
VGF	2.34E-97	0.578590839	0.487	0.483	4.82E-93
PGK1	1.44E-166	0.57854702	0.811	0.935	2.98E-162
FAM174A	8.56E-214	0.577999191	0.669	0.726	1.77E-209
SURF4	5.05E-153	0.577882718	0.836	0.93	1.04E-148
ATP6V1E1	6.92E-212	0.577161726	0.764	0.849	1.43E-207
MPLKIP	2.65E-206	0.572908807	0.626	0.687	5.46E-202
NEDD8	4.96E-164	0.570901822	0.887	0.958	1.02E-159
ZNF706	2.30E-191	0.570449763	0.801	0.907	4.73E-187
EDN3	3.47E-122	0.569586647	0.278	0.027	7.16E-118
PSME1	1.39E-205	0.569437588	0.7	0.796	2.88E-201
TECR	6.74E-160	0.568171207	0.829	0.914	1.39E-155
TMBIM4	4.22E-184	0.566828745	0.788	0.831	8.71E-180
SELENOF	3.59E-185	0.564771625	0.817	0.905	7.40E-181
COX7C	2.44E-160	0.563888232	0.989	0.999	5.03E-156
MMP24OS	9.03E-222	0.563430018	0.648	0.769	1.86E-217
TIMP2	4.88E-127	0.562227767	0.491	0.3	1.01E-122
PIN1	1.99E-192	0.560674671	0.806	0.891	4.10E-188
CDKN1A	6.06E-66	0.559696447	0.317	0.256	1.25E-61
EBPL	6.48E-184	0.559027037	0.519	0.5	1.34E-179
ATP5PD	4.98E-195	0.558349457	0.8	0.9	1.03E-190
OAZ2	2.17E-213	0.557257335	0.707	0.765	4.48E-209
RWDD1	1.74E-213	0.556388295	0.747	0.876	3.58E-209
GNG4	2.65E-210	0.555645091	0.686	0.784	5.46E-206
SNU13	1.75E-171	0.555367193	0.866	0.952	3.61E-167
NPDC1	6.55E-228	0.554654162	0.786	0.946	1.35E-223
ANXA5	5.22E-157	0.55414007	0.835	0.932	1.08E-152
PPT1	3.38E-210	0.553431518	0.696	0.782	6.97E-206
PRELID3B	5.37E-178	0.552827361	0.56	0.574	1.11E-173
C2orf74	1.29E-164	0.552229389	0.497	0.481	2.65E-160
CHMP2A	1.97E-178	0.547710005	0.803	0.899	4.07E-174
H2AFZ	3.73E-136	0.547593091	0.903	0.957	7.68E-132
RPLP0	1.01E-133	0.547426009	0.996	1	2.09E-129
SOCS2	1.28E-184	0.546709971	0.359	0.021	2.64E-180
EPCAM	3.38E-121	0.546556706	0.898	0.98	6.96E-117
TM2D3	1.87E-186	0.546074201	0.616	0.661	3.85E-182
PRDX1	1.06E-163	0.544399952	0.828	0.926	2.19E-159
TSTD1	4.20E-168	0.544367327	0.84	0.926	8.67E-164
FFAR4	8.21E-97	0.541217922	0.34	0.138	1.69E-92
DGUOK	4.83E-204	0.541085099	0.712	0.812	9.96E-200
COPZ1	1.44E-193	0.540895545	0.781	0.897	2.97E-189
CIAO2B	1.36E-198	0.54079617	0.748	0.878	2.81E-194
EIF3D	5.19E-229	0.537996468	0.685	0.794	1.07E-224
MRPS21	1.30E-188	0.536221687	0.839	0.929	2.69E-184
SH3BGRL	3.74E-183	0.53606642	0.706	0.787	7.71E-179
RANBP1	2.36E-224	0.536009378	0.646	0.751	4.86E-220
EMC4	4.51E-222	0.535539405	0.678	0.81	9.30E-218
PGAM1	2.30E-181	0.535532104	0.804	0.839	4.74E-177
CAMLG	2.13E-205	0.533979416	0.743	0.877	4.39E-201
IER3	4.03E-94	0.530736073	0.449	0.591	8.32E-90
TPD52	9.83E-132	0.528913002	0.917	0.976	2.03E-127
MRPL40	1.99E-196	0.52717332	0.641	0.733	4.11E-192
SMCO4	1.45E-181	0.526563436	0.612	0.644	3.00E-177
ZCRB1	3.40E-217	0.52488258	0.698	0.848	7.01E-213
S100A11	6.87E-66	0.524389948	0.67	0.607	1.42E-61
PHPT1	1.23E-100	0.52211127	0.932	0.987	2.54E-96
UBE2I	2.78E-205	0.522109908	0.658	0.74	5.74E-201
ATP5F1C	5.31E-182	0.521752692	0.794	0.906	1.09E-177
OLFM2	6.90E-146	0.52172567	0.665	0.671	1.42E-141
NDUFC1	5.98E-187	0.518786527	0.816	0.889	1.23E-182
PSMB3	5.71E-159	0.516248088	0.795	0.901	1.18E-154
NDUFB7	1.22E-139	0.515755014	0.908	0.98	2.51E-135
KRTCAP2	2.01E-174	0.51355888	0.748	0.7	4.14E-170
PNRC2	1.60E-158	0.509261684	0.496	0.48	3.30E-154
MDK	4.32E-77	0.508711702	0.554	0.485	8.91E-73
DCTN6	3.06E-167	0.50578236	0.559	0.599	6.31E-163
SDC2	2.54E-141	0.504815289	0.555	0.538	5.25E-137
CDKN2A	7.01E-122	0.503732063	0.25	0.012	1.45E-117
PRDX5	2.43E-98	0.503683963	0.985	0.995	5.01E-94
SURF2	5.39E-184	0.503219731	0.651	0.744	1.11E-179
PRSS23	1.09E-91	0.50243647	0.817	0.835	2.25E-87
SDHB	1.83E-173	0.501858805	0.523	0.558	3.77E-169
TPI1	3.13E-70	0.500897185	0.926	0.984	6.46E-66
HNRNPDL	6.04E-177	0.500157621	0.796	0.927	1.25E-172
NDUFA5	3.06E-172	0.49733075	0.837	0.934	6.32E-168
UBE2N	1.61E-173	0.496868125	0.61	0.663	3.32E-169
ERH	7.12E-153	0.494304465	0.873	0.962	1.47E-148
POLR3GL	5.30E-154	0.49385637	0.494	0.467	1.09E-149
DHPS	5.05E-170	0.493518866	0.563	0.335	1.04E-165
ARL2	1.89E-144	0.493189237	0.883	0.955	3.89E-140
QTRT1	6.37E-137	0.493057014	0.433	0.307	1.31E-132
CCT4	1.06E-192	0.492589375	0.731	0.86	2.18E-188
MRPS14	1.21E-156	0.489570867	0.5	0.499	2.50E-152
COX6C	3.17E-124	0.489219562	0.962	0.993	6.55E-120
TMEM109	1.07E-128	0.488255855	0.44	0.374	2.21E-124
CTSV	2.28E-108	0.48761095	0.215	0.007	4.70E-104
ARF1	7.32E-140	0.487476047	0.872	0.957	1.51E-135
TMED9	2.20E-165	0.486976583	0.724	0.825	4.54E-161
RAB4A	8.73E-235	0.485472326	0.627	0.771	1.80E-230
TMEM14A	1.13E-170	0.484723216	0.602	0.753	2.34E-166
CSTB	6.59E-97	0.484201332	0.949	0.993	1.36E-92
SMIM26	3.35E-175	0.483417017	0.776	0.883	6.91E-171
TCEAL8	5.59E-161	0.483059895	0.847	0.948	1.15E-156
SMS	2.81E-192	0.482888262	0.634	0.735	5.80E-188
SUMO3	7.23E-175	0.479223035	0.569	0.627	1.49E-170
RPL26L1	1.25E-178	0.478471036	0.55	0.605	2.59E-174
HIBADH	9.20E-151	0.478381897	0.483	0.444	1.90E-146
RGS9	3.45E-101	0.477620365	0.394	0.252	7.11E-97
DMKN	8.55E-100	0.476226051	0.437	0.291	1.76E-95
TMEM128	9.98E-119	0.474549147	0.415	0.277	2.06E-114
UXT	7.90E-181	0.474513812	0.76	0.862	1.63E-176
COX6A1	7.13E-90	0.474256245	0.966	0.987	1.47E-85
GEM	9.22E-76	0.473267157	0.267	0.118	1.90E-71
HOPX	2.43E-138	0.471412069	0.742	0.89	5.00E-134
DPY30	2.64E-184	0.471161586	0.669	0.785	5.44E-180
PIGP	1.92E-207	0.471121327	0.642	0.798	3.95E-203
MRPL20	3.72E-193	0.470296796	0.746	0.909	7.67E-189
PSMB6	8.38E-144	0.470015716	0.841	0.944	1.73E-139
MED4	3.77E-137	0.469698455	0.497	0.487	7.77E-133
SRP9	6.95E-131	0.468526684	0.9	0.975	1.43E-126
MAP1LC3A	7.40E-168	0.467579919	0.834	0.929	1.53E-163
ATP6V1D	1.26E-185	0.46711548	0.764	0.905	2.60E-181
TMEM14B	2.72E-165	0.466800391	0.745	0.858	5.62E-161
TMED10	1.27E-97	0.466597161	0.884	0.976	2.63E-93
ZFAND1	3.34E-140	0.466098831	0.481	0.451	6.88E-136
GET1	1.11E-166	0.465703067	0.501	0.551	2.28E-162
PIN4	8.17E-175	0.465346767	0.613	0.649	1.69E-170
MZT1	5.25E-133	0.46438789	0.456	0.383	1.08E-128
TMEM106C	5.30E-132	0.46306999	0.441	0.394	1.09E-127
PTGES3	3.77E-143	0.461755528	0.865	0.96	7.77E-139
GHITM	1.86E-129	0.460236237	0.856	0.949	3.84E-125
ZNHIT3	1.69E-157	0.459850402	0.476	0.518	3.48E-153
