hgnc_symbol	sc_beta_scRNA_Melton2019	h_beta_scRNA_Melton2019	SCbeta_Hbeta_scRNA_Melton2019
ABCC6	51.37756125	19.34065764	-1.40950156
ABCC8	860.0984328	782.2605278	-0.136852607
ABCC9	1	24.31396961	4.603713548
ABCD1	7.861047623	1.795918209	-2.129999942
ABCD2	1	1	0
ABCD3	97.63920262	43.93092235	-1.152223723
ABCD4	30.94507636	14.98900967	-1.045804815
ABCE1	18.96633712	35.22762642	0.893266187
ABCF1	73.77530805	60.09418624	-0.295912614
ABCF2	26.17229744	30.80690467	0.235213163
ABCF3	21.86743803	24.24489583	0.14889685
ABCG1	17.74974642	57.60753026	1.698458994
ABCG2	10.8245378	1.105180437	-3.291951589
ABCG4	1.778094105	1	-0.83033168
ABHD1	1.497342404	11.88068969	2.988142517
ABHD10	4.772778914	63.06435866	3.723923471
ABHD11	12.3218802	28.73469135	1.221571138
ABHD12	79.2343689	110.3108223	0.477376079
ABHD12B	1	5.387754628	2.429684148
ABHD13	91.9305847	20.03139541	-2.198281992
ABHD14A	102.6615386	27.0769207	-1.922760204
ABHD14B	29.01100909	68.79748218	1.245755289
ABHD15	92.71045054	26.31710915	-1.81673095
ABHD16A	1	5.59497596	2.484131932
ABHD17A	45.76252723	61.33751423	0.422602974
ABHD17B	25.20526381	11.88068969	-1.085106465
ABHD17C	9.857504162	7.459967947	-0.402052983
ABHD18	34.5324592	28.45839624	-0.279098716
ABHD2	78.8600333	76.53374523	-0.043198319
ABHD3	26.32827061	51.73625919	0.974562983
ABHD4	19.77739759	22.72527273	0.200445007
ABHD5	6.457289119	14.22919812	1.139853833
ABHD6	9.10883296	6.907377729	-0.399128106
ABHD8	12.91457824	24.65933849	0.93313357
ABI1	67.87952233	24.59026471	-1.464889147
ABI2	239.0444759	112.9356259	-1.081778407
ABI3	1	1	0
ABI3BP	1	1.934065764	0.951636852
ABL1	151.5123345	30.59968334	-2.307846619
ABL2	42.17514439	54.98272672	0.382585447
ABLIM1	198.5850364	75.35949102	-1.397895792
ABLIM2	28.41831105	16.99214921	-0.741952475
ABLIM3	1	1	0
ABO	1	3.729983974	1.899169432
ABR	82.91533564	95.04551755	0.196979629
ABRACL	19.68381369	37.02354463	0.911433259
ABT1	45.60655407	33.1554131	-0.459996737
ABTB1	4.991141348	8.288853274	0.731802764
ABTB2	52.25101099	1	-5.707387047
ACA64	1.403758504	1	-0.489294763
ACAA1	40.61541272	32.25745399	-0.33239473
ACAA2	90.8075779	104.508625	0.202737411
ACACA	72.05960321	25.28100249	-1.511137035
ACACB	3.712161378	23.20878917	2.644339923
ACAD10	16.31479328	14.43641945	-0.176467741
ACAD11	5.864591084	17.54473943	1.580936098
ACAD8	56.89901137	14.02197679	-2.020713834
ACAD9	37.80789571	36.1946593	-0.062910719
ACADL	1	1	0
ACADM	114.8586403	47.86812766	-1.262722106
ACADS	11.3860412	15.196231	0.416447323
ACADSB	25.89154574	18.09732965	-0.516704261
ACADVL	138.0050583	129.9277751	-0.087011273
ACAN	1	46.07220945	5.525824881
ACAP1	11.0117056	17.61381321	0.677669327
ACAP2	23.83269994	34.95133131	0.55240501
ACAP2-IT1	1	1	0
ACAP3	67.1932404	21.62009229	-1.635943424
ACAT1	85.31732242	101.3312313	0.248168301
ACAT2	52.34459489	17.06122299	-1.617319506
ACBD3	88.71753746	73.97801547	-0.262122722
ACBD4	2.776322375	10.56828792	1.928494675
ACBD5	46.8543394	29.4945029	-0.667736575
ACBD6	68.34744183	29.14913402	-1.229434317
ACBD7	1	3.246467532	1.698870781
ACCS	2.027651173	1	-1.019809479
ACD	17.62496789	15.88696878	-0.149776743
ACE	21.3683239	6.907377729	-1.629263725
ACE2	1	1	0
ACER1	1	6.147566179	2.620015361
ACER2	1	1	0
ACER3	28.73025738	71.62950705	1.317983096
ACHE	25.51721014	4.07535286	-2.64647372
ACIN1	144.8054884	54.15384139	-1.4189807
ACKR1	4.991141348	1	-2.319369761
ACKR2	1	1	0
ACKR3	1	1	0
ACKR4	1	1	0
ACLY	666.6917056	249.9089262	-1.415617346
ACMSD	1	1	0
ACO1	31.53777439	29.21820779	-0.110213166
ACO2	82.35383224	59.05807958	-0.479701341
ACOT11	2.495570674	26.38618292	3.402340996
ACOT12	1	1	0
ACOT13	11.13648413	62.99528489	2.499950013
ACOT2	15.97165231	12.50235369	-0.35331385
ACOT4	1.09181217	3.108319978	1.509410343
ACOT7	14.47430991	2.762951091	-2.389212637
ACOT8	36.71608354	25.62637137	-0.518782965
ACOT9	1.715704838	52.15070185	4.925813384
ACOX1	45.29460773	35.29670019	-0.359805994
ACOX2	1	1	0
ACOX3	9.732725629	3.522762642	-1.466136614
ACOXL	1	3.729983974	1.899169432
ACP1	85.19254388	103.4725184	0.280448573
ACP2	49.34991008	28.73469135	-0.780253903
ACP5	9.10883296	3.937205305	-1.210094281
ACP6	33.06631143	35.71114286	0.111012184
ACP7	1	10.29199282	3.36345045
ACPP	1	35.36577397	5.14428193
ACR	1	1	0
ACRBP	1	5.387754628	2.429684148
ACRV1	1	1	0
ACSBG1	1	1	0
ACSF2	8.11060469	2.348508428	-1.788064709
ACSF3	6.83162472	9.394033711	0.459516045
ACSL1	13.56966554	100.5714197	2.889763313
ACSL3	79.48392597	32.11930644	-1.307222393
ACSL4	17.56257862	5.180533297	-1.761332158
ACSL5	1	1	0
ACSL6	3.400215043	6.423861288	0.91781475
ACSM1	1	1	0
ACSM2A	1	4.213500415	2.075019267
ACSM2B	1	3.453688864	1.788138119
ACSM3	4.64800038	1.934065764	-1.264973335
ACSM4	1	1	0
ACSM5	1	1	0
ACSM6	1	1	0
ACSS1	1	6.285713733	2.65207657
ACSS2	22.89686093	12.64050124	-0.857096151
ACSS3	3.337825776	1.5196231	-1.135195105
ACTA1	1.559731671	1	-0.641297856
ACTA2	1	22.93249406	4.519321361
ACTB	854.8577344	1397.017146	0.708593476
ACTC1	2.901100909	10.29199282	1.826849973
ACTG1	3395.723016	1734.649769	-0.969074378
ACTG2	1	1.105180437	0.14428193
ACTL10	1	1.450549323	0.536599352
ACTL6A	58.17799134	25.83359271	-1.171225192
ACTL6B	30.72671392	15.54159989	-0.98335846
ACTN1	339.6471687	122.4678071	-1.471634267
ACTN2	1	1	0
ACTN3	1.060617536	1	-0.084904508
ACTN4	359.5805395	253.7770578	-0.502753293
ACTR10	184.4850621	102.3673379	-0.849748533
ACTR1A	176.9359608	76.67189279	-1.206457593
ACTR1B	109.3995794	55.53531694	-0.978129761
ACTR2	230.9026766	109.8963797	-1.071141037
ACTR3	167.7647386	68.38303951	-1.294729062
ACTR3B	25.20526381	45.9340619	0.865839311
ACTR3C	4.772778914	9.324959934	0.966268018
ACTR5	4.304859413	3.039246201	-0.502252575
ACTR6	23.58314287	20.51491185	-0.20108304
ACTR8	21.27474	16.78492788	-0.341975162
ACTRT3	1.154201437	1.243327991	0.107311899
ACVR1	57.27334697	46.00313567	-0.316131713
ACVR1B	111.3024521	50.63107875	-1.136390249
ACVR1C	1600.471863	24.79748605	-6.012159635
ACVR2A	23.39597507	4.904238187	-2.254159403
ACVR2B	60.76714591	5.249607074	-3.533010185
ACVRL1	1	1	0
ACY1	8.952859793	15.12715723	0.756720396
ACY3	1	1	0
ACYP1	10.01347733	30.66875712	1.614826642
ACYP2	50.94083638	22.65619895	-1.168916808
ADA	1	1	0
ADAD2	1	1	0
ADAL	10.9181217	21.13657585	0.953016994
ADAM10	105.6250288	36.95447085	-1.515130913
ADAM11	1	1	0
ADAM12	9.857504162	1	-3.301222415
ADAM15	3.961718445	13.12401768	1.728011185
ADAM17	31.31941196	18.58084609	-0.753240928
ADAM19	8.422551025	1	-3.074257263
ADAM2	1	1	0
ADAM20	1	1	0
ADAM21	1	1	0
ADAM22	17.40660545	8.427000829	-1.046543711
ADAM23	8.141799324	1	-3.025347663
ADAM28	1.528537038	1	-0.61215151
ADAM29	1	4.627943078	2.21037112
ADAM32	1	1.312401768	0.392209443
ADAM33	1	1.450549323	0.536599352
ADAM8	7.049987154	1	-2.817620629
ADAM9	48.47646034	17.13029677	-1.500734215
ADAMDEC1	1	1	0
ADAMTS1	1	1	0
ADAMTS10	4.616805747	1	-2.206895032
ADAMTS12	3.337825776	1	-1.738908653
ADAMTS13	8.048215424	2.762951091	-1.542458897
ADAMTS14	1	1	0
ADAMTS15	1	1	0
ADAMTS16	1	1	0
ADAMTS17	1	1	0
ADAMTS18	5.022335981	1	-2.328358544
ADAMTS19	1	1	0
ADAMTS2	53.99791046	24.72841227	-1.126733969
ADAMTS20	1	1	0
ADAMTS3	1	1	0
ADAMTS4	1	24.72841227	4.628097707
ADAMTS5	213.4336819	11.12087814	-4.262445247
ADAMTS6	11.26126267	1	-3.493296693
ADAMTS7	1	1	0
ADAMTS8	1	1	0
ADAMTS9	9.077638327	1	-3.182317009
ADAMTSL1	40.67780199	5.940344847	-2.775623136
ADAMTSL2	1	43.58555347	5.445778125
ADAMTSL3	1	8.565148384	3.09847824
ADAMTSL4	1	1.864991987	0.899169432
ADAMTSL5	1	1	0
ADAP1	6.114148151	1	-2.61215151
ADAP2	30.50835149	19.61695275	-0.637103272
ADAR	121.7526543	101.6766002	-0.259965528
ADARB1	4.803973547	1.036106659	-2.213055682
ADARB2	28.35592178	1	-4.825578151
ADAT1	1.622120938	24.31396961	3.905832164
ADAT2	3.025879442	2.693877314	-0.16767036
ADAT3	1.310174604	1	-0.389759089
ADCK1	22.70969313	6.562008842	-1.791098769
ADCK2	34.5324592	27.83673225	-0.310963215
ADCK5	3.337825776	5.456828406	0.709154025
ADCY1	78.73525476	19.40973142	-2.020229612
ADCY10	1	1	0
ADCY2	160.6211675	5.871271069	-4.773845355
ADCY3	1.466147771	1.5196231	0.05168303
ADCY4	1	1	0
ADCY5	3.524993577	3.868131528	0.134016223
ADCY6	14.03758504	15.67974744	0.159607559
ADCY7	9.545557828	5.111459519	-0.901094214
ADCY8	1	1	0
ADCY9	24.2694248	8.565148384	-1.502589771
ADCYAP1	3.992913078	1101.312305	8.107566258
ADCYAP1R1	1	1	0
ADD1	267.3692031	90.07220558	-1.569679404
ADD2	1	1.934065764	0.951636852
ADD3	92.42969884	19.20251009	-2.267061575
ADGB	1	1	0
ADGRA1	39.11807031	6.078492401	-2.686049751
ADGRA2	1	1.934065764	0.951636852
ADGRA3	18.49841762	8.288853274	-1.158157436
ADGRB1	1	1.036106659	0.051172525
ADGRB2	9.982282696	1	-3.319369761
ADGRB3	8.765691992	1	-3.131867987
ADGRD1	1.590926305	1	-0.669867008
ADGRD2	1	4.282574192	2.09847824
ADGRE2	1	63.06435866	5.97875298
ADGRE5	1	1	0
ADGRF1	1	4.627943078	2.21037112
ADGRF2	1	1	0
ADGRF3	10.66856463	1	-3.415294181
ADGRF4	1	1	0
ADGRF5	1	1	0
ADGRG1	7.82985299	374.5180205	5.579906107
ADGRG2	3.057074076	1.657770655	-0.88290708
ADGRG3	1	3.729983974	1.899169432
ADGRG4	10.60617536	3.522762642	-1.590125331
ADGRG5	1	1	0
ADGRG6	1	1	0
ADGRG7	1	1	0
ADGRL1	261.7541691	38.75038906	-2.755929815
ADGRL2	27.66963985	1.726844432	-4.002093841
ADGRL3	1.902872639	1	-0.928179004
ADGRL4	1	1	0
ADGRV1	27.07694181	14.78178834	-0.873243983
ADH1A	1	1	0
ADH1B	1	2.141287096	1.09847824
ADH1C	1	1	0
ADH4	1	1.726844432	0.788138119
ADH5	63.41868975	43.58555347	-0.541058042
ADH6	12.1347124	1	-3.601068011
ADH7	1	1.450549323	0.536599352
ADHFE1	1.902872639	1.657770655	-0.198934574
ADI1	56.7430382	17.75196076	-1.676465015
ADIPOQ	1	2.072213319	1.051172525
ADIPOR1	154.1326838	142.4301288	-0.11391846
ADIPOR2	58.42754841	37.16169218	-0.652832558
ADIRF	1	1	0
ADK	42.67425853	40.27001216	-0.083660178
ADM	4.180080879	116.1820934	4.796713063
ADM2	1	3.177393755	1.667843886
ADM5	1	1	0
ADNP	86.68988629	31.84301133	-1.444886916
ADNP2	41.98797659	11.81161592	-1.829769917
ADO	42.14394976	13.46938657	-1.645641382
ADORA1	1	1	0
ADORA2A	36.80966744	2.417582205	-3.928447864
ADORA2B	1	1	0
ADORA3	1	1	0
ADPGK	23.39597507	24.38304338	0.059617851
ADPRH	1	5.318680851	2.41106847
ADPRHL1	2.058845806	18.09732965	3.135869145
ADPRHL2	28.76145202	32.87911799	0.193035086
ADPRM	8.297772491	8.841443493	0.091557828
ADRA1A	1	1.450549323	0.536599352
ADRA1D	1	1	0
ADRA2A	19.40306199	17.89010832	-0.117122219
ADRA2B	1	1	0
ADRA2C	1.497342404	1	-0.582404167
ADRB1	1	1	0
ADRB2	1	2.072213319	1.051172525
ADRB3	1	1.036106659	0.051172525
ADRM1	37.77670108	64.58398176	0.773679668
ADSL	99.69804843	34.60596242	-1.526544637
ADSS	63.23152195	33.43170821	-0.919426873
ADSSL1	6.83162472	18.2354772	1.416447323
ADTRP	1	1	0
AEBP1	14.06877967	1.588696878	-3.146581404
AEBP2	48.07093011	21.75823985	-1.143602865
AEN	21.39951853	33.08633932	0.628657343
AES	519.5778143	497.469344	-0.062732206
AFAP1	23.92628384	4.697016856	-2.348779663
AFAP1L1	1	1	0
AFAP1L2	1.497342404	1	-0.582404167
AFDN	142.9026157	35.15855264	-2.023084738
AFF1	68.53460963	48.21349655	-0.507395665
AFF2	2.932295542	1	-1.552030518
AFF3	7.455517389	1.5196231	-2.294594926
AFF4	108.7444921	88.55258248	-0.296336044
AFG3L2	103.5037937	43.37833214	-1.254637159
AFM	1	1	0
AFMID	1	11.81161592	3.562134444
AFP	1	1	0
AFTPH	96.89053142	61.06121912	-0.666099292
AGA	28.97981445	18.78806742	-0.625231682
AGAP1	57.7724611	16.02511633	-1.850047125
AGAP1-IT1	1	1	0
AGAP2	1.341369237	1	-0.423706421
AGAP3	54.55941386	53.80847251	-0.019994793
AGAP4	6.114148151	2.417582205	-1.338586564
AGAP5	1	1	0
AGAP6	4.585611113	4.351647969	-0.075552158
AGAP9	1	1	0
AGBL1	1	1.450549323	0.536599352
AGBL2	1.060617536	1	-0.084904508
AGBL3	1	2.693877314	1.429684148
AGBL4	4.055302345	3.31554131	-0.290565049
AGBL5	12.54024264	18.37362476	0.551071008
AGER	7.611490556	2.003139541	-1.925916079
AGFG1	110.5537809	25.69544515	-2.105163814
AGFG2	8.672108092	13.33123902	0.620356228
AGGF1	33.3158685	34.26059353	0.040340642
AGK	2.589154574	14.64364078	2.499721286
AGL	37.02802988	8.496074606	-2.123749451
AGMAT	9.077638327	25.21192871	1.473717574
AGMO	1	3.522762642	1.816707272
AGO1	44.7019097	22.44897762	-0.993686723
AGO2	101.2265855	56.36420227	-0.844737158
AGO3	47.25986964	76.25745012	0.690262642
AGO4	20.37009563	9.186812379	-1.148816483
AGPAT1	69.90717351	40.27001216	-0.795734597
AGPAT2	11.7603768	48.00627521	2.029288718
AGPAT3	24.20703554	30.94505222	0.354282343
AGPAT4	62.95077025	8.081631943	-2.961505476
AGPAT4-IT1	3.150657976	2.210360873	-0.51137122
AGPAT5	168.2014634	23.4160105	-2.844623055
AGPS	54.93374946	12.22605858	-2.167733381
AGR2	1	1	0
AGR3	1	1	0
AGRN	14.09997431	18.78806742	0.414124142
AGRP	1	1	0
AGT	23.20880727	116.5274623	2.32792571
AGTPBP1	24.98690137	9.601255043	-1.379877096
AGTR1	2.433181407	1	-1.282843885
AGTRAP	6.73804082	14.02197679	1.057288678
AGXT	1	1	0
AHCTF1	42.05036586	22.93249406	-0.874725087
AHCY	70.46867691	40.06279083	-0.814719202
AHCYL1	531.3069965	484.2071788	-0.133921242
AHCYL2	27.07694181	16.16326389	-0.74434625
AHDC1	86.47152385	44.75980768	-0.950021276
AHI1	68.7841667	81.71427853	0.248511681
AHNAK	5.334282316	4.07535286	-0.388369202
AHNAK2	1	7.529041724	2.912466254
AHR	8.672108092	12.22605858	0.495504741
AHRR	1	4.282574192	2.09847824
AHSA1	89.27904086	84.75352473	-0.07504816
AHSA2	28.85503592	15.26530478	-0.918566733
AHSG	1	1	0
AICDA	1	4.489795524	2.166649743
AIDA	105.0323307	71.69858082	-0.550817014
AIF1	32.87914363	1	-5.039100818
AIF1L	1.622120938	1	-0.697881384
AIFM1	25.33004234	29.97801934	0.243055578
AIFM2	5.771007184	20.58398563	1.834627323
AIFM3	2.745127741	1	-1.456873285
AIG1	54.74658166	83.99371318	0.617512461
AIM1	1	1.726844432	0.788138119
AIM1L	1.871678005	1	-0.904332262
AIM2	1	1	0
AIMP1	30.75790856	45.72684056	0.572083834
AIMP2	21.49310243	20.92935452	-0.038345926
AIP	63.98019315	82.54316386	0.36752339
AIPL1	1	4.766090633	2.252806386
AIRE	1	4.420721746	2.14428193
AJAP1	1	1	0
AJUBA	1	1	0
AK1	5.178309149	19.61695275	1.921547951
AK2	82.22905371	143.604383	0.804379651
AK3	265.1231895	119.8430036	-1.145517176
AK4	58.86427327	35.78021663	-0.718230157
AK5	6.145342785	4.144426637	-0.568320961
AK6	30.47715686	25.69544515	-0.246215678
AK7	4.304859413	10.15384526	1.237988151
AK8	1	3.591836419	1.844721648
AK9	14.13116894	19.96232164	0.498398706
AKAIN1	1	2.417582205	1.273564946
AKAP1	65.82067653	22.31083006	-1.560796666
AKAP10	28.19994862	14.98900967	-0.911787467
AKAP11	109.3059955	41.6514877	-1.391932604
AKAP12	72.74588515	13.40031279	-2.440598968
AKAP13	45.32580237	24.24489583	-0.902651504
AKAP14	1	1	0
AKAP17A	27.73202911	15.74882122	-0.816309331
AKAP2	34.0645397	59.88696491	0.813971306
AKAP3	1.154201437	4.07535286	1.820029947
AKAP5	1	6.63108262	2.72924443
AKAP6	10.0758666	8.012558165	-0.330569096
AKAP7	7.985826157	3.799057751	-1.071800023
AKAP8	14.03758504	10.77550926	-0.381538709
AKAP8L	18.62319615	30.25431445	0.700040202
AKAP9	223.0104344	113.6954374	-0.971936853
AKIP1	16.81390742	44.96702901	1.419212534
AKIRIN1	149.859019	86.0659265	-0.800091819
AKIRIN2	19.34067272	12.7786488	-0.597902682
AKNA	4.242470146	3.799057751	-0.159262865
AKNAD1	1	1	0
AKR1A1	110.8657272	124.8853893	0.17179126
AKR1B1	63.91780389	72.04394971	0.172659437
AKR1B10	1	1.381475546	0.466210024
AKR1B15	1	11.32809948	3.501833934
AKR1C1	72.30916028	3.384615087	-4.417114744
AKR1C2	29.04220372	4.420721746	-2.715797094
AKR1C3	12.1347124	5.802197292	-1.064468659
AKR1C4	6.769235453	1	-2.758992899
AKR1D1	1	3.799057751	1.925641643
AKR1E2	2.058845806	1	-1.041835786
AKR7A2	90.77638327	125.1616844	0.463404065
AKR7A3	1	3.660910196	1.872202384
AKT1	438.3157943	90.27942691	-2.2795015
AKT1S1	47.16628574	61.54473556	0.383879461
AKT2	73.52575098	43.99999613	-0.740746218
AKT3	114.4219154	88.96702515	-0.363020782
AKT3-IT1	1	1.036106659	0.051172525
AKTIP	39.11807031	37.7142824	-0.052724229
ALAD	7.736269089	20.44583808	1.402097318
ALAS1	20.77562586	34.32966731	0.724563938
ALAS2	1	1	0
ALB	1	1.174254214	0.231744771
ALCAM	185.0153708	165.5698442	-0.1602052
ALDH16A1	11.32365193	9.117738602	-0.312591355
ALDH18A1	50.37933298	78.88225366	0.646868749
ALDH1A1	1184.366647	253.2244675	-2.225627053
ALDH1A2	1	1	0
ALDH1A3	1	1	0
ALDH1B1	3.743356011	3.31554131	-0.175087832
ALDH1L1	1	3.31554131	1.72924443
ALDH1L2	1.216590704	2.417582205	0.990721061
ALDH2	134.3864808	31.98115888	-2.071093888
ALDH3A1	1	1	0
ALDH3A2	52.18862172	21.96546118	-1.248498512
ALDH3B1	1	15.47252611	3.951636852
ALDH4A1	17.56257862	6.285713733	-1.482356209
ALDH5A1	18.71678005	9.601255043	-0.963037355
ALDH6A1	28.57428422	21.75823985	-0.393155506
ALDH7A1	56.89901137	58.16012048	0.031626672
ALDH8A1	1	2.486655982	1.314206931
ALDH9A1	146.0220791	101.6766002	-0.52219883
ALDOA	89.99651743	297.9842752	1.727295121
ALDOB	1	4.144426637	2.051172525
ALDOC	36.31055331	106.3045432	1.549742437
ALG1	27.17052571	15.47252611	-0.812333723
ALG10	1.029422903	1.588696878	0.6260081
ALG10B	17.93691422	7.943484388	-1.175087832
ALG11	16.31479328	15.33437856	-0.089411007
ALG12	26.10990818	14.09105057	-0.889818207
ALG13	78.14255673	34.19151976	-1.19246991
ALG14	18.03049812	28.73469135	0.672354299
ALG1L	1	1	0
ALG1L2	2.27720824	1	-1.187266225
ALG1L9P	1.27897997	6.492935065	2.34387711
ALG2	195.4031838	55.88068583	-1.806032342
ALG3	36.02980161	29.56357668	-0.285369887
ALG5	78.17375136	66.5871213	-0.2314411
ALG6	6.582067653	2.970172423	-1.147994171
ALG8	12.63382654	15.26530478	0.272964725
ALG9	13.19532994	14.09105057	0.094751752
ALK	1	1.726844432	0.788138119
ALKAL1	1	1	0
ALKAL2	1	1.174254214	0.231744771
ALKBH1	23.5207536	9.67032882	-1.282297433
ALKBH2	5.365476949	9.048664825	0.75399851
ALKBH3	6.426094486	19.34065764	1.589622753
ALKBH4	1.372563871	12.57142747	3.195203285
ALKBH5	182.7381626	204.5274545	0.162516561
ALKBH6	8.92166516	14.22919812	0.673469454
ALKBH7	79.35914743	88.13813982	0.151369922
ALKBH8	1.934067272	2.072213319	0.099534548
ALLC	1	1	0
ALMS1	9.389584661	5.525902183	-0.764851319
ALMS1-IT1	1	3.31554131	1.72924443
ALOX12B	1.528537038	1.312401768	-0.219942067
ALOX15	1	1	0
ALOX15B	1	1	0
ALOX5	4.523221847	30.46153578	2.751566019
ALOX5AP	15.09820258	1	-3.916304904
ALOXE3	1	1	0
ALPK1	1	7.598115502	2.925641643
ALPK2	1	1	0
ALPK3	32.7543651	157.3500647	2.264218682
ALPL	1	1	0
ALPP	1	1	0
ALS2	29.75968029	15.88696878	-0.905515142
ALS2CL	1	4.282574192	2.09847824
ALS2CR11	1	1	0
ALS2CR12	1	1	0
ALX1	1	1	0
ALYREF	24.01986774	25.35007626	0.07776188
AMACR	88.62395356	34.39874109	-1.365340921
AMBN	1	1	0
AMBP	40.08510395	1.381475546	-4.858784286
AMBRA1	15.69090061	4.766090633	-1.71904987
AMD1	61.76537418	35.43484775	-0.801629436
AMDHD1	1	1	0
AMDHD2	12.3218802	7.183672838	-0.778428862
AMELY	1	1	0
AMER1	9.358390027	1.864991987	-2.327090925
AMER2	2.308402873	1.036106659	-1.155722507
AMER3	22.99044483	12.43327991	-0.88682745
AMFR	22.17938437	30.46153578	0.457769359
AMH	4.772778914	1	-2.254829509
AMHR2	2.963490175	1	-1.567297275
AMIGO1	26.01632428	9.117738602	-1.512669191
AMIGO2	195.9958818	1.036106659	-7.563507006
AMIGO3	1	1	0
AMMECR1	5.583839383	6.700156397	0.262937328
AMMECR1-IT1	1	1	0
AMMECR1L	36.02980161	9.877550152	-1.866965536
AMN	13.28891384	1	-3.732151287
AMN1	38.08864741	22.37990384	-0.767157219
AMOT	7.611490556	2.417582205	-1.654614057
AMOTL1	4.741584281	1.657770655	-1.51612475
AMOTL2	1.622120938	1	-0.697881384
AMPD2	163.2103221	108.9984206	-0.582425072
AMPD3	25.48601551	37.29983974	0.549463592
AMPH	26.98335791	13.6766079	-0.980359439
AMT	1	11.67346836	3.545161366
AMY1A	1	1	0
AMY2A	1	1.657770655	0.72924443
AMY2B	5.926980351	9.394033711	0.664447496
AMZ1	1	2.210360873	1.14428193
AMZ2	101.8816728	116.3893147	0.192064064
ANAPC1	24.11345164	22.5180514	-0.098756186
ANAPC10	14.66147771	17.40659188	0.24760324
ANAPC11	231.5889585	236.5086134	0.030326254
ANAPC13	156.6282544	88.34536115	-0.826118198
ANAPC15	43.32934583	32.39560155	-0.419546508
ANAPC16	141.8731928	181.8712556	0.35831553
ANAPC2	11.573209	11.46624703	-0.013395682
ANAPC4	10.69975926	6.009418624	-0.832281007
ANAPC5	138.3793939	78.88225366	-0.810856452
ANAPC7	40.49063419	32.39560155	-0.321790292
ANG	39.05568105	4.144426637	-3.236287988
ANGEL1	43.48531899	76.74096657	0.819468519
ANGEL2	31.44419049	14.91993589	-1.075552158
ANGPT1	1	1	0
ANGPT2	12.16590704	27.90580602	1.197721432
ANGPT4	1	1	0
ANGPTL1	1	3.31554131	1.72924443
ANGPTL2	3.961718445	26.31710915	2.731802764
ANGPTL3	1.09181217	1	-0.126724683
ANGPTL4	1	17.13029677	4.09847824
ANGPTL6	1	1	0
ANK1	1.934067272	5.525902183	1.514572048
ANK2	45.41938627	1	-5.505236307
ANK3	77.14432846	6.63108262	-3.54024376
ANKAR	2.620349208	1.864991987	-0.490589657
ANKDD1A	5.926980351	1	-2.567297275
ANKDD1B	1	1	0
ANKEF1	1.247785337	12.84772258	3.364070979
ANKFN1	1	1	0
ANKFY1	43.29815119	16.99214921	-1.349437084
ANKH	62.29568295	137.5258906	1.142499151
ANKHD1	93.02239687	53.04866096	-0.810261778
ANKIB1	71.09256958	38.81946284	-0.872918626
ANKK1	1	1	0
ANKLE1	1	11.2590257	3.493010084
