ensembl_gene_id	Gene.name	UniProt.accession	Annotated.category	mean_tpm	hgnc_symbol	gene_biotype	description
ENSG00000120088	CRHR1	P34998	Intracellular or membrane-bound	0.08123057294873175	CRHR1	protein_coding	corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]
ENSG00000120156	TEK	Q02763	Secreted to blood	0.7845818712076722	TEK	protein_coding	TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724]
ENSG00000120659	TNFSF11	O14788	Secreted to blood	1.5610526171117427	TNFSF11	protein_coding	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]
ENSG00000121594	CD80	P33681	Intracellular or membrane-bound	0.0853218211474045	CD80	protein_coding	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]
ENSG00000122194	PLG	P00747	Secreted to blood	0.6472518831730899	PLG	protein_coding	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]
ENSG00000122861	PLAU	P00749	Secreted to blood	62.54125223707865	PLAU	protein_coding	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]
ENSG00000123342	MMP19	Q99542	Locally secreted to extracellular matrix	1.2767672355733592	MMP19	protein_coding	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]
ENSG00000123454	DBH	P09172	Intracellular or membrane-bound	0.08800675056179776	DBH	protein_coding	dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689]
ENSG00000124491	F13A1	P00488	Secreted to blood	1.0018016988340919	F13A1	protein_coding	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]
ENSG00000125538	IL1B	P01584	Secreted to blood	3.983412460311236	IL1B	protein_coding	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]
ENSG00000125730	C3	P01024	Secreted to blood	244.73677070742903	C3	protein_coding	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]
ENSG00000125966	MMP24	Q9Y5R2	Locally secreted to extracellular matrix	3.2842341685393257	MMP24	protein_coding	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]
ENSG00000126218	F10	P00742	Secreted to blood	22.743669156422303	F10	protein_coding	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]
ENSG00000128052	KDR	P35968	Intracellular or membrane-bound	27.60083414710581	KDR	protein_coding	kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]
ENSG00000128655	PDE11A	Q9HCR9	Intracellular or membrane-bound	0.6412190938135521	PDE11A	protein_coding	phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]
ENSG00000130035	GALNT8	P17658,Q9NY28	Intracellular or membrane-bound	2.767791152808989	GALNT8	protein_coding	polypeptide N-acetylgalactosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4130]
ENSG00000130234	ACE2	Q9BYF1	Secreted to blood	2.8058621382022473	ACE2	protein_coding	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]
ENSG00000131187	F12	P00748	Secreted to blood	0.3577265593258427	F12	protein_coding	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]
ENSG00000131471	AOC3	Q16853	Secreted - unknown location	1.1749561898203948	AOC3	protein_coding	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]
ENSG00000134853	PDGFRA	P16234	Intracellular or membrane-bound	8.77504118092193	PDGFRA	protein_coding	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]
ENSG00000135046	ANXA1	P04083	Secreted to blood	96.08601548764045	ANXA1	protein_coding	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]
ENSG00000136244	IL6	P05231	Secreted to blood	43.547410696629214	IL6	protein_coding	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]
ENSG00000136869	TLR4	O00206	Intracellular or membrane-bound	1.177592690777249	TLR4	protein_coding	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]
ENSG00000137673	MMP7	P09237	Locally secreted to extracellular matrix	501.8972661662921	MMP7	protein_coding	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]
ENSG00000137674	MMP20	O60882	Locally secreted to extracellular matrix	0.05719611797752809	MMP20	protein_coding	matrix metallopeptidase 20 [Source:HGNC Symbol;Acc:HGNC:7167]
ENSG00000137675	MMP27	Q9H306	Intracellular or membrane-bound	0.0014862898876404494	MMP27	protein_coding	matrix metallopeptidase 27 [Source:HGNC Symbol;Acc:HGNC:14250]
ENSG00000137745	MMP13	P45452	Locally secreted to extracellular matrix	0.2010007301241146	MMP13	protein_coding	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]
ENSG00000138685	FGF2	P09038	Locally secreted	16.302004386043503	FGF2	protein_coding	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]
ENSG00000138823	MTTP	P55157	Intracellular or membrane-bound	0.0032413280898876402	MTTP	protein_coding	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]
ENSG00000143839	REN	P00797	Secreted to blood	0.3977034764044944	REN	protein_coding	renin [Source:HGNC Symbol;Acc:HGNC:9958]
ENSG00000146648	EGFR	P00533	Secreted to blood	13.699011752468572	EGFR	protein_coding	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]
ENSG00000148795	CYP17A1	P05093	Intracellular or membrane-bound	2.570257344022593	CYP17A1	protein_coding	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]
ENSG00000149968	MMP3	P08254	Locally secreted to extracellular matrix	47.28212764582666	MMP3	protein_coding	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]
ENSG00000151834	GABRA2	P47869	Intracellular or membrane-bound	0.7980352115687843	GABRA2	protein_coding	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]
ENSG00000153029	MR1	Q95460	Intracellular or membrane-bound	8.783764879953461	MR1	protein_coding	major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]
ENSG00000153956	CACNA2D1	P54289	Intracellular or membrane-bound	18.952440342302197	CACNA2D1	protein_coding	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]
ENSG00000154485	MMP21	Q8N119	Locally secreted to extracellular matrix	0.24465972066207078	MMP21	protein_coding	matrix metallopeptidase 21 [Source:HGNC Symbol;Acc:HGNC:14357]
ENSG00000156103	MMP16	P51512	Locally secreted to extracellular matrix	2.374496548406764	MMP16	protein_coding	matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]
ENSG00000158125	XDH	P47989	Intracellular or membrane-bound	1.6200957450779776	XDH	protein_coding	xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]
ENSG00000159110	IFNAR2	P48551	Secreted to blood	34.34540924341212	IFNAR2	protein_coding	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]
ENSG00000159403	C1R	P00736	Secreted to blood	34.192363293569755	C1R	protein_coding	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]
ENSG00000159640	ACE	P12821	Secreted to blood	9.422505174314292	ACE	protein_coding	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]
ENSG00000160712	IL6R	P08887	Intracellular or membrane-bound	14.309196413793932	IL6R	protein_coding	interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]
ENSG00000160867	FGFR4	P22455	Intracellular or membrane-bound	5.473013001252837	FGFR4	protein_coding	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]
ENSG00000162747	FCGR3B	O75015	Secreted to blood	0.05046104921123595	FCGR3B	protein_coding	Fc fragment of IgG receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]
ENSG00000163286	ALPPL2	P10696	Intracellular or membrane-bound	0.006665077528089888	ALPG	protein_coding	alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]
ENSG00000163599	CTLA4	P16410	Intracellular or membrane-bound	0.03534118651685393	CTLA4	protein_coding	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]
ENSG00000164326	CARTPT	Q16568	Secreted to blood	2.940278191011236	CARTPT	protein_coding	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]
ENSG00000164344	KLKB1	P03952	Secreted to blood	2.872730942792156	KLKB1	protein_coding	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]
ENSG00000165409	TSHR	P16473	Intracellular or membrane-bound	0.436359251904636	TSHR	protein_coding	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]
ENSG00000166670	MMP10	P09238	Locally secreted to extracellular matrix	52.90612489394382	MMP10	protein_coding	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]
ENSG00000167346	MMP26	Q9NRE1	Locally secreted to extracellular matrix	0.03268680898876404	MMP26	protein_coding	matrix metallopeptidase 26 [Source:HGNC Symbol;Acc:HGNC:14249]
ENSG00000167397	VKORC1	Q9BQB6	Intracellular or membrane-bound	119.83925259333645	VKORC1	protein_coding	vitamin K epoxide reductase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23663]
ENSG00000167748	KLK1	P06870	Locally secreted to GI-tract	154.76045979438203	KLK1	protein_coding	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]
ENSG00000168959	GRM5	P41594	Intracellular or membrane-bound	0.045840905280898875	GRM5	protein_coding	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]
ENSG00000169174	PCSK9	Q8NBP7	Secreted to blood	1.456528659809831	PCSK9	protein_coding	proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]
ENSG00000170820	FSHR	P23945	Intracellular or membrane-bound	0.00601662584269663	FSHR	protein_coding	follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]
ENSG00000170890	PLA2G1B	P04054	Locally secreted to GI-tract	1416.9944871011235	PLA2G1B	protein_coding	phospholipase A2 group IB [Source:HGNC Symbol;Acc:HGNC:9030]
ENSG00000171560	FGA	P02671	Secreted to blood	57.477711065168535	FGA	protein_coding	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]
ENSG00000171564	FGB	P02675	Secreted to blood	9.498252689725302	FGB	protein_coding	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]
ENSG00000173511	VEGFB	P49765	Secreted to blood	37.44092180898876	VEGFB	protein_coding	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]
ENSG00000175445	LPL	P06858	Secreted to blood	1.5053557082040074	LPL	protein_coding	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]
ENSG00000175535	PNLIP	P16233	Locally secreted to GI-tract	1487.9731767303372	PNLIP	protein_coding	pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]
ENSG00000180210	F2	P00734	Secreted to blood	0.13004743664227933	F2	protein_coding	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]
ENSG00000182326	C1S	P09871	Secreted to blood	52.829813632289614	C1S	protein_coding	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]
ENSG00000182333	LIPF	P07098	Locally secreted to GI-tract	0.04062501123595506	LIPF	protein_coding	lipase F, gastric type [Source:HGNC Symbol;Acc:HGNC:6622]
ENSG00000182578	CSF1R	P07333	Intracellular or membrane-bound	2.3654931873001943	CSF1R	protein_coding	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]
ENSG00000183023	SLC8A1	P32418	Intracellular or membrane-bound	7.163071437781592	SLC8A1	protein_coding	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]
ENSG00000184500	PROS1	P07225	Secreted to blood	10.23921938044108	PROS1	protein_coding	protein S [Source:HGNC Symbol;Acc:HGNC:9456]
ENSG00000185010	F8	P00451	Secreted to blood	3.713366197567843	F8	protein_coding	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]
ENSG00000187266	EPOR	P19235	Intracellular or membrane-bound	2.883126283736191	EPOR	protein_coding	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]
ENSG00000188257	PLA2G2A	P14555	Secreted to blood	1.7690578628536422	PLA2G2A	protein_coding	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]
ENSG00000196611	MMP1	P03956	Locally secreted to extracellular matrix	450.84146629213484	MMP1	protein_coding	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]
ENSG00000197561	ELANE	P08246	Secreted to blood	7.193303370786518e-4	ELANE	protein_coding	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]
ENSG00000197632	SERPINB2	P05120	Intracellular or membrane-bound	85.12353294325843	SERPINB2	protein_coding	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]
ENSG00000197635	DPP4	P27487	Locally secreted	13.406645465869794	DPP4	protein_coding	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]
ENSG00000198019	FCGR1B	Q92637	Intracellular or membrane-bound	0.3307510586516854	FCGR1B	protein_coding	Fc fragment of IgG receptor Ib [Source:HGNC Symbol;Acc:HGNC:3614]
ENSG00000198223	CSF2RA	P15509	Secreted to blood	1.6535261487250146	CSF2RA	protein_coding	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]
ENSG00000198598	MMP17	Q9ULZ9	Locally secreted to extracellular matrix	0.14282769591011238	MMP17	protein_coding	matrix metallopeptidase 17 [Source:HGNC Symbol;Acc:HGNC:7163]
ENSG00000198734	F5	P12259	Secreted to blood	3.1118871547191014	F5	protein_coding	coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]
ENSG00000198848	CES1	P23141	Intracellular or membrane-bound	44.45015022545098	CES1	protein_coding	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]
ENSG00000203747	FCGR3A	P08637	Secreted to blood	0.6113245256303582	FCGR3A	protein_coding	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]
ENSG00000204370	SDHD	O14521	Intracellular or membrane-bound	128.61649859305888	SDHD	protein_coding	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]
ENSG00000204681	GABBR1	Q9UBS5	Intracellular or membrane-bound	2.178450407417597	GABBR1	protein_coding	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]
ENSG00000204983	PRSS1	P07477	Locally secreted to GI-tract	1494.8233999293439	PRSS1	protein_coding	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]
ENSG00000223572	CKMT1A	P12532	Intracellular or membrane-bound	21.557076204247743	CKMT1A	protein_coding	creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]
ENSG00000224389	C4B	P0C0L5	Secreted to blood	2.005383490539952	C4B	protein_coding	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]
ENSG00000232810	TNF	P01375	Secreted to blood	0.06144327247191011	TNF	protein_coding	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
ENSG00000237289	CKMT1B	P12532	Intracellular or membrane-bound	20.206172544478598	CKMT1B	protein_coding	creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]
ENSG00000242252	BGLAP	P02818	Secreted to blood	0.052677699999999994	BGLAP	protein_coding	bone gamma-carboxyglutamate protein [Source:HGNC Symbol;Acc:HGNC:1043]
ENSG00000243480	AMY2A	P04746	Locally secreted to GI-tract	1.1704499713263932	AMY2A	protein_coding	amylase alpha 2A [Source:HGNC Symbol;Acc:HGNC:477]
ENSG00000244731	C4A	P0C0L4	Secreted to blood	4.337690875573308	C4A	protein_coding	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]
ENSG00000259207	ITGB3	P05106	Intracellular or membrane-bound	32.49127044944459	ITGB3	protein_coding	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]
ENSG00000262406	MMP12	P39900	Locally secreted to extracellular matrix	1.0221862550561798	MMP12	protein_coding	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]
ENSG00000271447	MMP28	Q9H239	Locally secreted to extracellular matrix	0.4471739229164045	MMP28	protein_coding	matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366]
ENSG00000000971	CFH	P08603	Secreted to blood	9.427307784047416	CFH	protein_coding	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036	FUCA2	Q9BTY2	Secreted to blood	75.0619774494382	FUCA2	protein_coding	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001617	SEMA3F	Q13275	Secreted to blood	8.283249316434798	SEMA3F	protein_coding	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000002587	HS3ST1	O14792	Intracellular or membrane-bound	0.8102530224719101	HS3ST1	protein_coding	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002726	AOC1	P19801	Locally secreted	0.43118498319947757	AOC1	protein_coding	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]
