hgnc_symbol	description	log2_islet_tpm	islet_specificity
IL20RA	interleukin 20 receptor subunit alpha	2.8855216533055157	-0.5000570207575297
IL10RB	interleukin 10 receptor subunit beta	4.842942638288006	-0.5122632262155641
IL27RA	interleukin 27 receptor subunit alpha	0.0953168415347697	-0.5570744751039155
CSF1R	colony stimulating factor 1 receptor	1.3018744012958696	-0.5607693971465602
IL1R2	interleukin 1 receptor type 2	1.569374427265399	-0.5902819127228514
SSTR3	somatostatin receptor 3	3.279074537101099	-0.5941754723207611
GPR39	G protein-coupled receptor 39	2.5996296297144528	-0.5963524524135625
CCRL2	C-C motif chemokine receptor like 2	1.0245537257769528	-0.6372860929715229
GPR162	G protein-coupled receptor 162	-0.18946640921098074	-0.6393290321273322
TNFRSF9	TNF receptor superfamily member 9	-0.6563079308209813	-0.6614883867238257
IL2RB	interleukin 2 receptor subunit beta	-1.311577906717795	-0.6623410026477745
IL18R1	interleukin 18 receptor 1	-0.8869396554268528	-0.6674019539851106
TNFRSF14	TNF receptor superfamily member 14	1.6178861626081846	-0.748209054324075
IL17RB	interleukin 17 receptor B	3.6893383028935993	-0.7535540865378488
FGFR1	fibroblast growth factor receptor 1	6.363450931410288	-0.7637373021367928
C3AR1	complement C3a receptor 1	-0.560430050337261	-0.8109241111569138
ROBO2	roundabout guidance receptor 2	4.325210096880252	-0.8152848794800669
KIT	KIT proto-oncogene, receptor tyrosine kinase	1.4762987269765957	-0.8700948733879283
DDR1	discoidin domain receptor tyrosine kinase 1	4.776211922898055	-0.8830584103133672
TRAF2	TNF receptor associated factor 2	2.5173185324262866	-0.9098791025351024
IL17RA	interleukin 17 receptor A	2.6440939263285093	-0.9888553348331226
TNFRSF11B	TNF receptor superfamily member 11b	4.642837864846574	-0.99165642861887
IL12RB1	interleukin 12 receptor subunit beta 1	-1.8406291533397972	-1.0052359273686955
F2R	coagulation factor II thrombin receptor	4.312623065298775	-1.0158721657952265
IL20RB	interleukin 20 receptor subunit beta	0.20425342292776827	-1.0169443305902546
MC1R	melanocortin 1 receptor	0.06076682192688099	-1.0300453820125106
IL13RA2	interleukin 13 receptor subunit alpha 2	3.3728643637890214	-1.0539587882956996
CRLF1	cytokine receptor like factor 1	3.5937565219068963	-1.0993977481206023
ROR1	receptor tyrosine kinase like orphan receptor 1	3.590181616228534	-1.1369045863827534
MET	MET proto-oncogene, receptor tyrosine kinase	1.8861638161998207	-1.1445959826170893
FPR3	formyl peptide receptor 3	1.5970019101994681	-1.2143525244533986
PDGFRA	platelet derived growth factor receptor alpha	3.1497536217775375	-1.2158114516354812
KLB	klotho beta	0.38294386956899057	-1.2196286367329647
NPR1	natriuretic peptide receptor 1	-0.3877701886259862	-1.3025449070270902
FGFR3	fibroblast growth factor receptor 3	-0.7015059029730785	-1.3283952382378845
PTH2R	parathyroid hormone 2 receptor	2.590499025991471	-1.332646549952982
UNC5B	unc-5 netrin receptor B	4.033481148684843	-1.3952479448901962
F2RL2	coagulation factor II thrombin receptor like 2	2.4288472146850992	-1.4184723797656698
IL7R	interleukin 7 receptor	1.3194676456390704	-1.424956884419126
FGFR2	fibroblast growth factor receptor 2	2.805767084041522	-1.4303271343221107
EPHB3	EPH receptor B3	0.7893954004493104	-1.4407369280813287
ACVR1C	activin A receptor type 1C	2.7977538553818637	-1.529809493880427
GLP2R	glucagon like peptide 2 receptor	-0.5397082669469507	-1.5331383773629583
RXFP3	relaxin family peptide receptor 3	-0.8386153336318374	-1.55267200670375
EPHA1	EPH receptor A1	1.9543563941159636	-1.5760905933517069
BDKRB2	bradykinin receptor B2	0.18686815717190253	-1.5784894043897122
AXL	AXL receptor tyrosine kinase	2.6486748141956764	-1.607432707684309
EPHB2	EPH receptor B2	3.2652928594041324	-1.627904867231099
NOTCH1	notch receptor 1	0.34585051721948923	-1.647588109219806
BRS3	bombesin receptor subtype 3	0.697996166021048	-1.656247365252164
SCTR	secretin receptor	4.433809411818832	-1.6678509773142811
PRLHR	prolactin releasing hormone receptor	-0.18173841443052127	-1.678356223924259
IL10RA	interleukin 10 receptor subunit alpha	2.095867048528697	-1.696384853600425
ACKR2	atypical chemokine receptor 2	-0.18526092086542728	-1.6996079987177106
BDKRB1	bradykinin receptor B1	1.8651388755838572	-1.7287599833404759
SSTR2	somatostatin receptor 2	3.56258557689447	-1.7398027308727841
RXFP2	relaxin family peptide receptor 2	-3.2988857022214986	-1.755390401501032
EPOR	erythropoietin receptor	1.5768268493689637	-1.7835981992934757
TNFRSF10C	TNF receptor superfamily member 10c	1.375556623022401	-1.7911700446536263
PRLR	prolactin receptor	1.6952277346049154	-1.8906129493409887
CSF2RA	colony stimulating factor 2 receptor subunit alpha	0.8102621129294724	-2.0093051525625194
NOTCH4	notch receptor 4	-0.16499760516289083	-2.0254931637669964
FAS	Fas cell surface death receptor	3.413791735419338	-2.050814010082172
TNFRSF1B	TNF receptor superfamily member 1B	1.0771746231396142	-2.1072224318931587
NOTCH4	notch receptor 4	-0.2911329699585783	-2.15938979003818
IFNLR1	interferon lambda receptor 1	1.7070343856069736	-2.2256237270347556
TNFRSF6B	TNF receptor superfamily member 6b	-3.218531170395131	-2.243534825535226
IL2RG	interleukin 2 receptor subunit gamma	0.5485648585560342	-2.453601686086931
TNFRSF11A	TNF receptor superfamily member 11a	3.1770375594538405	-2.4861097438013338
EPHB4	EPH receptor B4	3.443141148112025	-2.486231052481969
UNC5A	unc-5 netrin receptor A	-1.522923704704119	-2.489357629853023
OPRM1	opioid receptor mu 1	-0.9266733145072731	-2.6039054386465676
NPR2	natriuretic peptide receptor 2	1.5888573241807338	-2.6660377091811966
CCR7	C-C motif chemokine receptor 7	0.35776592987495937	-2.6692277221398824
SSTR1	somatostatin receptor 1	2.7282840767679537	-2.706611135560236
ROR2	receptor tyrosine kinase like orphan receptor 2	0.37552326141198866	-2.7211477465966945
UNC5D	unc-5 netrin receptor D	1.6001650686724391	-2.7526657234488483
IL27RA	interleukin 27 receptor subunit alpha	0.0953168415347697	-2.823113792669722
VIPR1	vasoactive intestinal peptide receptor 1	0.8672480936993614	-2.9348684390574555
GFRA1	GDNF family receptor alpha 1	-0.2355009711741854	-2.9624752957160907
ROBO3	roundabout guidance receptor 3	-0.15299729251445116	-3.2642471679613596
EPHA4	EPH receptor A4	1.056659822721341	-3.3393095069711936
MERTK	MER proto-oncogene, tyrosine kinase	1.9561979403689145	-3.4535111115986004
ACVR2A	activin A receptor type 2A	2.7964440909529382	-3.703922976123608
CXCR5	C-X-C motif chemokine receptor 5	-0.5491345168578465	-3.7448566598369166
MTNR1B	melatonin receptor 1B	0.08844014820437177	-3.7820923940304474
GPR135	G protein-coupled receptor 135	0.6186991166788887	-3.837070770989546
IL3RA	interleukin 3 receptor subunit alpha	1.3998874772553669	-3.939828307895391
PTCH1	patched 1	3.0114133398983767	-3.9693969854607913
DYSF	dysferlin	1.5816163797880762	-4.065099590118572
AMHR2	anti-Mullerian hormone receptor type 2	-0.8623390999205209	-4.227494180050354
FLT4	fms related receptor tyrosine kinase 4	0.7032247589540953	-4.342660973107228
EPHA1	EPH receptor A1	1.9543563941159636	-4.3446220257786825
NOTCH4	notch receptor 4	-0.991111581657887	-4.547742681025524
LHCGR	luteinizing hormone/choriogonadotropin receptor	-3.3014436728222782	-4.662563101896831
IL12RB2	interleukin 12 receptor subunit beta 2	-1.3571228666745236	-5.003622855745341
ALK	ALK receptor tyrosine kinase	-0.6459541306606226	-5.014026557212532
AVPR1B	arginine vasopressin receptor 1B	-0.02585251993447458	-5.26971163490539
TNFRSF14	TNF receptor superfamily member 14	0.8755599075186191	-5.3110342956261345
TACR2	tachykinin receptor 2	-1.5037319658656543	-5.5868867528840225
CSF3R	colony stimulating factor 3 receptor	-1.7322604712228553	-6.357842174161362
RXFP4	relaxin family peptide/INSL5 receptor 4	-3.100979090420583	-8.322695129834958
TRHR	thyrotropin releasing hormone receptor	-3.1970706276316023	-9.36164694332286
MC5R	melanocortin 5 receptor	-3.1513620380952934	-9.542656496918726
GALR2	galanin receptor 2	-3.1942948151614887	-10.971434744172914
GFRA4	GDNF family receptor alpha 4	-3.321928094887362	-Inf
FZD7	frizzled class receptor 7	NA	NA
FZD8	frizzled class receptor 8	NA	NA
GPR151	G protein-coupled receptor 151	NA	NA
NPBWR1	neuropeptides B and W receptor 1	NA	NA
OR1G1	olfactory receptor family 1 subfamily G member 1	NA	NA
PROKR2	prokineticin receptor 2	NA	NA
SSTR4	somatostatin receptor 4	NA	NA
TNFRSF13C	TNF receptor superfamily member 13C	NA	NA
UTS2R	urotensin 2 receptor	NA	NA
IL1R1	interleukin 1 receptor type 1	5.6438662886046655	NA
ACVR1	activin A receptor type 1	5.416558402458065	NA
EPHA2	EPH receptor A2	2.8923502218402675	NA
FZD3	frizzled class receptor 3	2.881975832035379	NA
LIFR	LIF receptor subunit alpha	2.5385356805036725	NA
GPR75	G protein-coupled receptor 75	1.8168577098300558	NA
FZD4	frizzled class receptor 4	1.572724779564937	NA
APLNR	apelin receptor	1.2482554994516752	NA
BMPR1B	bone morphogenetic protein receptor type 1B	1.0340818653507478	NA
ACKR4	atypical chemokine receptor 4	1.0254895325970081	NA
GHR	growth hormone receptor	0.8312205844786037	NA
ACVR2B	activin A receptor type 2B	0.8027308955321567	NA
MCHR1	melanin concentrating hormone receptor 1	0.4134641040279991	NA
IGFLR1	IGF like family receptor 1	0.11358049181344745	NA
FLT3	fms related receptor tyrosine kinase 3	-0.010570302515754394	NA
UNC5C	unc-5 netrin receptor C	-0.08419613314168731	NA
TEK	TEK receptor tyrosine kinase	-0.1769354710399016	NA
IFNGR2	interferon gamma receptor 2	-0.2128183153964249	NA
AVPR1A	arginine vasopressin receptor 1A	-0.857730348638501	NA
PTCH2	patched 2	-1.286093074499841	NA
IL9R	interleukin 9 receptor	-1.325539348439741	NA
GRPR	gastrin releasing peptide receptor	-1.3408061050930515	NA
IL23R	interleukin 23 receptor	-1.4321041426777572	NA
CX3CR1	C-X3-C motif chemokine receptor 1	-1.5440139760963565	NA
EPHA8	EPH receptor A8	-1.5825984188717792	NA
NOTCH4	notch receptor 4	-1.5882266814286812	NA
NTRK1	neurotrophic receptor tyrosine kinase 1	-1.5967977322286424	NA
IL21R	interleukin 21 receptor	-1.62597881008935	NA
TNFRSF4	TNF receptor superfamily member 4	-1.6846424509901154	NA
SSTR5	somatostatin receptor 5	-1.7044885470683981	NA
NOTCH4	notch receptor 4	-1.8403708141787722	NA
FPR1	formyl peptide receptor 1	-1.8404741442920445	NA
FZD2	frizzled class receptor 2	-1.8612903628839066	NA
CXCR6	C-X-C motif chemokine receptor 6	-1.894214662520945	NA
CNTFR	ciliary neurotrophic factor receptor	-1.9145209547615893	NA
TNFRSF13B	TNF receptor superfamily member 13B	-1.9271944648675556	NA
C5AR2	complement component 5a receptor 2	-1.9643197910735135	NA
EPHA5	EPH receptor A5	-1.9998268869816669	NA
PTH1R	parathyroid hormone 1 receptor	-2.0138585143453587	NA
NTRK3	neurotrophic receptor tyrosine kinase 3	-2.029970978457555	NA
GFRA2	GDNF family receptor alpha 2	-2.07935607412021	NA
MLNR	motilin receptor	-2.1243771874674886	NA
TACR1	tachykinin receptor 1	-2.133527170284152	NA
CCR10	C-C motif chemokine receptor 10	-2.1411437038086634	NA
GALR1	galanin receptor 1	-2.142671847696855	NA
IL2RA	interleukin 2 receptor subunit alpha	-2.1635910677202617	NA
CD19	CD19 molecule	-2.1731891821498373	NA
TNFRSF18	TNF receptor superfamily member 18	-2.2709040918628953	NA
NMUR1	neuromedin U receptor 1	-2.382626280787679	NA
EPHA7	EPH receptor A7	-2.4423791518065863	NA
CRHR1	corticotropin releasing hormone receptor 1	-2.4551387805720464	NA
CRHR1	corticotropin releasing hormone receptor 1	-2.4641063024790966	NA
GNRHR	gonadotropin releasing hormone receptor	-2.479150349591925	NA
HCRTR1	hypocretin receptor 1	-2.5028321985537234	NA
CCR4	C-C motif chemokine receptor 4	-2.510539271545268	NA
GPR182	G protein-coupled receptor 182	-2.523919067273969	NA
CXCR2	C-X-C motif chemokine receptor 2	-2.5728658641487914	NA
GPR37L1	G protein-coupled receptor 37 like 1	-2.577164207934069	NA
TNFRSF17	TNF receptor superfamily member 17	-2.5793181917927765	NA
NMUR2	neuromedin U receptor 2	-2.6382765500748775	NA
OPRL1	opioid related nociceptin receptor 1	-2.6945080254861615	NA
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	-2.7152016198745494	NA
GPR1	G protein-coupled receptor 1	-2.7347551560066816	NA
GPR1	G protein-coupled receptor 1	-2.7347551560066816	NA
TACR3	tachykinin receptor 3	-2.746422126854371	NA
NPFFR1	neuropeptide FF receptor 1	-2.782694824021327	NA
OPRL1	opioid related nociceptin receptor 1	-2.8380478410732577	NA
OPRK1	opioid receptor kappa 1	-2.857573491335722	NA
FZD9	frizzled class receptor 9	-2.865227063879157	NA
NPY4R	neuropeptide Y receptor Y4	-2.8792764841121388	NA
CXCR3	C-X-C motif chemokine receptor 3	-2.9031444563756237	NA
NTRK2	neurotrophic receptor tyrosine kinase 2	-2.9479737000215596	NA
RXFP1	relaxin family peptide receptor 1	-2.9608335247110418	NA
CCR8	C-C motif chemokine receptor 8	-2.962856782599018	NA
CCR2	C-C motif chemokine receptor 2	-2.9674759343078003	NA
IL1RAPL1	interleukin 1 receptor accessory protein like 1	-2.991599167585036	NA
NMBR	neuromedin B receptor	-2.997232681298142	NA
MCHR2	melanin concentrating hormone receptor 2	-3.070845291570375	NA
NPSR1	neuropeptide S receptor 1	-3.082041294091642	NA
GHRHR	growth hormone releasing hormone receptor	-3.1060631557341223	NA
MC2R	melanocortin 2 receptor	-3.120545159023308	NA
PROKR1	prokineticin receptor 1	-3.13885451867251	NA
CCR3	C-C motif chemokine receptor 3	-3.1534144186898687	NA
TNFRSF8	TNF receptor superfamily member 8	-3.1660493621832195	NA
NPY2R	neuropeptide Y receptor Y2	-3.1785346761941744	NA
NTSR1	neurotensin receptor 1	-3.186393225126173	NA
AGTR2	angiotensin II receptor type 2	-3.214909845005242	NA
MC3R	melanocortin 3 receptor	-3.253188504215057	NA
MC4R	melanocortin 4 receptor	-3.2533260675086906	NA
NTSR2	neurotensin receptor 2	-3.254977850962735	NA
OR1E1	olfactory receptor family 1 subfamily E member 1	-3.2607740316802616	NA
AVPR2	arginine vasopressin receptor 2	-3.260912320205734	NA
HCRTR2	hypocretin receptor 2	-3.2868672979822477	NA
RXFP3	relaxin family peptide receptor 3	-3.2874306306879175	NA
CXCR1	C-X-C motif chemokine receptor 1	-3.293076089039869	NA
GALR3	galanin receptor 3	-3.2990276927772832	NA
IL22RA2	interleukin 22 receptor subunit alpha 2	-3.315737805815292	NA
NPBWR2	neuropeptides B and W receptor 2	-3.321928094887362	NA
NPBWR2	neuropeptides B and W receptor 2	-3.321928094887362	NA
