hgnc_gene_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SEC61G	8.18287699917225E-241	1.124506261	0.872	0.441	1.34469217727398E-236
RPS18	2.85443633557842E-283	1.093082248	1	0.999	4.69069523025602E-279
CDKN1A	3.79959161316285E-191	1.092166098	0.554	0.012	6.24386889791051E-187
RPS25	2.89501404832795E-202	1.077257743	0.982	0.902	4.75737658561733E-198
CD63	1.73564471728611E-289	1.071009474	0.992	0.916	2.85218496391626E-285
SAMD11	2.64518595201563E-197	1.066986838	0.699	0.18	4.34683407494728E-193
RPL7	2.49174339857414E-141	1.057997141	0.987	0.963	4.09468192687688E-137
JUNB	4.42929720605849E-155	1.050423522	0.568	0.101	7.27866409871592E-151
HLA-A	1.87296062482642E-162	1.04812742	0.822	0.487	3.07783619477726E-158
HLA-B	2.055229421558E-179	1.042675181	0.551	0.035	3.37735850844626E-175
RPL9	1.902355972833E-225	1.03972781	0.996	0.98	3.12614157015647E-221
TNFRSF12A	3.06295876752556E-177	1.038156477	0.523	0.008	5.03336014267475E-173
GSN	4.87814934527834E-213	1.032671138	0.625	0.061	8.01626281909589E-209
CHGB	2.5210285707373E-139	1.021794121	0.896	0.7	4.1428062502926E-135
HLA-C	5.95117775443273E-202	1.006641716	0.735	0.236	9.77957040385931E-198
SNHG8	3.6107076048451E-221	0.990044674	0.585	0	5.93347580704195E-217
DSTN	2.16641032635448E-242	0.989562069	0.971	0.75	3.56006208929832E-238
MT1X	8.10111453491091E-60	0.979963283	0.333	0.074	1.33125615152191E-55
C19orf70	2.56300780501835E-232	0.978261146	0.6	0	4.21179072598666E-228
SHISAL2B	1.27287316261606E-147	0.973672568	0.473	0.012	2.09171246812697E-143
H1FX	3.89109580746508E-141	0.973290088	0.447	0	6.39423774040737E-137
RPS24	1.44917385680697E-256	0.960749607	0.997	0.973	2.3814273988909E-252
IDS	2.06700299812454E-200	0.960474436	0.778	0.31	3.39670602681806E-196
LIMCH1	5.77757671664743E-196	0.959714086	0.561	0.017	9.49429181846672E-192
RPS23	2.79293207185772E-285	0.956765746	1	0.996	4.58962527368379E-281
SEPT7	7.93958433176914E-241	0.954177668	0.61	0	1.30471189323962E-236
EEF1A1	3.27519689689759E-219	0.941724072	1	1	5.38213106067182E-215
SELENOK	1.16109202090284E-150	0.930998795	0.792	0.423	1.90802251794964E-146
RPL36AL	1.91805973079751E-190	0.926797204	0.952	0.718	3.15194755561955E-186
RPS7	1.83149656919853E-239	0.915702701	0.998	0.971	3.00969831216395E-235
RPS12	9.4746682650164E-224	0.915199992	0.999	0.999	1.55697223599015E-219
RPL5	8.72010275222473E-207	0.901265156	0.997	0.991	1.43297448527309E-202
MEIS2	6.70190174461715E-184	0.897106958	0.682	0.163	1.10132351369294E-179
NUCB2	2.68450574659704E-146	0.894540326	0.787	0.424	4.41144829338291E-142
MT-ND3	2.55249176194471E-167	0.891176166	0.999	0.998	4.19450971240375E-163
RPL24	7.54750614870228E-213	0.880486992	0.995	0.975	1.24028168541625E-208
GADD45B	1.31931914977277E-104	0.872442591	0.368	0.006	2.16803715882159E-100
DDT	7.9400640512115E-204	0.870094924	0.576	0.024	1.30479072553559E-199
FOS	1.69469701572636E-100	0.868963155	0.495	0.136	2.78489560594312E-96
TIMP1	1.34014499168191E-132	0.868409229	0.806	0.487	2.20226026483089E-128
SCG2	1.06976227713627E-132	0.867777415	0.875	0.52	1.75794035001804E-128
ID1	5.7448762213923E-104	0.866893663	0.403	0.036	9.44055509461397E-100
FAM96B	3.58756548647376E-202	0.86679561	0.551	0	5.89544636392233E-198
RPL6	3.71369159905245E-151	0.850558028	0.995	0.981	6.10270940472288E-147
AES	6.13578412242936E-194	0.848670996	0.538	0	1.00829340483882E-189
ADCYAP1	1.27746205300024E-148	0.836207204	0.539	0.077	2.09925339169529E-144
HOPX	1.24781123067408E-129	0.830415634	0.631	0.231	2.05052819536672E-125
C6orf48	4.09622910056693E-170	0.825350555	0.498	0	6.73133328096163E-166
RPL15	8.43628323138751E-192	0.825117297	0.999	0.998	1.38633442341391E-187
RPL32	1.60333382532468E-151	0.820882731	0.996	0.993	2.63475847515605E-147
RPL7A	9.88513945809845E-225	0.814598848	0.999	1	1.62442496714932E-220
OAZ1	5.28460974408047E-182	0.812201825	0.981	0.89	8.68419919244744E-178
G6PC2	8.64621015465078E-114	0.809710111	0.503	0.1	1.42083171471376E-109
RPL23A	5.91011837599565E-138	0.805588746	0.993	0.989	9.71209752727365E-134
RPL14	6.92847681899736E-155	0.805178909	0.986	0.949	1.13855659566584E-150
HERPUD1	5.67666030307041E-26	0.80169703	0.72	0.553	9.3284558760356E-22
OTUD6B-AS1	6.20393817964361E-184	0.801287723	0.519	0	1.01949316106083E-179
PRSS23	8.08644580160776E-143	0.798601854	0.634	0.198	1.3288456385782E-138
RPS3A	3.00779945535824E-176	0.777150569	0.999	0.997	4.9427168449902E-172
RPL11	3.80822961732559E-167	0.776257517	0.999	0.994	6.25806373015114E-163
EIF1	1.35943632639235E-181	0.775348294	0.999	0.983	2.23396171516054E-177
DDIT3	3.98425600860163E-54	0.774393654	0.498	0.247	6.54732789893505E-50
DNAJC15	7.52137233631222E-179	0.77391859	0.51	0	1.23598711602619E-174
EPRS	1.2818120412306E-170	0.773467871	0.496	0	2.10640172735425E-166
RPL38	4.2423866417471E-121	0.767648071	0.919	0.745	6.97151396838301E-117
RPL19	7.42552112444394E-128	0.767116491	0.998	0.999	1.22023588637987E-123
MT1E	5.16471314371971E-54	0.765107771	0.245	0.019	8.4871731090746E-50
RPL12	2.72808634782786E-93	0.750820614	0.958	0.889	4.48306429538552E-89
DHRS2	9.91062302974048E-88	0.747636484	0.734	0.44	1.62861268247725E-83
DNAJB9	2.30478261972671E-97	0.73575199	0.642	0.318	3.78744927899691E-93
RPL37A	1.31276850746375E-124	0.7352589	0.997	0.987	2.15727248831518E-120
H2AFJ	6.41439214944074E-153	0.733590416	0.464	0	1.0540770619176E-148
MT-ND1	3.50490882572548E-145	0.729198496	0.999	0.998	5.75961667331469E-141
FAM213A	3.49735398616546E-157	0.726651368	0.471	0	5.7472018054657E-153
RPL10A	7.88948200692102E-86	0.724989192	0.959	0.917	1.29647857819733E-81
PYURF	5.41334601549435E-160	0.724933232	0.475	0	8.89575150726187E-156
HIST1H4C	6.93190760590247E-141	0.723125526	0.44	0	1.13912037687795E-136
BMP5	1.46495295324152E-132	0.715332123	0.444	0.018	2.40735718806179E-128
BTG3	5.29232585471222E-124	0.713958312	0.561	0.153	8.69687907704859E-120
TOMM7	1.0459372706671E-118	0.700130487	0.896	0.651	1.71878871688725E-114
SPCS2	2.59326016031033E-125	0.695111879	0.854	0.577	4.26150442143797E-121
RPL4	5.50058431256174E-53	0.691959566	0.91	0.85	9.03911020083271E-49
RPL30	2.87336728226161E-169	0.68826737	0.998	0.994	4.7218044549405E-165
C9orf3	9.90144384283323E-139	0.687654047	0.435	0	1.62710426669278E-134
RPL27A	2.32072681562609E-84	0.684337725	0.993	0.991	3.81365037611836E-80
PEMT	7.46215199290881E-85	0.684232507	0.685	0.38	1.2262554369947E-80
RPS20	1.39252545606736E-63	0.681514307	0.976	0.955	2.28833708195549E-59
ZBTB20	1.7227986167213E-108	0.679615965	0.756	0.441	2.83107496685811E-104
SEPT2	4.92434777277368E-151	0.676879441	0.457	0	8.09218069499899E-147
RHOBTB3	2.63534458739076E-92	0.669228571	0.653	0.339	4.33066176045924E-88
MYDGF	5.07751381900546E-87	0.66882301	0.699	0.42	8.34387845877167E-83
RPS27L	1.11048132744953E-85	0.666451198	0.722	0.451	1.82485396539782E-81
PGAM1	1.17759682779125E-117	0.664379252	0.565	0.174	1.93514486710936E-113
C2CD4A	3.53884921596152E-91	0.663549644	0.377	0.039	5.81539091658956E-87
LAPTM4A	8.65013614045442E-117	0.656241675	0.734	0.386	1.42147687196087E-112
SCGB2A1	1.69814976548764E-103	0.653808314	0.373	0.012	2.79056950962584E-99
MINOS1	4.09411760575302E-139	0.652575728	0.434	0	6.72786346153394E-135
KCNQ1OT1	3.39399343589456E-115	0.650061306	0.384	0	5.57734941320553E-111
RPS15A	1.81152516185395E-60	0.649360294	0.983	0.983	2.9768792984746E-56
HIST1H1C	4.47944956354542E-99	0.648863883	0.346	0	7.36107946777419E-95
RASD1	1.56173855312383E-99	0.646860018	0.372	0.02	2.56640496434839E-95
SARS	4.0271010410618E-128	0.632119066	0.411	0	6.61773514077686E-124
H2AFY	8.1027381034416E-139	0.631994762	0.432	0	1.33152295253856E-134
CIRBP	8.29329052509664E-86	0.631111863	0.938	0.847	1.36283643198913E-81
ATP5MG	6.28027955876203E-100	0.630721339	0.896	0.67	1.03203833989136E-95
COX17	9.27441357907675E-100	0.629810189	0.817	0.572	1.52406438344968E-95
RPL35A	2.22875024857192E-86	0.626529778	0.989	0.981	3.66250528347824E-82
RPL27	2.82629865860739E-85	0.625711868	0.957	0.884	4.64445658568953E-81
CALD1	5.32267996069493E-96	0.623901489	0.54	0.176	8.74675997940997E-92
MT-CO3	1.42728321704504E-116	0.623277409	1	1	2.34545451057012E-112
ARF4	3.56627773805437E-82	0.620559121	0.598	0.293	5.86046420694475E-78
RPL37	2.13445210105167E-101	0.616937328	0.977	0.918	3.5075451376582E-97
FAU	3.43547617976206E-130	0.613970618	0.995	0.989	5.645518006203E-126
NFIC	1.26606401087134E-102	0.61393553	0.611	0.256	2.08052298906487E-98
CIB1	1.38020699197135E-86	0.613916034	0.664	0.361	2.26809414990652E-82
HADH	3.30416244506618E-89	0.613470374	0.676	0.332	5.42973014597725E-85
ZNF667-AS1	2.83302725264427E-128	0.613195435	0.41	0	4.65551368427033E-124
RPLP2	1.50722425173441E-35	0.606337308	0.983	0.98	2.47682161287515E-31
SNHG7	9.29150001057391E-106	0.606252104	0.362	0	1.52687219673761E-101
AQP3	1.59171930176868E-66	0.603780068	0.301	0.034	2.61567232859646E-62
ILF3-DT	6.01148133493991E-120	0.603655563	0.393	0	9.87866727770675E-116
RPL35	7.13504104351902E-89	0.600679148	0.988	0.973	1.17250129468148E-84
EEF1B2	4.50339840210406E-78	0.600313186	0.905	0.755	7.4004345941776E-74
MAFA	1.07953784284871E-88	0.595991373	0.334	0.011	1.77400453715328E-84
POLR2J3-1	1.98777368079308E-118	0.593286257	0.39	0	3.26650848964728E-114
SYNE2	6.24394232899652E-95	0.592957311	0.486	0.132	1.026067042924E-90
EPB41L4A-AS1	1.21458858965254E-111	0.591209816	0.375	0	1.99593342937602E-107
SELENOF	4.83115615673772E-103	0.591060772	0.605	0.25	7.93903891236709E-99
RPS21	1.13649819113954E-90	0.590830525	0.918	0.751	1.8676074774996E-86
RPL13A	8.36165124405261E-29	0.589164006	0.999	1	1.37407014893517E-24
C2CD4B	4.39732281373832E-61	0.586965675	0.316	0.058	7.22612057981618E-57
ISCU	2.32022330543876E-98	0.581123066	0.596	0.25	3.81282295782752E-94
ERLEC1	5.22292376001188E-83	0.579546792	0.678	0.396	8.58283061482753E-79
RPL41	1.70268123892806E-56	0.577523652	1	1	2.79801607993049E-52
SSR3	4.19090690331609E-85	0.576612661	0.695	0.405	6.88691731421933E-81
RPS29	1.55348330419011E-76	0.575966174	0.875	0.698	2.55283911377562E-72
SORL1	1.00159181414784E-95	0.574772983	0.511	0.153	1.64591582818915E-91
DAD1	1.10987006210888E-85	0.573167719	0.788	0.529	1.82384947306353E-81
NORAD	6.25006638682075E-115	0.572839484	0.381	0	1.02707340934625E-110
TPT1	1.1088858172939E-66	0.572525973	0.999	1	1.82223206355907E-62
DYNLT3	3.14557797715167E-91	0.569700021	0.546	0.201	5.16912828985334E-87
NACA	3.97872276909176E-94	0.563135639	0.959	0.862	6.53823512644849E-90
RPL39	1.12169832165341E-72	0.559104825	0.954	0.895	1.84328685197304E-68
TMEM258	8.85118874492279E-80	0.55772491	0.731	0.466	1.45451584645316E-75
SPCS1	1.19971590655455E-87	0.557698761	0.853	0.611	1.9714931492411E-83
CSTB	4.7081981113359E-80	0.554409424	0.834	0.604	7.73698195635828E-76
NAA20	5.92239568633243E-91	0.553158578	0.616	0.274	9.73227283135008E-87
CHCHD2	1.61592836987295E-82	0.552633028	0.955	0.833	2.65545509021222E-78
TMED2	3.65555993804025E-80	0.55134817	0.694	0.409	6.00718164618154E-76
PDIA6	1.55298127112755E-57	0.548057045	0.777	0.559	2.5520141228439E-53
RPS17	1.22739644326093E-64	0.546302964	0.36	0.09	2.01698057521069E-60
GEM	9.68646520305939E-88	0.541301359	0.326	0.008	1.59177682681875E-83
MT-ND2	4.70522745413647E-117	0.53559631	0.999	0.998	7.73210027538246E-113
LARS	1.97002129262844E-108	0.534683829	0.365	0	3.23733599017631E-104
RPS10	4.33691031825539E-71	0.53464911	0.506	0.215	7.12684472598908E-67
RPS4Y1	2.69617504126959E-58	0.533811799	0.787	0.562	4.43062444531832E-54
RPLP1	9.49843712827069E-113	0.533548183	1	1	1.56087817328872E-108
ID3	5.86355696266094E-53	0.531877912	0.25	0.025	9.63558315674073E-49
GABPB1-AS1	6.5784275450164E-102	0.529354695	0.35	0	1.08103299847254E-97
KIAA1324	1.18939373270854E-107	0.529221214	0.363	0	1.95453072095994E-103
PLA2G16	2.08683426605652E-106	0.526749587	0.36	0	3.42929474941068E-102
RPS13	2.07790289728842E-76	0.521716819	0.995	0.991	3.41461783111406E-72
RPS27	5.34102407463371E-49	0.518570554	0.991	0.988	8.77690486184558E-45
UQCRB	1.07068719063191E-65	0.517027505	0.926	0.796	1.75946026036542E-61
PDCD6	1.62278143559092E-93	0.516308314	0.473	0.123	2.66671673310655E-89
EDN3	7.72261875808655E-61	0.50892253	0.238	0	1.26905794051636E-56
CASC4	1.54823866398214E-100	0.502681639	0.346	0	2.54422059652184E-96
PLP2	1.76103882948421E-69	0.502120565	0.61	0.329	2.8939151084914E-65
NDUFC2	6.14406934518856E-75	0.501586712	0.665	0.377	1.00965491549484E-70
GAD2	4.45432735294308E-38	0.499687441	0.815	0.667	7.31979613909137E-34
PPA1	1.83480135459349E-71	0.496837589	0.791	0.561	3.01512906600348E-67
C8orf59	7.6748830092987E-100	0.496174638	0.344	0	1.26121352491806E-95
HSPB1	2.54337328880831E-24	0.486855137	0.278	0.13	4.17952532549869E-20
THUMPD3-AS1	4.5556351154051E-94	0.486307207	0.33	0	7.4862751851452E-90
SOD1	1.1195366184998E-56	0.485637868	0.819	0.63	1.83973452518073E-52
MANF	3.77744697355331E-21	0.485016469	0.671	0.532	6.20747861164015E-17
PRG4	2.26276187596784E-35	0.480416328	0.149	0	3.71839659077795E-31
PRDX1	1.07217225893272E-64	0.480104934	0.721	0.47	1.76190067310414E-60
SLC30A8	1.51598783856775E-51	0.476909539	0.863	0.722	2.49122281511839E-47
SELENOH	4.53782245842944E-76	0.4726166	0.436	0.128	7.4570036459371E-72
H2AFV	1.52632968984707E-92	0.470822454	0.326	0	2.50821757932569E-88
NARS	3.49909624366243E-91	0.469536118	0.322	0	5.75006485721047E-87
ACAT1	1.92822446188904E-56	0.466718448	0.503	0.248	3.16865125822226E-52
RPS14	9.94444883127361E-54	0.460197819	0.999	0.999	1.63417127644319E-49
HINT2	2.19379129585195E-77	0.459000384	0.398	0.09	3.6050572364735E-73
H1F0	1.3355895003716E-79	0.457240844	0.292	0	2.19477422596066E-75
ARID5B	3.12323439839614E-56	0.455626589	0.471	0.205	5.13241108688438E-52
AC097376.2	1.73239937028729E-86	0.455169695	0.31	0	2.84685188519311E-82
AGPAT2	4.48381409335832E-38	0.453573341	0.401	0.204	7.36825169961573E-34
DNAJC12	1.25854643937993E-56	0.453232991	0.812	0.577	2.06816936383305E-52
DARS	5.01742402095708E-87	0.449361666	0.311	0	8.24513289363877E-83
GPX2	1.19717811057488E-47	0.44901037	0.342	0.112	1.96732278910769E-43
RPS3	2.20501955719791E-47	0.448643555	0.998	1	3.62350863834333E-43
GSTO1	7.71583883692905E-62	0.448223731	0.504	0.232	1.26794379607255E-57
TRMT112	7.10256511781884E-53	0.448125751	0.68	0.47	1.16716452581117E-48
FTX	8.51986772093954E-82	0.447102545	0.298	0	1.40006986258199E-77
OSTC	5.08291991253012E-50	0.442283208	0.672	0.457	8.35276229226074E-46
MARCH6	1.23559570515854E-84	0.440516826	0.305	0	2.03045442228704E-80
LINC00511	8.67785105184662E-82	0.439345245	0.298	0	1.42603126334996E-77
EBLN3P	2.74881601028737E-82	0.431903058	0.299	0	4.51712934970523E-78
SBDS	4.99126391787012E-57	0.430541363	0.601	0.345	8.20214399623596E-53
IARS	5.72234244383314E-78	0.429580654	0.287	0	9.403525337951E-74
WARS	4.10047519195685E-66	0.428650644	0.253	0	6.73831088294269E-62
POLR2K	3.23599840523534E-59	0.42780798	0.551	0.281	5.31771617932323E-55
HAX1	3.26551373198376E-49	0.426312049	0.59	0.361	5.36621871576892E-45
ATP6V1G1	3.47860555029811E-59	0.424824269	0.947	0.856	5.71639250080489E-55
BTG2	5.93798943805754E-24	0.423415652	0.368	0.214	9.75789804355996E-20
OLMALINC	1.40901000553407E-74	0.422339381	0.278	0	2.31542614209414E-70
C12orf10	2.27209304951129E-79	0.421979956	0.291	0	3.7337305082619E-75
ID4	3.11710820200897E-26	0.4207063	0.44	0.285	5.12234390836135E-22
RPL13	3.32753146817824E-65	0.420644253	1	1	5.4681324616573E-61
MTRNR2L8	8.60988251394782E-26	0.420291459	0.874	0.818	1.41486199351705E-21
TMED9	1.03191099152289E-40	0.420038833	0.571	0.366	1.69573933236957E-36
NANS	3.82028478846604E-58	0.419985826	0.407	0.143	6.27787399288625E-54
NDUFB3	8.75501046306613E-59	0.419772268	0.555	0.29	1.43871086939566E-54
SLIRP	4.91150740745236E-49	0.418742193	0.637	0.415	8.07108012266646E-45
FTH1	5.93154710645816E-05	0.41867853	0.993	1	0.974731136
NDUFB4	7.19399744821726E-55	0.418403382	0.79	0.562	1.18218960066554E-50
WNT4	1.97987486456846E-34	0.41815739	0.555	0.363	3.25352836494536E-30
SDF2L1	3.9660560325663E-25	0.416039617	0.66	0.475	6.5174198783162E-21
DNAJC3	4.85656268146555E-44	0.413865411	0.608	0.389	7.98078945445235E-40
PLOD2	6.08870644239486E-53	0.411533195	0.375	0.127	1.00055712967875E-48
BUD23	3.16183132449537E-51	0.404846667	0.478	0.231	5.19583741554324E-47
ADGRG1	2.26312616034168E-43	0.404457678	0.506	0.281	3.71899521928949E-39
HMGB2	2.87009117683249E-74	0.40429682	0.295	0.012	4.71642083088883E-70
PIGP	5.52848148102545E-52	0.403086167	0.494	0.246	9.08495361776913E-48
TSTA3	2.88052133686868E-75	0.402874009	0.279	0	4.7335607128763E-71
KRT10	1.14054465929725E-26	0.400835525	0.641	0.523	1.87425703862317E-22
TARS	2.84817947199921E-73	0.398971134	0.273	0	4.68041332633631E-69
REEP5	2.70810601356061E-46	0.398740085	0.706	0.516	4.45023061208416E-42
GADD45A	3.33058467765766E-29	0.397942079	0.421	0.254	5.47314980079483E-25
GREM1	1.41869900250597E-54	0.394713091	0.241	0.016	2.33134807081807E-50
PSMA3-AS1	2.6269428282724E-74	0.394105132	0.276	0	4.31685514970003E-70
PIM3	1.41781170573111E-59	0.39408312	0.314	0.059	2.32988997602794E-55
TXN	2.10085905183401E-38	0.391632923	0.703	0.508	3.45234167987882E-34
RGS16	3.2543668422025E-32	0.390417479	0.33	0.145	5.34790103179137E-28
SNHG19	3.20839815728613E-66	0.385540719	0.253	0	5.2723606918683E-62
TP53TG1	4.9974842287965E-69	0.38487697	0.261	0	8.21236583318129E-65
CHMP2A	3.42393646769798E-42	0.383968262	0.668	0.474	5.62655479736809E-38
RPL8	1.12855444270356E-33	0.383270772	0.998	0.999	1.85455351569476E-29
HIST1H2AC	1.51743288237203E-57	0.381775431	0.226	0	2.49359745560196E-53
ANXA5	1.86665972289114E-33	0.38087424	0.68	0.498	3.06748192262701E-29
AC027644.3	3.14991330926826E-69	0.380000125	0.262	0	5.17625254112053E-65
SLC39A1	7.74282843225191E-69	0.378444938	0.26	0	1.27237899627196E-64
PCP4	6.79695495696276E-49	0.37756881	0.708	0.432	1.11694360807769E-44
TMED10	1.17910677020812E-42	0.376237711	0.756	0.561	1.93762615548301E-38
RPA3	6.12974818915492E-57	0.375140578	0.364	0.107	1.00730151992383E-52
COX7A1	4.74687429231121E-55	0.37454962	0.218	0	7.80053852455501E-51
AC245297.3	3.57557791961703E-68	0.37250501	0.258	0	5.87574719530667E-64
CD9	1.21425152838185E-52	0.370949778	0.22	0.006	1.99537953658989E-48
SPRYD3	6.63360710111721E-54	0.369330025	0.365	0.114	1.09010065492659E-49
DHPS	6.0042326191099E-64	0.368332869	0.286	0.028	9.86675546298329E-60
RPL3	7.9232519658448E-53	0.368278032	1	1	1.30202799554728E-48
FAM173A	5.11403887854844E-62	0.368183218	0.24	0	8.40390008911866E-58
SOCS2	2.73877222368441E-57	0.368125278	0.283	0.04	4.50062439518059E-53
SERP1	3.51492206154502E-19	0.367954412	0.595	0.478	5.77607142373694E-15
EIF3J-DT	4.76493543226932E-67	0.367847365	0.255	0	7.83021839584818E-63
ASNA1	5.6660715937212E-68	0.367324771	0.258	0	9.31105544996206E-64
TMEM208	3.48904134492594E-39	0.366810641	0.681	0.499	5.7335416421168E-35
COX6C	2.37983088383966E-40	0.366179706	0.857	0.715	3.91077609141372E-36
C19orf24	9.8037782685095E-64	0.365643722	0.245	0	1.61105488286417E-59
NDUFAF2	1.89761295979406E-50	0.364924912	0.38	0.137	3.11834737682958E-46
KARS	1.6633682323835E-65	0.364708958	0.25	0	2.7334130162758E-61
SSSCA1	1.3274140029217E-66	0.363324396	0.254	0	2.18133943100124E-62
AC084033.3	3.93272395013649E-63	0.362350665	0.243	0	6.4626452672593E-59
SMIM37	2.03023200100249E-65	0.362313201	0.25	0	3.33628024724739E-61
PSMB1	1.18604989198517E-42	0.361478332	0.837	0.642	1.94903578749922E-38
MRPL33	8.34530416562515E-43	0.361191821	0.536	0.314	1.37138383353718E-38
RAMMET	1.21074070301284E-66	0.359650744	0.254	0	1.989610197261E-62
HMGN2	9.43251597051808E-35	0.359582563	0.615	0.44	1.55004534943524E-30
LINC00467	3.55928272262612E-64	0.35694576	0.246	0	5.84896929809151E-60
MRPL51	1.78032888470548E-42	0.355811545	0.67	0.467	2.92561445623651E-38
SUPT4H1	8.78459344370848E-65	0.35419802	0.248	0	1.44357224060461E-60
EMP3	5.74194952590687E-50	0.353949436	0.223	0.015	9.43574565592275E-46
STAT3	2.09134941299483E-40	0.352839716	0.556	0.343	3.4367144903744E-36
ATP5PD	4.98553083769024E-40	0.352527384	0.541	0.333	8.19272282557638E-36
ENO1	1.60699707860085E-30	0.351896694	0.873	0.78	2.64077829926478E-26
SKP1	2.94600064222977E-38	0.351461976	0.883	0.742	4.84116285537618E-34
EXPH5	2.71584602101378E-55	0.350961729	0.236	0.011	4.46294976633195E-51
IGFBP7	5.69031262310491E-49	0.350960209	0.227	0.019	9.35089073354829E-45
CEBPD	1.83236764329967E-50	0.350381005	0.213	0.007	3.01112974823434E-46
ARL1.00	4.80654072869362E-37	0.348880594	0.564	0.37	7.89858837946223E-33
SELENOS	1.02763177138193E-21	0.348019447	0.467	0.318	1.68870728991192E-17
ANXA11	1.07035864887664E-42	0.347888206	0.393	0.171	1.75892036769898E-38
PCSK1	6.62390338211576E-33	0.347660506	0.741	0.547	1.08850604278308E-28
LAPTM4B	2.48452088521238E-32	0.347218943	0.437	0.253	4.0828131706695E-28
KCNK3	5.04477175331359E-53	0.346736609	0.299	0.062	8.29007342222022E-49
RPS16	2.14029730414754E-25	0.344307457	0.955	0.941	3.51715055990565E-21
GARS	1.93030433764185E-58	0.34402737	0.229	0	3.17206911804685E-54
SCD5	9.8374674853082E-58	0.343109658	0.24	0.009	1.6165910318607E-53
PEBP1	1.82337376188656E-42	0.342811397	0.938	0.882	2.99635010290818E-38
GNL3	7.0908827994198E-23	0.342683749	0.409	0.256	1.16524477042866E-18
METTL5	1.10000339685383E-45	0.341679117	0.438	0.201	1.8076355820499E-41
PUS7L	9.63280889979876E-62	0.341292906	0.239	0	1.58295948650393E-57
RPS8	2.84321839821355E-22	0.340024401	0.998	1	4.67226079378433E-18
PRDX4	7.22839755341746E-33	0.337754508	0.613	0.416	1.18784256995309E-28
TMSB4X	0.071496609	0.337045283	0.812	0.869	1
GNG4	1.22672078229772E-24	0.334464049	0.626	0.476	2.01587026154984E-20
JTB	5.74176593780334E-36	0.333798157	0.667	0.479	9.43544396559222E-32
TROVE2	3.36251359359089E-60	0.333402329	0.234	0	5.5256185883479E-56
SEPT11	1.15109690328858E-58	0.332637663	0.229	0	1.89159754117413E-54
SRPRA	2.84810756841186E-30	0.33180719	0.515	0.333	4.6802951671712E-26
SELENOM	2.03450924197223E-26	0.33068921	0.371	0.203	3.34330903733297E-22
LINC02001	1.68773201411043E-60	0.330571039	0.235	0	2.77345001878768E-56
MEG8	3.53216287428241E-55	0.329651588	0.218	0	5.80440325130829E-51
SCN1B	2.78552402813604E-48	0.329181015	0.226	0.02	4.57745163543596E-44
EGR1	1.14711529958931E-24	0.328969117	0.305	0.152	1.88505457181511E-20
BHLHE41	6.17474586699155E-55	0.328612481	0.226	0.006	1.01469598832272E-50
KCNK1	8.89976523534744E-47	0.328430093	0.276	0.061	1.46249842112465E-42
SEC61B	2.95017837971496E-33	0.327475696	0.935	0.856	4.8480281313856E-29
