source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Acinar	Duct	TGFB1	TGFbR1_R2	1.7998787092814943e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Duct	TGFB1	TGFbR1_R2	1.447519345160253e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Duct	TGFB1	TGFbR1_R2	2.4581426257378484e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Duct	TGFB1	TGFbR1_R2	2.561665192432992e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Duct	TGFB1	TGFbR1_R2	1.512823720533185e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Duct	TGFB1	TGFbR1_R2	1.3273673748182155e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Duct	TGFB1	TGFbR1_R2	2.049612973455314e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Endothelial	TGFB1	TGFbR1_R2	4.702178124744436e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Endothelial	TGFB1	TGFbR1_R2	9.13040848803383e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Endothelial	TGFB1	TGFbR1_R2	4.4853955311335847e-014	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Endothelial	TGFB1	TGFbR1_R2	3.490725202369743e-13	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Endothelial	TGFB1	TGFbR1_R2	6.5793821914856125e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Endothelial	TGFB1	TGFbR1_R2	5.291347107285488e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Endothelial	TGFB1	TGFbR1_R2	8.985638717358861e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Endothelial	TGFB1	TGFbR1_R2	9.364061178995586e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Endothelial	TGFB1	TGFbR1_R2	5.530064550961285e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Endothelial	TGFB1	TGFbR1_R2	4.852136548334327e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Endothelial	TGFB1	TGFbR1_R2	7.492275467293982e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Pericytes	TGFB1	TGFbR1_R2	1.5949963834395822e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Pericytes	TGFB1	TGFbR1_R2	3.0970686629504574e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Pericytes	TGFB1	TGFbR1_R2	1.521462918058933e-13	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Pericytes	TGFB1	TGFbR1_R2	1.1840670272944333e-12	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Pericytes	TGFB1	TGFbR1_R2	2.2317510146137388e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Pericytes	TGFB1	TGFbR1_R2	1.794844702968353e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Pericytes	TGFB1	TGFbR1_R2	3.0479622159792177e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Pericytes	TGFB1	TGFbR1_R2	3.1763245284425865e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Pericytes	TGFB1	TGFbR1_R2	1.8758185515159694e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Pericytes	TGFB1	TGFbR1_R2	1.645862840836373e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Pericytes	TGFB1	TGFbR1_R2	2.5414078235626852e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Acinar	TGFB1	TGFbR1_R2	1.167424581785768e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Acinar	TGFB1	TGFbR1_R2	2.266835289507684e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Acinar	TGFB1	TGFbR1_R2	1.1136032843434472e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Acinar	TGFB1	TGFbR1_R2	8.666533472428654e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Acinar	TGFB1	TGFbR1_R2	1.633483951441201e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Acinar	TGFB1	TGFbR1_R2	1.3136994218088757e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Acinar	TGFB1	TGFbR1_R2	2.2308928422631474e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Acinar	TGFB1	TGFbR1_R2	2.3248449793902174e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Acinar	TGFB1	TGFbR1_R2	1.3729665538546313e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Acinar	TGFB1	TGFbR1_R2	1.2046552321779403e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Acinar	TGFB1	TGFbR1_R2	1.8601308418861906e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	INS/SST	TGFB1	TGFbR1_R2	3.3945997765976785e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	INS/SST	TGFB1	TGFbR1_R2	6.591430990408533e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	INS/SST	TGFB1	TGFbR1_R2	3.2380999331814705e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	INS/SST	TGFB1	TGFbR1_R2	2.520026822178878e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	INS/SST	TGFB1	TGFbR1_R2	4.74979227194434e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	INS/SST	TGFB1	TGFbR1_R2	3.819933067509722e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	INS/SST	TGFB1	TGFbR1_R2	6.486918694458753e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	INS/SST	TGFB1	TGFbR1_R2	5.408828834705019e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	INS/GCG	TGFB1	TGFbR1_R2	4.887419285663279e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	INS/GCG	TGFB1	TGFbR1_R2	9.490098704634339e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	INS/GCG	TGFB1	TGFbR1_R2	4.662096595731124e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	INS/GCG	TGFB1	TGFbR1_R2	3.6282414722430744e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	INS/GCG	TGFB1	TGFbR1_R2	6.838575349246167e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	INS/GCG	TGFB1	TGFbR1_R2	5.499798436563058e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	INS/GCG	TGFB1	TGFbR1_R2	9.339625763954589e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	PPY	TGFB1	TGFbR1_R2	8.186181759003894e-19	0.03	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	PPY	TGFB1	TGFbR1_R2	1.5895438546660934e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	PPY	TGFB1	TGFbR1_R2	7.80877757361536e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	PPY	TGFB1	TGFbR1_R2	6.07712218277189e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	PPY	TGFB1	TGFbR1_R2	1.1454270139212758e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Delta	TGFB1	TGFbR1_R2	4.32580135826678e-18	0.03	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Delta	TGFB1	TGFbR1_R2	8.399582574594426e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Delta	TGFB1	TGFbR1_R2	4.1263707096646093e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Delta	TGFB1	TGFbR1_R2	3.211316846668824e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Delta	TGFB1	TGFbR1_R2	6.052748251242027e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Beta	TGFB1	TGFbR1_R2	4.8746923429791833e-17	0.03	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Beta	TGFB1	TGFbR1_R2	9.465386287872079e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Beta	TGFB1	TGFbR1_R2	4.649956398079916e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Beta	TGFB1	TGFbR1_R2	3.6187934550948485e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Beta	TGFB1	TGFbR1_R2	6.820767555108443e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Alpha	TGFB1	TGFbR1_R2	4.3181020151379907e-17	0.03	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Alpha	TGFB1	TGFbR1_R2	8.384632450207223e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Alpha	TGFB1	TGFbR1_R2	4.119026326199073e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Alpha	TGFB1	TGFbR1_R2	3.2056011356939614e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Alpha	TGFB1	TGFbR1_R2	6.04197517550438e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Immune	TGFB2	TGFbR1_R2	6.354252595008336e-19	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Immune	TGFB2	TGFbR1_R2	3.1112083203382935e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Immune	TGFB2	TGFbR1_R2	5.983575259073891e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Immune	TGFB2	TGFbR1_R2	6.699080189617149e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Immune	TGFB2	TGFbR1_R2	8.673328938861048e-18	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Immune	TGFB2	TGFbR1_R2	8.247693360166973e-19	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Immune	TGFB2	TGFbR1_R2	1.1829181879627507e-18	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Immune	TGFB2	TGFbR1_R2	1.2327357720707152e-19	0.04	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Immune	TGFB2	TGFbR1_R2	7.280076735426917e-19	0.04	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Immune	TGFB2	TGFbR1_R2	6.387615565264141e-18	0.04	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Immune	TGFB2	TGFbR1_R2	9.863237548538035e-18	0.03	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Duct	TGFB2	TGFbR1_R2	1.8863349152054896e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Duct	TGFB2	TGFbR1_R2	9.235989277071277e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Duct	TGFB2	TGFbR1_R2	1.7762949709923243e-15	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Duct	TGFB2	TGFbR1_R2	1.988701058453171e-14	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Duct	TGFB2	TGFbR1_R2	2.574780112028136e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Duct	TGFB2	TGFbR1_R2	2.4484251644977097e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Duct	TGFB2	TGFbR1_R2	3.5116323224841947e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Duct	TGFB2	TGFbR1_R2	3.659521703475972e-18	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Duct	TGFB2	TGFbR1_R2	2.1611767436190666e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Duct	TGFB2	TGFbR1_R2	1.8962391068833296e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Duct	TGFB2	TGFbR1_R2	2.9280185335080316e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Endothelial	TGFB2	TGFbR1_R2	6.895419277353594e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Endothelial	TGFB2	TGFbR1_R2	3.376177686838733e-15	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Endothelial	TGFB2	TGFbR1_R2	6.493172811542228e-15	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Endothelial	TGFB2	TGFbR1_R2	7.269614480310166e-14	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Endothelial	TGFB2	TGFbR1_R2	9.412002225175844e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Endothelial	TGFB2	TGFbR1_R2	8.950116939666674e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Endothelial	TGFB2	TGFbR1_R2	1.283662673913073e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Endothelial	TGFB2	TGFbR1_R2	1.3377230255716968e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Endothelial	TGFB2	TGFbR1_R2	7.900092215666154e-17	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Endothelial	TGFB2	TGFbR1_R2	6.931623640482612e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Endothelial	TGFB2	TGFbR1_R2	1.0703250667576575e-15	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Pericytes	TGFB2	TGFbR1_R2	2.3389519745657123e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Pericytes	TGFB2	TGFbR1_R2	1.145212082035897e-14	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Pericytes	TGFB2	TGFbR1_R2	2.202508470916464e-14	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Pericytes	TGFB2	TGFbR1_R2	2.465880385155413e-13	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Pericytes	TGFB2	TGFbR1_R2	3.192586310382037e-15	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Pericytes	TGFB2	TGFbR1_R2	3.035913096302733e-16	0	TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
