yourlist:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	isomap:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000162104		O60503	ADCY9_HUMAN	reviewed	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)	ADCY9 KIAA0520	Homo sapiens (Human)	1353
ENSG00000162104		I3L300	I3L300_HUMAN	unreviewed	Adenylate cyclase type 9 (Fragment)	ADCY9	Homo sapiens (Human)	215
ENSG00000162104		I3L342	I3L342_HUMAN	unreviewed	Adenylate cyclase type 9 (Fragment)	ADCY9	Homo sapiens (Human)	72
ENSG00000162104		I3NI20	I3NI20_HUMAN	unreviewed	Adenylate cyclase type 9 (Fragment)	ADCY9	Homo sapiens (Human)	257
ENSG00000078549	ENSG00000078549 -> P41586-1;P41586-2;P41586-3	P41586	PACR_HUMAN	reviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	ADCYAP1R1	Homo sapiens (Human)	468
ENSG00000078549		C9JVH3	C9JVH3_HUMAN	unreviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (Fragment)	ADCYAP1R1	Homo sapiens (Human)	74
ENSG00000078549		E9PFU5	E9PFU5_HUMAN	unreviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor	ADCYAP1R1	Homo sapiens (Human)	524
ENSG00000078549		H0Y813	H0Y813_HUMAN	unreviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (Fragment)	ADCYAP1R1	Homo sapiens (Human)	147
ENSG00000159346		Q96A54	PAQR1_HUMAN	reviewed	Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I)	ADIPOR1 PAQR1 TESBP1A CGI-45	Homo sapiens (Human)	375
ENSG00000159346		C9J0W7	C9J0W7_HUMAN	unreviewed	Adiponectin receptor protein 1 (Fragment)	ADIPOR1	Homo sapiens (Human)	205
ENSG00000159346		C9JNM5	C9JNM5_HUMAN	unreviewed	Adiponectin receptor protein 1 (Fragment)	ADIPOR1	Homo sapiens (Human)	266
ENSG00000159346		F8W782	F8W782_HUMAN	unreviewed	Adiponectin receptor protein 1	ADIPOR1	Homo sapiens (Human)	171
ENSG00000285070,ENSG00000006831		Q86V24	PAQR2_HUMAN	reviewed	Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II)	ADIPOR2 PAQR2	Homo sapiens (Human)	386
ENSG00000163485	ENSG00000163485 -> P30542-1;P30542-2	P30542	AA1R_HUMAN	reviewed	Adenosine receptor A1	ADORA1	Homo sapiens (Human)	326
ENSG00000163485		A0A087X173	A0A087X173_HUMAN	unreviewed	Adenosine receptor A1	ADORA1	Homo sapiens (Human)	210
ENSG00000170425		P29275	AA2BR_HUMAN	reviewed	Adenosine receptor A2b	ADORA2B	Homo sapiens (Human)	332
ENSG00000150594		P08913	ADA2A_HUMAN	reviewed	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A ADRA2R ADRAR	Homo sapiens (Human)	465
ENSG00000274286		P18089	ADA2B_HUMAN	reviewed	Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	ADRA2B ADRA2L1 ADRA2RL1	Homo sapiens (Human)	450
ENSG00000169252		P07550	ADRB2_HUMAN	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	Homo sapiens (Human)	413
ENSG00000188778		P13945	ADRB3_HUMAN	reviewed	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	ADRB3 ADRB3R B3AR	Homo sapiens (Human)	408
ENSG00000106541		O95994	AGR2_HUMAN	reviewed	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	AGR2 AG2 UNQ515/PRO1030	Homo sapiens (Human)	175
ENSG00000106541		B5MC07	B5MC07_HUMAN	unreviewed	Anterior gradient protein 2 homolog	AGR2	Homo sapiens (Human)	188
ENSG00000106541		C9J3E2	C9J3E2_HUMAN	unreviewed	Anterior gradient protein 2 homolog (Fragment)	AGR2	Homo sapiens (Human)	131
ENSG00000106541		H7C3Z9	H7C3Z9_HUMAN	unreviewed	Anterior gradient protein 2 homolog (Fragment)	AGR2	Homo sapiens (Human)	119
ENSG00000144891		P30556	AGTR1_HUMAN	reviewed	Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1)	AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B	Homo sapiens (Human)	359
ENSG00000144891		A0A0A0MSE3	A0A0A0MSE3_HUMAN	unreviewed	Angiotensin II receptor, type 1, isoform CRA_c (Type-1 angiotensin II receptor)	AGTR1 hCG_2022206	Homo sapiens (Human)	388
ENSG00000144891		D3DNG8	D3DNG8_HUMAN	unreviewed	Angiotensin II receptor, type 1, isoform CRA_a (Type-1 angiotensin II receptor)	AGTR1 hCG_2022206	Homo sapiens (Human)	394
ENSG00000180772		P50052	AGTR2_HUMAN	reviewed	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	AGTR2	Homo sapiens (Human)	363
ENSG00000171094		Q9UM73	ALK_HUMAN	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)	1620
ENSG00000171094		A0A087WZL3	A0A087WZL3_HUMAN	unreviewed	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1243
ENSG00000171094		A0A0K2YUJ3	A0A0K2YUJ3_HUMAN	unreviewed	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	552
ENSG00000171094		E7EPW7	E7EPW7_HUMAN	unreviewed	ALK tyrosine kinase receptor (Fragment)	ALK	Homo sapiens (Human)	129
ENSG00000171094		H7BZ33	H7BZ33_HUMAN	unreviewed	ALK tyrosine kinase receptor (Fragment)	ALK	Homo sapiens (Human)	152
ENSG00000159461		Q9UKV5	AMFR_HUMAN	reviewed	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78)	AMFR RNF45	Homo sapiens (Human)	643
ENSG00000159461		H3BQM3	H3BQM3_HUMAN	unreviewed	E3 ubiquitin-protein ligase AMFR (Fragment)	AMFR	Homo sapiens (Human)	165
ENSG00000159461		H3BRK9	H3BRK9_HUMAN	unreviewed	E3 ubiquitin-protein ligase AMFR (Fragment)	AMFR	Homo sapiens (Human)	288
ENSG00000159461		H3BSK3	H3BSK3_HUMAN	unreviewed	E3 ubiquitin-protein ligase AMFR (Fragment)	AMFR	Homo sapiens (Human)	229
ENSG00000159461		R4GNG2	R4GNG2_HUMAN	unreviewed	E3 ubiquitin-protein ligase AMFR (Fragment)	AMFR	Homo sapiens (Human)	299
ENSG00000135409	ENSG00000135409 -> Q16671-1;Q16671-2;Q16671-3	Q16671	AMHR2_HUMAN	reviewed	Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII)	AMHR2 AMHR MISR2	Homo sapiens (Human)	573
ENSG00000135409		H3BPI9	H3BPI9_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	AMHR2	Homo sapiens (Human)	172
ENSG00000154856		Q8J025	APCD1_HUMAN	reviewed	Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein)	APCDD1 DRAPC1 FP7019	Homo sapiens (Human)	514
ENSG00000154856		J3KTQ6	J3KTQ6_HUMAN	unreviewed	Protein APCDD1	APCDD1	Homo sapiens (Human)	184
ENSG00000154856		J3KTR1	J3KTR1_HUMAN	unreviewed	Protein APCDD1	APCDD1	Homo sapiens (Human)	22
ENSG00000154856		J3QSE3	J3QSE3_HUMAN	unreviewed	Protein APCDD1 (Fragment)	APCDD1	Homo sapiens (Human)	94
ENSG00000154856		V9GY82	V9GY82_HUMAN	unreviewed	Protein APCDD1 (Fragment)	APCDD1	Homo sapiens (Human)	227
ENSG00000154856		X6RH63	X6RH63_HUMAN	unreviewed	Protein APCDD1	APCDD1	Homo sapiens (Human)	61
ENSG00000134817		P35414	APJ_HUMAN	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	APLNR AGTRL1 APJ	Homo sapiens (Human)	380
ENSG00000084234	ENSG00000084234 -> Q06481-1;Q06481-3;Q06481-4;Q06481-5;Q06481-6	Q06481	APLP2_HUMAN	reviewed	Amyloid-like protein 2 (APLP-2) (APPH) (Amyloid protein homolog) (CDEI box-binding protein) (CDEBP)	APLP2 APPL2	Homo sapiens (Human)	763
ENSG00000084234		E9PK76	E9PK76_HUMAN	unreviewed	Amyloid-like protein 2	APLP2	Homo sapiens (Human)	116
ENSG00000084234		E9PPD0	E9PPD0_HUMAN	unreviewed	Amyloid-like protein 2	APLP2	Homo sapiens (Human)	39
ENSG00000084234		E9PQS3	E9PQS3_HUMAN	unreviewed	Amyloid-like protein 2 (Fragment)	APLP2	Homo sapiens (Human)	158
ENSG00000084234		E9PSC7	E9PSC7_HUMAN	unreviewed	Amyloid-like protein 2 (Fragment)	APLP2	Homo sapiens (Human)	158
ENSG00000084234		Q9UED0	Q9UED0_HUMAN	unreviewed	Amyloid-like protein 2 (Fragment)	APLP2	Homo sapiens (Human)	35
ENSG00000240583	ENSG00000240583 -> P29972-1;P29972-3;P29972-4	P29972	AQP1_HUMAN	reviewed	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	Homo sapiens (Human)	269
ENSG00000240583		A0A494C115	A0A494C115_HUMAN	unreviewed	Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule) (Fragment)	AQP1	Homo sapiens (Human)	199
ENSG00000240583		A0A494C1U4	A0A494C1U4_HUMAN	unreviewed	Aquaporin-1 (Fragment)	AQP1	Homo sapiens (Human)	136
ENSG00000129744		P52961	NAR1_HUMAN	reviewed	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (CD antigen CD296)	ART1	Homo sapiens (Human)	327
ENSG00000141505	ENSG00000141505 -> P07306-1;P07306-2	P07306	ASGR1_HUMAN	reviewed	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)	ASGR1 CLEC4H1	Homo sapiens (Human)	291
ENSG00000141505		I3L129	I3L129_HUMAN	unreviewed	Asialoglycoprotein receptor 1	ASGR1	Homo sapiens (Human)	94
ENSG00000141505		I3L1F8	I3L1F8_HUMAN	unreviewed	Asialoglycoprotein receptor 1 (Fragment)	ASGR1	Homo sapiens (Human)	29
ENSG00000141505		I3L2S9	I3L2S9_HUMAN	unreviewed	Asialoglycoprotein receptor 1 (Fragment)	ASGR1	Homo sapiens (Human)	117
ENSG00000141505		J3QSZ2	J3QSZ2_HUMAN	unreviewed	Asialoglycoprotein receptor 1	ASGR1	Homo sapiens (Human)	190
ENSG00000141505		K7EPS5	K7EPS5_HUMAN	unreviewed	Asialoglycoprotein receptor 1 (Fragment)	ASGR1	Homo sapiens (Human)	162
ENSG00000161944	ENSG00000161944 -> P07307-1;P07307-2;P07307-3	P07307	ASGR2_HUMAN	reviewed	Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (C-type lectin domain family 4 member H2) (Hepatic lectin H2) (HL-2)	ASGR2 CLEC4H2	Homo sapiens (Human)	311
ENSG00000161944		I3L1H2	I3L1H2_HUMAN	unreviewed	Asialoglycoprotein receptor 2 (Fragment)	ASGR2	Homo sapiens (Human)	135
ENSG00000213199	ENSG00000213199 -> Q9UHC3-1;Q9UHC3-2;Q9UHC3-3;Q9UHC3-4	Q9UHC3	ASIC3_HUMAN	reviewed	Acid-sensing ion channel 3 (ASIC3) (hASIC3) (Amiloride-sensitive cation channel 3) (Neuronal amiloride-sensitive cation channel 3) (Testis sodium channel 1) (hTNaC1)	ASIC3 ACCN3 SLNAC1 TNAC1	Homo sapiens (Human)	531
ENSG00000213199		H7C4W0	H7C4W0_HUMAN	unreviewed	Acid-sensing ion channel 3 (Fragment)	ASIC3	Homo sapiens (Human)	149
ENSG00000213199		H7C5N6	H7C5N6_HUMAN	unreviewed	Acid-sensing ion channel 3 (Fragment)	ASIC3	Homo sapiens (Human)	144
ENSG00000105409	ENSG00000105409 -> P13637-1;P13637-2;P13637-3	P13637	AT1A3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3)	ATP1A3	Homo sapiens (Human)	1013
ENSG00000105409		A0A0A0MT26	A0A0A0MT26_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha-3	ATP1A3	Homo sapiens (Human)	1226
ENSG00000105409		M0QXF2	M0QXF2_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha-3 (Fragment)	ATP1A3	Homo sapiens (Human)	251
ENSG00000105409		M0R116	M0R116_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha	ATP1A3	Homo sapiens (Human)	983
ENSG00000182220	ENSG00000182220 -> O75787-1;O75787-2	O75787	RENR_HUMAN	reviewed	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]	ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072	Homo sapiens (Human)	350
ENSG00000182220		A0A1B0GTB0	A0A1B0GTB0_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor) (Fragment)	ATP6AP2	Homo sapiens (Human)	294
ENSG00000182220		A0A1B0GTD6	A0A1B0GTD6_HUMAN	unreviewed	Renin receptor	ATP6AP2	Homo sapiens (Human)	59
ENSG00000182220		A0A1B0GTU8	A0A1B0GTU8_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	301
ENSG00000182220		A0A1B0GU12	A0A1B0GU12_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	273
ENSG00000182220		A0A1B0GUT7	A0A1B0GUT7_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	331
ENSG00000182220		A0A1B0GUV3	A0A1B0GUV3_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor) (Fragment)	ATP6AP2	Homo sapiens (Human)	76
ENSG00000182220		A0A1B0GV24	A0A1B0GV24_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	143
ENSG00000182220		A0A1B0GV60	A0A1B0GV60_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	209
ENSG00000182220		A0A1B0GVB9	A0A1B0GVB9_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	317
ENSG00000182220		A0A1B0GVC7	A0A1B0GVC7_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	242
ENSG00000182220		A0A1B0GVI9	A0A1B0GVI9_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	196
ENSG00000182220		A0A1B0GVW0	A0A1B0GVW0_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	345
ENSG00000182220		A0A1B0GVZ1	A0A1B0GVZ1_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	101
ENSG00000182220		A0A1B0GW13	A0A1B0GW13_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	186
ENSG00000182220		A0A1B0GWD6	A0A1B0GWD6_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor) (Fragment)	ATP6AP2	Homo sapiens (Human)	186
ENSG00000182220		A0A1B0GWJ8	A0A1B0GWJ8_HUMAN	unreviewed	ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor)	ATP6AP2	Homo sapiens (Human)	258
