ApprovedSymbol	Type	uniprot_gn_id	ensembl_gene_id	hgnc_symbol	gene_biotype	description	mean_tpm
AMHR2	receptor	Q16671	ENSG00000135409	AMHR2	protein_coding	anti-Mullerian hormone receptor type 2 [Source:HGNC Symbol;Acc:HGNC:465]	0.4500588959269663
APCDD1	receptor	Q8J025	ENSG00000154856	APCDD1	protein_coding	APC down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]	14.894643214044944
APLNR	receptor	P35414	ENSG00000134817	APLNR	protein_coding	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	2.275541916853933
APLP2	receptor	Q06481	ENSG00000084234	APLP2	protein_coding	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	258.7475868297383
AQP1	receptor	P29972	ENSG00000240583	AQP1	protein_coding	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	8.938371349438201
ART1	receptor	P52961	ENSG00000129744	ART1	protein_coding	ADP-ribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:723]	0.02659933820224719
ASGR1	receptor	P07306	ENSG00000141505	ASGR1	protein_coding	asialoglycoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:742]	0.4377209011281199
ASGR2	receptor	P07307	ENSG00000161944	ASGR2	protein_coding	asialoglycoprotein receptor 2 [Source:HGNC Symbol;Acc:HGNC:743]	0.022770898533314606
ASIC3	receptor	Q9UHC3	ENSG00000213199	ASIC3	protein_coding	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	1.1654267847946451
ATP1A3	receptor	P13637	ENSG00000105409	ATP1A3	protein_coding	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	2.301952611898125
ATP6AP2	receptor	O75787	ENSG00000182220	ATP6AP2	protein_coding	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	219.52449171494348
ATRN	receptor	O75882	ENSG00000088812	ATRN	protein_coding	attractin [Source:HGNC Symbol;Acc:HGNC:885]	36.32320741573034
AVPR1A	receptor	P37288	ENSG00000166148	AVPR1A	protein_coding	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	0.45181743719101125
AVPR1B	receptor	P47901	ENSG00000198049	AVPR1B	protein_coding	arginine vasopressin receptor 1B [Source:HGNC Symbol;Acc:HGNC:896]	0.8822449831460675
AVPR2	receptor	P30518	ENSG00000126895	AVPR2	protein_coding	arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]	0.004322880898876405
AXL	receptor	P30530	ENSG00000167601	AXL	protein_coding	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	6.170910950593309
BAI2	receptor	O60241	ENSG00000121753	ADGRB2	protein_coding	adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]	0.38514840943969647
BAMBI	receptor	Q13145	ENSG00000095739	BAMBI	protein_coding	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]	14.365913314606741
BCAM	receptor	P50895	ENSG00000187244	BCAM	protein_coding	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	12.965389513195056
BDKRB1	receptor	P46663	ENSG00000100739	BDKRB1	protein_coding	bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029]	3.5430273368033944
BDKRB2	receptor	P30411	ENSG00000168398	BDKRB2	protein_coding	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	1.0382927550561798
BMPR1A	receptor	P36894	ENSG00000107779	BMPR1A	protein_coding	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	23.332021915617975
BMPR1B	receptor	O00238	ENSG00000138696	BMPR1B	protein_coding	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1.9478081980338346
BMPR2	receptor	Q13873	ENSG00000204217	BMPR2	protein_coding	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	27.42552364831461
BOC	receptor	Q9BWV1	ENSG00000144857	BOC	protein_coding	BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]	4.676638082785219
BRS3	receptor	P32247	ENSG00000102239	BRS3	protein_coding	bombesin receptor subtype 3 [Source:HGNC Symbol;Acc:HGNC:1113]	1.5222490056179776
C14orf1	receptor	Q9UKR5	ENSG00000133935	ERG28	protein_coding	ergosterol biosynthesis 28 homolog [Source:HGNC Symbol;Acc:HGNC:1187]	22.226763258426967
C3AR1	receptor	Q16581	ENSG00000171860	C3AR1	protein_coding	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	0.5781040272089888
C5AR1	receptor	P21730	ENSG00000197405	C5AR1	protein_coding	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	3.906684726966292
C5AR2	receptor	Q9P296	ENSG00000134830	C5AR2	protein_coding	complement component 5a receptor 2 [Source:HGNC Symbol;Acc:HGNC:4527]	0.15625571460674156
CACHD1	receptor	Q5VU97	ENSG00000158966	CACHD1	protein_coding	cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]	3.4644241177672863
CACNA1C	receptor	Q13936	NA	NA	NA	NA	NA
CALCR	receptor	P30988	NA	NA	NA	NA	NA
CALCRL	receptor	Q16602	NA	NA	NA	NA	NA
CANX	receptor	P27824	ENSG00000283777	CANX	protein_coding	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	427.0403571666377
CANX	receptor	P27824	ENSG00000127022	CANX	protein_coding	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	133.36992221938948
CATSPER1	receptor	Q8NEC5	ENSG00000175294	CATSPER1	protein_coding	cation channel sperm associated 1 [Source:HGNC Symbol;Acc:HGNC:17116]	0.08207845056179776
CAV1	receptor	Q03135	ENSG00000105974	CAV1	protein_coding	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	32.56942478500684
CCKAR	receptor	P32238	ENSG00000163394	CCKAR	protein_coding	cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]	0.4277118179775281
CCKBR	receptor	P32239	ENSG00000110148	CCKBR	protein_coding	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]	0.9803500967157973
CCR1	receptor	P32246	ENSG00000163823	CCR1	protein_coding	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	1.5388055617977527
CCR10	receptor	P46092	ENSG00000184451	CCR10	protein_coding	C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]	0.12669951101123594
CCR2	receptor	P41597	ENSG00000121807	CCR2	protein_coding	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	0.02784752584269663
CCR3	receptor	P51677	ENSG00000183625	CCR3	protein_coding	C-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:1604]	0.012385931460674158
CCR4	receptor	P51679	ENSG00000183813	CCR4	protein_coding	C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]	0.07549434382022471
CCR5	receptor	P51681	ENSG00000160791	CCR5	protein_coding	C-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1606]	0.3096062624719101
CCR6	receptor	P51684	ENSG00000112486	CCR6	protein_coding	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	0.34314003053932585
CCR7	receptor	P32248	ENSG00000126353	CCR7	protein_coding	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	1.1814428064044944
CCR8	receptor	P51685	ENSG00000179934	CCR8	protein_coding	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	0.02826315056179775
CCR9	receptor	P51686	ENSG00000173585	CCR9	protein_coding	C-C motif chemokine receptor 9 [Source:HGNC Symbol;Acc:HGNC:1610]	0.16951548884224718
CCRL2	receptor	O00421	ENSG00000121797	CCRL2	protein_coding	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1.9343252424984345
CD109	receptor	Q6YHK3	ENSG00000156535	CD109	protein_coding	CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]	1.4146968373945665
CD151	receptor	P48509	ENSG00000177697	CD151	protein_coding	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	179.7652097628659
CD177	receptor	Q8N6Q3	NA	NA	NA	NA	NA
CD180	receptor	Q99467	ENSG00000134061	CD180	protein_coding	CD180 molecule [Source:HGNC Symbol;Acc:HGNC:6726]	0.22515527223595505
CD19	receptor	P15391	ENSG00000177455	CD19	protein_coding	CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]	0.1217249915505618
CD1A	receptor	P06126	ENSG00000158477	CD1A	protein_coding	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	0.008967329213483146
CD1B	receptor	P29016	ENSG00000158485	CD1B	protein_coding	CD1b molecule [Source:HGNC Symbol;Acc:HGNC:1635]	0.02457914606741573
CD247	receptor	P20963	ENSG00000198821	CD247	protein_coding	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	0.10379364703483146
CD27	receptor	P26842	ENSG00000139193	CD27	protein_coding	CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]	5.296177370786517
CD28	receptor	P10747	ENSG00000178562	CD28	protein_coding	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	0.05452639449438203
CD36	receptor	P16671	ENSG00000135218	CD36	protein_coding	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	32.19178908956323
CD3D	receptor	P04234	ENSG00000167286	CD3D	protein_coding	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	0.3043609893944944
CD3G	receptor	P09693	ENSG00000160654	CD3G	protein_coding	CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]	0.2676889153353337
CD4	receptor	P01730	ENSG00000010610	CD4	protein_coding	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	3.5305749475764046
CD40	receptor	P25942	ENSG00000101017	CD40	protein_coding	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	13.687229159322044
CD44	receptor	P16070	ENSG00000026508	CD44	protein_coding	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	836.9680800173793
CD46	receptor	P15529	ENSG00000117335	CD46	protein_coding	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	186.69339288779264
CD47	receptor	Q08722	ENSG00000196776	CD47	protein_coding	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	44.208162930313854
CD48	receptor	P09326	ENSG00000117091	CD48	protein_coding	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	1.287913502247191
CD5	receptor	P06127	ENSG00000110448	CD5	protein_coding	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	1.6437625505617979
CD53	receptor	P19397	ENSG00000143119	CD53	protein_coding	CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]	5.742252260224719
CD63	receptor	P08962	ENSG00000135404	CD63	protein_coding	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	1245.756541429065
CD72	receptor	P21854	ENSG00000137101	CD72	protein_coding	CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]	3.9865967766225148
CD74	receptor	P04233	ENSG00000019582	CD74	protein_coding	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	14.90968189213483
CD79A	receptor	P11912	ENSG00000105369	CD79A	protein_coding	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	0.8811405641470786
CD81	receptor	P60033	ENSG00000110651	CD81	protein_coding	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	397.6151129313533
CD82	receptor	P27701	ENSG00000085117	CD82	protein_coding	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	41.85003651616326
CD9	receptor	P21926	ENSG00000010278	CD9	protein_coding	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	172.04897890843998
CD93	receptor	Q9NPY3	ENSG00000125810	CD93	protein_coding	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	20.124217415730335
CD97	receptor	P48960	ENSG00000123146	ADGRE5	protein_coding	adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]	11.129005567500968
CDH10	receptor	Q9Y6N8	ENSG00000040731	CDH10	protein_coding	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	5.656244007172602
CDH19	receptor	Q9H159	ENSG00000071991	CDH19	protein_coding	cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]	1.6016426897174014
CDH2	receptor	P19022	ENSG00000170558	CDH2	protein_coding	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	11.8463631348541
CDH5	receptor	P33151	ENSG00000179776	CDH5	protein_coding	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]	6.717938857335185
CDH6	receptor	P55285	ENSG00000113361	CDH6	protein_coding	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	15.749945261790376
CDH7	receptor	Q9ULB5	ENSG00000081138	CDH7	protein_coding	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	0.022174717078651686
CDON	receptor	Q4KMG0	ENSG00000064309	CDON	protein_coding	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	3.3804359101123596
CELSR1	receptor	Q9NYQ6	ENSG00000075275	CELSR1	protein_coding	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	0.6664383893579535
CFTR	receptor	P13569	ENSG00000001626	CFTR	protein_coding	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	133.29145034891923
CHRM1	receptor	P11229	ENSG00000168539	CHRM1	protein_coding	cholinergic receptor muscarinic 1 [Source:HGNC Symbol;Acc:HGNC:1950]	0.040297396629213486
CHRM3	receptor	P20309	ENSG00000133019	CHRM3	protein_coding	cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	1.971925579819101
CHRNA4	receptor	P43681	ENSG00000101204	CHRNA4	protein_coding	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	0.08106738831460675
CLDN2	receptor	P57739	ENSG00000165376	CLDN2	protein_coding	claudin 2 [Source:HGNC Symbol;Acc:HGNC:2041]	77.37980760949735
CLDN4	receptor	O14493	ENSG00000189143	CLDN4	protein_coding	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	1.8842569127904543
CLEC10A	receptor	Q8IUN9	ENSG00000132514	CLEC10A	protein_coding	C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916]	0.1334136145863528
CLEC2B	receptor	Q92478	ENSG00000110852	CLEC2B	protein_coding	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	0.23522031033707866
CLEC4M	receptor	Q9H2X3	ENSG00000104938	CLEC4M	protein_coding	C-type lectin domain family 4 member M [Source:HGNC Symbol;Acc:HGNC:13523]	0.12147907831460675
CMKLR1	receptor	Q99788	ENSG00000174600	CMKLR1	protein_coding	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	1.2817351560059942
CNR1	receptor	P21554	ENSG00000118432	CNR1	protein_coding	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	NA
CNTFR	receptor	P26992	ENSG00000122756	CNTFR	protein_coding	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	0.16526075943895338
CNTN1	receptor	Q12860	ENSG00000018236	CNTN1	protein_coding	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	79.04666586335328
CNTNAP1	receptor	P78357	ENSG00000108797	CNTNAP1	protein_coding	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]	1.554458102752809
CNTNAP2	receptor	Q9UHC6	ENSG00000278728	CNTNAP2	protein_coding	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	0.1369907695205427
CNTNAP2	receptor	Q9UHC6	ENSG00000174469	CNTNAP2	protein_coding	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	0.2685025857612621
COL13A1	receptor	Q5TAT6	ENSG00000197467	COL13A1	protein_coding	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	1.962016531741901
COL17A1	receptor	Q9UMD9	ENSG00000065618	COL17A1	protein_coding	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	0.5181527503034641
CR1	receptor	P17927	NA	NA	NA	NA	NA
CRHR1	receptor	P34998	ENSG00000276191	CRHR1	protein_coding	corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]	0.08235683811727108
CRHR1	receptor	P34998	ENSG00000120088	CRHR1	protein_coding	corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]	0.08123057294873175
CRHR2	receptor	Q13324	ENSG00000106113	CRHR2	protein_coding	corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358]	0.3510459612708112
CRLF1	receptor	O75462	ENSG00000006016	CRLF1	protein_coding	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	11.973368411728051
CSF1R	receptor	P07333	ENSG00000182578	CSF1R	protein_coding	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	2.3654931873001943
CSF2RA	receptor	P15509	ENSG00000198223	CSF2RA	protein_coding	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	1.6535261487250146
CSF2RB	receptor	P32927	ENSG00000100368	CSF2RB	protein_coding	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	0.6994602453955843
CSF3R	receptor	Q99062	ENSG00000119535	CSF3R	protein_coding	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	0.2009771496230292
CSPG4	receptor	Q6UVK1	ENSG00000173546	CSPG4	protein_coding	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	0.5680992382022472
CX3CR1	receptor	P49238	ENSG00000168329	CX3CR1	protein_coding	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	0.24293482689740842
CXCR1	receptor	P25024	ENSG00000163464	CXCR1	protein_coding	C-X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]	0.0020208224719101124
CXCR2	receptor	P25025	ENSG00000180871	CXCR2	protein_coding	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	0.0680665911235955
CXCR3	receptor	P49682	ENSG00000186810	CXCR3	protein_coding	C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]	0.03367716741573034
CXCR4	receptor	P61073	ENSG00000121966	CXCR4	protein_coding	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	33.131357128099346
CXCR5	receptor	P32302	ENSG00000160683	CXCR5	protein_coding	C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]	0.583427458905618
CXCR6	receptor	O00574	ENSG00000172215	CXCR6	protein_coding	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	0.16902019123595505
DARC	receptor	Q16570	ENSG00000213088	ACKR1	protein_coding	atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]	0.052277746516853935
DCBLD2	receptor	Q96PD2	ENSG00000057019	DCBLD2	protein_coding	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	19.824883107027283
DCC	receptor	P43146	ENSG00000187323	DCC	protein_coding	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	3.8434353062612847
DCHS1	receptor	Q96JQ0	ENSG00000166341	DCHS1	protein_coding	dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]	1.463318382022472
DDR1	receptor	Q08345	ENSG00000223680	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	15.253224062733183
DDR1	receptor	Q08345	ENSG00000229767	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	78.55541241089888
DDR1	receptor	Q08345	ENSG00000234078	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	50.742345169643656
DDR1	receptor	Q08345	ENSG00000215522	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	50.742345169643656
DDR1	receptor	Q08345	ENSG00000137332	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	27.302047662548016
DDR1	receptor	Q08345	ENSG00000230456	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	26.668956269591973
DDR1	receptor	Q08345	ENSG00000204580	DDR1	protein_coding	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	46.39830562207786
DDR2	receptor	Q16832	ENSG00000162733	DDR2	protein_coding	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]	6.236480523923105
DPP4	receptor	P27487	ENSG00000197635	DPP4	protein_coding	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	13.406645465869794
DRD2	receptor	P14416	ENSG00000149295	DRD2	protein_coding	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	0.9131148258656064
DRD4	receptor	P21917	ENSG00000276825	DRD4	protein_coding	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	0.06653432471910113
DRD4	receptor	P21917	ENSG00000069696	DRD4	protein_coding	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	0.06620366067415731
DYSF	receptor	O75923	ENSG00000135636	DYSF	protein_coding	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	2.893046612603427
EDA2R	receptor	Q9HAV5	ENSG00000131080	EDA2R	protein_coding	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]	2.85837330618231
EDAR	receptor	Q9UNE0	ENSG00000135960	EDAR	protein_coding	ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895]	0.27849462258089885
